config_id,R_C_over_R_A,coupling_C,C_offset_rad,C_cell_count,C_cell_width,resolved_case_count,fit_case_count,resolution_valid,clock_error,clock_valid,max_relative_contamination,common_mode_ratio,disturbance_valid,closure_valid,gauge_valid,fit_valid,loglog_slope,power_candidate_alpha,power_candidate_alpha_tau_ABC,power_candidate_alpha_tau_AB,power_candidate_alpha_tau_AC,power_candidate_alpha_tau_BC,log_rmse,alpha_classification,alpha_classification_tau_ABC,alpha_classification_tau_AB,alpha_classification_tau_AC,alpha_classification_tau_BC,tau_AB_alpha_delta_from_tau_ABC,tau_AC_alpha_delta_from_tau_ABC,tau_BC_alpha_delta_from_tau_ABC,inverse_term_injected,inverse_square_term_injected,constructed_reciprocal_used_for_success
Rc0.0625_eps0.01_off0,0.0625,0.01,0.0,6,1.0471975511965976,0,0,False,1.00003125,False,,0.000625,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.01_off0.01,0.0625,0.01,0.01,6,1.0471975511965976,0,0,False,1.00003125,False,,0.000625,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.01_off0.03,0.0625,0.01,0.03,6,1.0471975511965976,0,0,False,1.00003125,False,,0.000625,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.01_off0.08,0.0625,0.01,0.08,6,1.0471975511965976,0,0,False,1.00003125,False,,0.000625,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.02_off0,0.0625,0.02,0.0,6,1.0471975511965976,0,0,False,1.0000625,False,,0.00125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.02_off0.01,0.0625,0.02,0.01,6,1.0471975511965976,0,0,False,1.0000625,False,,0.00125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.02_off0.03,0.0625,0.02,0.03,6,1.0471975511965976,0,0,False,1.0000625,False,,0.00125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.02_off0.08,0.0625,0.02,0.08,6,1.0471975511965976,0,0,False,1.0000625,False,,0.00125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.05_off0,0.0625,0.05,0.0,6,1.0471975511965976,0,0,False,1.00015625,False,,0.003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.05_off0.01,0.0625,0.05,0.01,6,1.0471975511965976,0,0,False,1.00015625,False,,0.003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.05_off0.03,0.0625,0.05,0.03,6,1.0471975511965976,0,0,False,1.00015625,False,,0.003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.05_off0.08,0.0625,0.05,0.08,6,1.0471975511965976,0,0,False,1.00015625,False,,0.003125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.1_off0,0.0625,0.1,0.0,6,1.0471975511965976,0,0,False,1.0003125,False,,0.00625,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.1_off0.01,0.0625,0.1,0.01,6,1.0471975511965976,0,0,False,1.0003125,False,,0.00625,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.1_off0.03,0.0625,0.1,0.03,6,1.0471975511965976,0,0,False,1.0003125,False,,0.00625,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.1_off0.08,0.0625,0.1,0.08,6,1.0471975511965976,0,0,False,1.0003125,False,,0.00625,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.2_off0,0.0625,0.2,0.0,6,1.0471975511965976,0,0,False,1.000625,False,,0.0125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.2_off0.01,0.0625,0.2,0.01,6,1.0471975511965976,0,0,False,1.000625,False,,0.0125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.2_off0.03,0.0625,0.2,0.03,6,1.0471975511965976,0,0,False,1.000625,False,,0.0125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.0625_eps0.2_off0.08,0.0625,0.2,0.08,6,1.0471975511965976,0,0,False,1.000625,False,,0.0125,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.01_off0,0.125,0.01,0.0,12,0.5235987755982988,1,1,False,0.5000625,False,0.0,0.00125,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.01_off0.01,0.125,0.01,0.01,12,0.5235987755982988,1,1,False,0.5000625,False,2.3873241463784158e-05,0.00125,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.01_off0.03,0.125,0.01,0.03,12,0.5235987755982988,1,1,False,0.5000625,False,7.161972439135288e-05,0.00125,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.01_off0.08,0.125,0.01,0.08,12,0.5235987755982988,1,1,False,0.5000625,False,0.0001909859317102745,0.00125,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.02_off0,0.125,0.02,0.0,12,0.5235987755982988,1,1,False,0.500125,False,0.0,0.0025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.02_off0.01,0.125,0.02,0.01,12,0.5235987755982988,1,1,False,0.500125,False,4.7746482927568317e-05,0.0025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.02_off0.03,0.125,0.02,0.03,12,0.5235987755982988,1,1,False,0.500125,False,0.00014323944878270577,0.0025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.02_off0.08,0.125,0.02,0.08,12,0.5235987755982988,1,1,False,0.500125,False,0.000381971863420549,0.0025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.05_off0,0.125,0.05,0.0,12,0.5235987755982988,1,1,False,0.5003125,False,0.0,0.00625,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.05_off0.01,0.125,0.05,0.01,12,0.5235987755982988,1,1,False,0.5003125,False,0.00011936620731892161,0.00625,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.05_off0.03,0.125,0.05,0.03,12,0.5235987755982988,1,1,False,0.5003125,False,0.00035809862195676484,0.00625,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.05_off0.08,0.125,0.05,0.08,12,0.5235987755982988,1,1,False,0.5003125,False,0.0009549296585513722,0.00625,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.1_off0,0.125,0.1,0.0,12,0.5235987755982988,1,1,False,0.500625,False,0.0,0.0125,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.1_off0.01,0.125,0.1,0.01,12,0.5235987755982988,1,1,False,0.500625,False,0.00023873241463784323,0.0125,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.1_off0.03,0.125,0.1,0.03,12,0.5235987755982988,1,1,False,0.500625,False,0.0007161972439135297,0.0125,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.1_off0.08,0.125,0.1,0.08,12,0.5235987755982988,1,1,False,0.500625,False,0.0019098593171027443,0.0125,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.2_off0,0.125,0.2,0.0,12,0.5235987755982988,1,1,False,0.50125,False,0.0,0.025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.2_off0.01,0.125,0.2,0.01,12,0.5235987755982988,1,1,False,0.50125,False,0.00047746482927568646,0.025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.2_off0.03,0.125,0.2,0.03,12,0.5235987755982988,1,1,False,0.50125,False,0.0014323944878270594,0.025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.125_eps0.2_off0.08,0.125,0.2,0.08,12,0.5235987755982988,1,1,False,0.50125,False,0.0038197186342054886,0.025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
Rc0.25_eps0.01_off0,0.25,0.01,0.0,24,0.2617993877991494,2,2,False,0.250125,True,0.0,0.0025,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unfit,unfit,unfit,unfit,unfit,0.0,0.0,0.0,False,False,False
