case,R_input_text,R,center_R,baseline_R,delta_R,abs_delta_R,log10_abs_delta_R,fixed_step,baseline_condition,center_condition_at_baseline_step,fixed_step_condition,fixed_step_error,fixed_step_depth_log10,baseline_fixed_step_error,center_fixed_step_error,normalized_inverse_depth,center_global_min_prefix_error,center_global_best_step,center_global_best_condition,global_min_prefix_error,global_best_step,global_best_condition,tail_best_gray_error,tail_best_condition
delta_m1em04,0.68651290255614794,0.6865129025561479,0.6866129025561479,0.6866129025561479,-9.999999999999998e-05,9.999999999999998e-05,-4.0,2537,phi1_s0.01_g0,phi1_s0.01_g0,phi0_s0.01_g0,4.0062277525370246e-06,5.397264364863094,5.195305737243614e-08,5.195305737243614e-08,0.012968073854397275,5.195305737243614e-08,2537,phi1_s0.01_g0,2.4908916924945597e-08,3689,phi0_s0.01_g0,1.8066860935105602e-05,phi0_s0.01_g0
delta_m1em05,0.68660290255614798,0.686602902556148,0.6866129025561479,0.6866129025561479,-1e-05,1e-05,-5.0,2537,phi1_s0.01_g0,phi1_s0.01_g0,phi0_s0.01_g0,3.9245599234485213e-07,6.406209035360309,5.195305737243614e-08,5.195305737243614e-08,0.13237931993859034,5.195305737243614e-08,2537,phi1_s0.01_g0,1.1458166464462687e-08,3605,phi0_s0.01_g0,3.606872058653997e-05,phi1_s0.01_g0
delta_m1em06,0.6866119025561479,0.6866119025561479,0.6866129025561479,0.6866129025561479,-1e-06,1e-06,-6.0,2537,phi1_s0.01_g0,phi1_s0.01_g0,phi0_s0.01_g0,8.691152410765474e-08,7.060922634086005,5.195305737243614e-08,5.195305737243614e-08,0.5977694892116197,5.195305737243614e-08,2537,phi1_s0.01_g0,4.899565464383353e-08,3457,phi0_s0.01_g0,3.7666025465790834e-05,phi0_s0.01_g0
delta_m1em07,0.68661280255614798,0.686612802556148,0.6866129025561479,0.6866129025561479,-1e-07,1e-07,-7.0,2537,phi1_s0.01_g0,phi1_s0.01_g0,phi0_s0.01_g0,5.4956318619492126e-08,7.259982367229237,5.195305737243614e-08,5.195305737243614e-08,0.9453518481132255,5.195305737243614e-08,2537,phi1_s0.01_g0,5.4956318619492126e-08,2537,phi0_s0.01_g0,3.7831188159252994e-05,phi0_s0.01_g0
delta_m1em08,0.68661289255614788,0.6866128925561479,0.6866129025561479,0.6866129025561479,-9.999999999999999e-09,9.999999999999999e-09,-8.0,2537,phi1_s0.01_g0,phi1_s0.01_g0,phi1_s0.01_g0,5.255798249558772e-08,7.279361314069472,5.195305737243614e-08,5.195305737243614e-08,0.9884903283111682,5.195305737243614e-08,2537,phi1_s0.01_g0,5.255798249558772e-08,2537,phi1_s0.01_g0,3.7853248869493066e-05,phi1_s0.01_g0
center,0.68661290255614798,0.6866129025561479,0.6866129025561479,0.6866129025561479,0.0,0.0,,2537,phi1_s0.01_g0,phi1_s0.01_g0,phi1_s0.01_g0,5.195305737243614e-08,7.284388889667772,5.195305737243614e-08,5.195305737243614e-08,1.0,5.195305737243614e-08,2537,phi1_s0.01_g0,5.195305737243614e-08,2537,phi1_s0.01_g0,3.785617083416672e-05,phi1_s0.01_g0
delta_p1em08,0.68661291255614798,0.686612912556148,0.6866129025561479,0.6866129025561479,9.999999999999999e-09,9.999999999999999e-09,-8.0,2537,phi1_s0.01_g0,phi1_s0.01_g0,phi0_s0.01_g0,5.1373708276515964e-08,7.289259084735025,5.195305737243614e-08,5.195305737243614e-08,1.0112771515889385,5.195305737243614e-08,2537,phi1_s0.01_g0,5.1373708276515964e-08,2537,phi0_s0.01_g0,3.785918694865219e-05,phi1_s0.01_g0
delta_p1em07,0.68661300255614788,0.6866130025561479,0.6866129025561479,0.6866129025561479,1e-07,1e-07,-7.0,2537,phi1_s0.01_g0,phi1_s0.01_g0,phi0_s0.01_g0,4.73106310594815e-08,7.325041259015,5.195305737243614e-08,5.195305737243614e-08,1.0981264931156367,5.195305737243614e-08,2537,phi1_s0.01_g0,4.73106310594815e-08,2537,phi0_s0.01_g0,3.7890568920328604e-05,phi0_s0.01_g0
delta_p1em06,0.68661390255614796,0.686613902556148,0.6866129025561479,0.6866129025561479,1e-06,1e-06,-6.0,2537,phi1_s0.01_g0,phi1_s0.01_g0,phi1_s0.01_g0,1.206354676996115e-07,6.918524987704608,5.195305737243614e-08,5.195305737243614e-08,0.43066154890535113,5.195305737243614e-08,2537,phi1_s0.01_g0,7.875022007867043e-08,3383,phi0_s0.01_g0,3.80760201906876e-05,phi0_s0.01_g0
delta_p1em05,0.68662290255614788,0.6866229025561479,0.6866129025561479,0.6866129025561479,1e-05,1e-05,-5.0,2537,phi1_s0.01_g0,phi1_s0.01_g0,phi0_s0.01_g0,3.2816267850372654e-07,6.483910812196818,5.195305737243614e-08,5.195305737243614e-08,0.15831494796824122,5.195305737243614e-08,2537,phi1_s0.01_g0,5.681091088695362e-08,3235,phi0_s0.01_g0,3.959257008801652e-05,phi0_s0.01_g0
delta_p1em04,0.68671290255614792,0.6867129025561479,0.6866129025561479,0.6866129025561479,9.999999999999998e-05,9.999999999999998e-05,-4.0,2537,phi1_s0.01_g0,phi1_s0.01_g0,phi1_s0.01_g0,3.23228801015169e-06,5.4904899487493015,5.195305737243614e-08,5.195305737243614e-08,0.016073152271476578,5.195305737243614e-08,2537,phi1_s0.01_g0,5.7884259643795575e-08,3299,phi1_s0.01_g0,5.0641085814956254e-05,phi1_s0.01_g0
