case,gauge,step,winding_count,residual_phase_per_step,true_step_phase,principal_phase,shutter_phase_offset,readout_bias
above_integer_winding,g0,0,5,0.03,31.445926535897932,0.0,0.0,0.0
above_integer_winding,g0,1,5,0.03,31.445926535897932,0.029999999999999912,0.0,0.0
above_integer_winding,g0,2,5,0.03,31.445926535897932,0.059999999999999824,0.0,0.0
above_integer_winding,g0,3,5,0.03,31.445926535897932,0.08999999999999263,0.0,0.0
above_integer_winding,g0,4,5,0.03,31.445926535897932,0.11999999999999968,0.0,0.0
above_integer_winding,g0,5,5,0.03,31.445926535897932,0.15000000000000668,0.0,0.0
above_integer_winding,g0,6,5,0.03,31.445926535897932,0.17999999999998528,0.0,0.0
above_integer_winding,g0,7,5,0.03,31.445926535897932,0.2099999999999923,0.0,0.0
above_integer_winding,g0,8,5,0.03,31.445926535897932,0.2399999999999993,0.0,0.0
above_integer_winding,g0,9,5,0.03,31.445926535897932,0.2699999999999779,0.0,0.0
above_integer_winding,g0,10,5,0.03,31.445926535897932,0.3000000000000133,0.0,0.0
above_integer_winding,g0,11,5,0.03,31.445926535897932,0.3299999999999919,0.0,0.0
above_integer_winding,g0,12,5,0.03,31.445926535897932,0.35999999999997057,0.0,0.0
above_integer_winding,g0,13,5,0.03,31.445926535897932,0.39000000000000595,0.0,0.0
above_integer_winding,g0,14,5,0.03,31.445926535897932,0.4199999999999846,0.0,0.0
above_integer_winding,g0,15,5,0.03,31.445926535897932,0.45000000000002,0.0,0.0
above_integer_winding,g0,16,5,0.03,31.445926535897932,0.4799999999999986,0.0,0.0
above_integer_winding,g0,17,5,0.03,31.445926535897932,0.5099999999999772,0.0,0.0
above_integer_winding,g0,18,5,0.03,31.445926535897932,0.5399999999999557,0.0,0.0
above_integer_winding,g0,19,5,0.03,31.445926535897932,0.570000000000048,0.0,0.0
above_integer_winding,g0,20,5,0.03,31.445926535897932,0.6000000000000266,0.0,0.0
above_integer_winding,g0,21,5,0.03,31.445926535897932,0.6300000000000052,0.0,0.0
above_integer_winding,g0,22,5,0.03,31.445926535897932,0.6599999999999838,0.0,0.0
above_integer_winding,g0,23,5,0.03,31.445926535897932,0.6899999999999624,0.0,0.0
above_integer_winding,g0,24,5,0.03,31.445926535897932,0.7199999999999411,0.0,0.0
above_integer_winding,g0,25,5,0.03,31.445926535897932,0.7500000000000333,0.0,0.0
above_integer_winding,g0,26,5,0.03,31.445926535897932,0.7800000000000119,0.0,0.0
above_integer_winding,g0,27,5,0.03,31.445926535897932,0.8099999999999906,0.0,0.0
above_integer_winding,g0,28,5,0.03,31.445926535897932,0.8399999999999691,0.0,0.0
above_integer_winding,g0,29,5,0.03,31.445926535897932,0.8699999999999477,0.0,0.0
above_integer_winding,g0,30,5,0.03,31.445926535897932,0.9000000000000401,0.0,0.0
above_integer_winding,g0,31,5,0.03,31.445926535897932,0.9300000000000186,0.0,0.0
above_integer_winding,g0,32,5,0.03,31.445926535897932,0.9599999999999972,0.0,0.0
above_integer_winding,g0,33,5,0.03,31.445926535897932,0.9900000000000895,0.0,0.0
above_integer_winding,g0,34,5,0.03,31.445926535897932,1.0199999999999545,0.0,0.0
above_integer_winding,g0,35,5,0.03,31.445926535897932,1.0500000000000467,0.0,0.0
above_integer_winding,g0,36,5,0.03,31.445926535897932,1.0799999999999115,0.0,0.0
above_integer_winding,g0,37,5,0.03,31.445926535897932,1.1100000000000039,0.0,0.0
above_integer_winding,g0,38,5,0.03,31.445926535897932,1.140000000000096,0.0,0.0
above_integer_winding,g0,39,5,0.03,31.445926535897932,1.169999999999961,0.0,0.0
above_integer_winding,g0,40,5,0.03,31.445926535897932,1.2000000000000532,0.0,0.0
above_integer_winding,g0,41,5,0.03,31.445926535897932,1.2299999999999183,0.0,0.0
above_integer_winding,g0,42,5,0.03,31.445926535897932,1.2600000000000104,0.0,0.0
above_integer_winding,g0,43,5,0.03,31.445926535897932,1.2900000000001028,0.0,0.0
above_integer_winding,g0,44,5,0.03,31.445926535897932,1.3199999999999676,0.0,0.0
above_integer_winding,g0,45,5,0.03,31.445926535897932,1.35000000000006,0.0,0.0
above_integer_winding,g0,46,5,0.03,31.445926535897932,1.3799999999999248,0.0,0.0
above_integer_winding,g0,47,5,0.03,31.445926535897932,1.4100000000000172,0.0,0.0
above_integer_winding,g0,48,5,0.03,31.445926535897932,1.439999999999882,0.0,0.0
above_integer_winding,g0,49,5,0.03,31.445926535897932,1.4699999999999744,0.0,0.0
above_integer_winding,g0,50,5,0.03,31.445926535897932,1.5000000000000666,0.0,0.0
above_integer_winding,g0,51,5,0.03,31.445926535897932,1.5299999999999316,0.0,0.0
