name,winding_count,residual_phase_per_step,step_count,true_step_phase,true_velocity_sign,expected_beat_sign,observed_beat_slope_mean,observed_beat_slope_std,observed_beat_sign,expected_apparent_reverse,observed_apparent_reverse,gauge_count,valid
above_integer_winding,5,0.03,192,31.445926535897932,1.0,1.0,0.030000000000000675,1.1451361535573414e-15,1.0,False,False,5,True
below_integer_winding,5,-0.03,192,31.38592653589793,1.0,-1.0,-0.03000000000000181,1.1454766744947624e-15,-1.0,True,True,5,True
above_high_winding,41,0.0125,192,257.623097594363,1.0,1.0,0.01249999999995197,6.941913964043779e-15,1.0,False,False,5,True
below_high_winding,41,-0.0125,192,257.598097594363,1.0,-1.0,-0.012500000000025832,6.941419548586125e-15,-1.0,True,True,5,True
