モード,波数k,有限位数住所m/n,回帰位数n,全体に占める強度比,窓間コヒーレンス平均,同一空間方向への集中度,単独零閉鎖誤差,B/F住所予測,粒子・反粒子の共役枝,住所から読むモデル電荷量,正負共役対のグラム行列式detΓ,状態と二次量の被覆比,内部スピン構造,相関寿命（ステップ）,総合判定
k=+60,60,5/12,12,2.82353e-06,0.56298,0.25799,0.3586,B型,正方向の共役枝,0.9330127,1.3998e-05,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-59,-59,-59/144,144,2.7951e-06,0.56264,0.25734,0.35531,F型,負方向の共役枝,0.9216957,1.6564e-05,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+61,61,61/144,144,2.78952e-06,0.56297,0.25797,0.35846,F型,正方向の共役枝,0.9435054,1.1674e-05,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-60,-60,-5/12,12,2.76377e-06,0.56266,0.25737,0.35545,B型,負方向の共役枝,0.9330127,1.3998e-05,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+62,62,31/72,72,2.75873e-06,0.56295,0.25794,0.35832,B型,正方向の共役枝,0.9531539,9.5818e-06,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-61,-61,-61/144,144,2.73555e-06,0.56267,0.2574,0.35558,F型,負方向の共役枝,0.9435054,1.1674e-05,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+63,63,7/16,16,2.73103e-06,0.56294,0.25791,0.35819,F型,正方向の共役枝,0.9619398,7.7135e-06,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-62,-62,-31/72,72,2.71033e-06,0.56269,0.25742,0.35572,B型,負方向の共役枝,0.9531539,9.5818e-06,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+64,64,4/9,9,2.70631e-06,0.56293,0.25789,0.35806,B型,正方向の共役枝,0.9698463,6.0613e-06,1:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-63,-63,-7/16,16,2.688e-06,0.5627,0.25745,0.35585,F型,負方向の共役枝,0.9619398,7.7135e-06,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+65,65,65/144,144,2.68447e-06,0.56291,0.25786,0.35792,F型,正方向の共役枝,0.9768585,4.6183e-06,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-64,-64,-4/9,9,2.66848e-06,0.56271,0.25748,0.35598,B型,負方向の共役枝,0.9698463,6.0613e-06,1:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+66,66,11/24,24,2.66541e-06,0.5629,0.25783,0.35779,B型,正方向の共役枝,0.9829629,3.3789e-06,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-65,-65,-65/144,144,2.65168e-06,0.56273,0.2575,0.35611,F型,負方向の共役枝,0.9768585,4.6183e-06,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+67,67,67/144,144,2.64908e-06,0.56289,0.25781,0.35766,F型,正方向の共役枝,0.988148,2.3382e-06,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-66,-66,-11/24,24,2.63755e-06,0.56274,0.25753,0.35624,B型,負方向の共役枝,0.9829629,3.3789e-06,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+68,68,17/36,36,2.63539e-06,0.56287,0.25778,0.35753,B型,正方向の共役枝,0.9924039,1.4922e-06,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-67,-67,-67/144,144,2.62602e-06,0.56275,0.25755,0.35637,F型,負方向の共役枝,0.988148,2.3382e-06,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+69,69,23/48,48,2.6243e-06,0.56286,0.25776,0.3574,F型,正方向の共役枝,0.9957224,8.3747e-07,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-68,-68,-17/36,36,2.61705e-06,0.56277,0.25758,0.3565,B型,負方向の共役枝,0.9924039,1.4922e-06,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+70,70,35/72,72,2.61577e-06,0.56285,0.25773,0.35727,B型,正方向の共役枝,0.9980973,3.7162e-07,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-69,-69,-23/48,48,2.61061e-06,0.56278,0.2576,0.35663,F型,負方向の共役枝,0.9957224,8.3747e-07,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+71,71,71/144,144,2.60976e-06,0.56283,0.25771,0.35714,F型,正方向の共役枝,0.9995241,9.2815e-08,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-70,-70,-35/72,72,2.60667e-06,0.56279,0.25763,0.35676,B型,負方向の共役枝,0.9980973,3.7162e-07,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=+72,72,1/2,2,2.60624e-06,0.56282,0.25768,0.35701,B型,正方向の共役枝,1,0,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
k=-71,-71,-71/144,144,2.60522e-06,0.56281,0.25766,0.35689,F型,負方向の共役枝,0.9995241,9.2815e-08,2:1,未確定（単独では零閉鎖しない）,測定不能,海または未解決
