mode_id,bin_index,signed_k,address_m,address_n,address,state_order,quadratic_order,cover_ratio,power,power_fraction,coherence_mean,coherence_min,rank1_fraction,phase_step_per_window_deg,single_mode_closure_residual,real_imag_rank,cartan_ready,BF_address_prediction,BF_measured,BF_type,BF_status,half_cycle_overlap_real,half_cycle_overlap_imag,half_cycle_fidelity,BF_behavior_residual_to_address_prediction,pair_branch,conjugate_address,model_charge_magnitude,conjugate_pair_det_gamma,coherence_random_reference,coherence_significant_vs_random_reference,state_recurrence_fidelity,quadratic_recurrence_fidelity,spin_structure,physical_spin,lifetime_steps,lifetime_status,status
k-11,133,-11,-11,144,-11/144,144,72,2,0.005697228180760588,3.9564084588615256e-05,0.5600368392322197,0.12839816315404506,0.2533253147480264,-49.723651978725705,0.3348241980639464,2,False,F,,F,register_address_prediction_only,,,,,-m/n,11/144,0.056494583410889136,0.0033871340154495444,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+13,13,13,13,144,13/144,144,72,2,0.005540412668882129,3.847508797834818e-05,0.5645883460585459,0.1501851650432588,0.2620481482410097,-49.03617709250896,0.37894102121164985,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-13/144,0.07830427709355717,0.002334777313986125,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-12,132,-12,-1,12,-1/12,12,6,2,0.004865819122785593,3.3790410574900006e-05,0.5602957653568346,0.1306794842810885,0.2536804443168553,-49.71054250005016,0.3367485210265519,2,False,B,,B,register_address_prediction_only,,,,,-m/n,1/12,0.06698729810778066,0.0026485253738994796,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+14,14,14,7,72,7/72,72,36,2,0.004742641010757511,3.293500701914943e-05,0.5644815156566754,0.150721140408547,0.261677733834707,-49.071053310021085,0.3766126914642952,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-7/72,0.0904239778555041,0.0020245647414793844,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-13,131,-13,-13,144,-13/144,144,72,2,0.004207854875169557,2.9221214410899747e-05,0.5605186746702568,0.13264925927768023,0.2539795611519661,-49.69659450861632,0.33826348423098535,2,False,F,,F,register_address_prediction_only,,,,,-m/n,13/144,0.07830427709355717,0.002334777313986125,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+15,15,15,5,48,5/48,48,24,2,0.004109199666759579,2.8536108796941565e-05,0.5643826356095586,0.15122619301309323,0.26135098949066543,-49.10114592589014,0.37525931597670287,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-5/48,0.10332332985438242,0.0017082706973553519,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-14,130,-14,-7,72,-7/72,72,36,2,0.0036782938345315958,2.5543707184247233e-05,0.5607079449016469,0.13436826302918847,0.25423999903824446,-49.68438290432214,0.33950982638112526,2,False,B,,B,register_address_prediction_only,,,,,-m/n,7/72,0.0904239778555041,0.0020245647414793844,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+16,16,16,1,9,1/9,9,9,1,0.003598138115885567,2.4987070249205365e-05,0.5642918704243998,0.15162149541848782,0.2610962585920227,-49.127708132088486,0.3741599575369671,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-1/9,0.11697777844051097,0.0014783021475136549,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-15,129,-15,-5,48,-5/48,48,24,2,0.0032456921082947656,2.2539528529824797e-05,0.5608694289717118,0.13588257613896493,0.2544701824266596,-49.67276120648172,0.3406770112416121,2,False,F,,F,register_address_prediction_only,,,,,-m/n,5/48,0.10332332985438242,0.0017082706973553519,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+17,17,17,17,144,17/144,144,72,2,0.0031797202652597404,2.2081390730970454e-05,0.5642103867664952,0.15193885032828616,0.2608665762570934,-49.15060399583317,0.3729118903171147,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-17/144,0.13136133159493799,0.0013032684178222453,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-16,128,-16,-1,9,-1/9,9,9,1,0.0028877642185846674,2.0053918184615778e-05,0.5610106113668807,0.13722772249466011,0.25467438716290836,-49.66173850733486,0.3417358236582758,2,False,B,,B,register_address_prediction_only,,,,,-m/n,1/9,0.11697777844051097,0.0014783021475136549,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+18,18,18,1,8,1/8,8,4,2,0.0028327983504243593,1.967221076683586e-05,0.5641356250373515,0.15222483128750638,0.26065429815906976,-49.17071986614238,0.3718343820981134,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-1/8,0.14644660940672624,0.0011473682625169346,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-17,127,-17,-17,144,-17/144,144,72,2,0.0025883134712406143,1.7974399105837626e-05,0.5611351338271745,0.13843151103150975,0.25485664537438035,-49.65148172007774,0.34265459887135624,2,False,F,,F,register_address_prediction_only,,,,,-m/n,17/144,0.13136133159493799,0.0013032684178222453,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+19,19,19,19,144,19/144,144,72,2,0.002542034640513249,1.765301833689759e-05,0.5640667982002612,0.15248973215795275,0.26046975161343455,-49.18888043826465,0.37097673919904783,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-19/144,0.16220489619216982,0.001013152549172669,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-18,126,-18,-1,8,-1/8,8,4,2,0.002335272923255262,1.621717307816157e-05,0.5612452474588944,0.13951600996083716,0.2550205210731128,-49.641920743381554,0.3434793026862268,2,False,B,,B,register_address_prediction_only,,,,,-m/n,1/8,0.14644660940672624,0.0011473682625169346,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+20,20,20,5,36,5/36,36,18,2,0.002295952590405164,1.5944115211146997e-05,0.56400384086725,0.15272726783888105,0.26030597611860745,-49.20513341108316,0.37017178783991034,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-5/36,0.17860619515673035,0.0009019013954094657,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-19,125,-19,-19,144,-19/144,144,72,2,0.0021195354037534734,1.4718995859399144e-05,0.5613435759541491,0.1404989483460361,0.25516895943681067,-49.63292021632673,0.3442381572292972,2,False,F,,F,register_address_prediction_only,,,,,-m/n,19/144,0.16220489619216982,0.001013152549172669,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+21,21,21,7,48,7/48,48,24,2,0.0020858485450647667,1.4485059340727569e-05,0.5639457956364379,0.15293771248673782,0.2601551715518191,-49.219657227225575,0.36940634641936326,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-7/48,0.19561928549563964,0.000806461290398075,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-20,124,-20,-5,36,-5/36,36,18,2,0.0019341386564538767,1.3431518447596386e-05,0.5614321558023808,0.14139472888713936,0.2553041953187996,-49.624502566132605,0.34492860818572374,2,False,B,,B,register_address_prediction_only,,,,,-m/n,5/36,0.17860619515673035,0.0009019013954094657,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+22,22,22,11,72,11/72,72,36,2,0.001905060284133631,1.322958530648357e-05,0.5638918105040831,0.1531269417626744,0.2600177065293429,-49.23282717529563,0.36872761543634647,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-11/72,0.2132117818244769,0.0007230260052523141,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-21,123,-21,-7,48,-7/48,48,24,2,0.0017736716163826822,1.2317164002657535e-05,0.5615122926326146,0.14221517099474112,0.2554279641733287,-49.616640402294934,0.34555669362741637,2,False,F,,F,register_address_prediction_only,,,,,-m/n,7/48,0.19561928549563964,0.000806461290398075,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+23,23,23,23,144,23/144,144,72,2,0.0017484023288707091,1.2141682839379944e-05,0.563841589017336,0.15329969022273385,0.25989311608031646,-49.24487777857412,0.36811638916895545,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-23/144,0.23135019582658808,0.0006505549719716397,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-22,122,-22,-11,72,-11/72,72,36,2,0.0016338753510332963,1.1346356604397908e-05,0.5615851667833359,0.14297006395921716,0.25554173743305386,-49.609248284690764,0.34613570664531923,2,False,B,,B,register_address_prediction_only,,,,,-m/n,11/72,0.2132117818244769,0.0007230260052523141,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+24,24,24,1,6,1/6,6,3,2,0.0016117817952820406,1.1192929133903077e-05,0.5637948318510704,0.1534580272894567,0.2597784711870075,-49.255902300088046,0.3675450849208653,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-1/6,0.24999999999999994,0.0005872684907727299,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-23,121,-23,-23,144,-23/144,144,72,2,0.0015113661061100622,1.0495597959097671e-05,0.5616518388514413,0.14366758431318524,0.25564681115179777,-49.60228052900138,0.34667193273722197,2,False,F,,F,register_address_prediction_only,,,,,-m/n,23/144,0.23135019582658808,0.0006505549719716397,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+25,25,25,25,144,25/144,144,72,2,0.0014919406922415301,1.0360699251677308e-05,0.5637510814291345,0.15360321323670212,0.2596722104352912,-49.266020038792284,0.3670147814481139,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-25/144,0.26912569338248304,0.0005314044974329413,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-24,120,-24,-1,6,-1/6,6,3,2,0.0014034276318455185,9.74602522114945e-06,0.5617131132457871,0.14431461460842787,0.2557442519300708,-49.595717285577365,0.3471684101292656,2,False,B,,B,register_address_prediction_only,,,,,-m/n,1/6,0.24999999999999994,0.0005872684907727299,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+26,26,26,13,72,13/72,72,36,2,0.0013862607766477165,9.626810948942491e-06,0.5637099928848482,0.1537367755366759,0.2595738727529733,-49.27536524867172,0.36652646197970024,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-13/72,0.28869086912965036,0.0004819243323240796,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-25,119,-25,-25,144,-25/144,144,72,2,0.0013078573769683148,9.082342895613312e-06,0.5617696415273588,0.1449169896597386,0.2558349300016235,-49.58952247924073,0.34763008706734266,2,False,F,,F,register_address_prediction_only,,,,,-m/n,25/144,0.26912569338248304,0.0005314044974329413,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+27,27,27,3,16,3/16,16,8,2,0.0012926156241151374,8.976497389688468e-06,0.5636713374383402,0.15386027770393304,0.25948254994499736,-49.28403217720662,0.3660719823243695,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-3/16,0.3086582838174551,0.0004379754142305181,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-26,118,-26,-13,72,-13/72,72,36,2,0.0012228547140700696,8.492046625486608e-06,0.5618220078198459,0.14547968875658035,0.2559195981603407,-49.58365682937482,0.34806161299020955,2,False,B,,B,register_address_prediction_only,,,,,-m/n,13/72,0.28869086912965036,0.0004819243323240796,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+28,28,28,7,36,7/36,36,18,2,0.001209263984665668,8.397666560178263e-06,0.5636348842481947,0.1539749661793014,0.25939722576771074,-49.292091118755536,0.36564601736757646,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-7/36,0.32898992833716556,0.00039872376715865965,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-27,117,-27,-3,16,-3/16,16,8,2,0.001146936600793216,7.964837505508458e-06,0.5618707050150521,0.14600698715551771,0.25599891557808074,-49.578093092175294,0.34846594724560354,2,False,F,,F,register_address_prediction_only,,,,,-m/n,3/16,0.3086582838174551,0.0004379754142305181,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+29,29,29,29,144,29/144,144,72,2,0.00113477001844102,7.880347350284873e-06,0.5636004074221058,0.15408179677648645,0.25931727999850124,-49.29960998918514,0.3652469852093977,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-29/144,0.3496471002478634,0.0003635188465077599,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-28,116,-28,-7,36,-7/36,36,18,2,0.0010788723918340884,7.4921693877367374e-06,0.5619161389962737,0.1465025765545816,0.25607344498206386,-49.57280797264001,0.3488456753512673,2,False,B,,B,register_address_prediction_only,,,,,-m/n,7/36,0.32898992833716556,0.00039872376715865965,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+30,30,30,5,24,5/24,24,12,2,0.0010679409916718157,7.416256886609843e-06,0.5635677229641787,0.154181589569714,0.25924222832464566,-49.306649289127336,0.36487235060152995,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-5/24,0.37059047744873963,0.00033185507790489677,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-29,115,-29,-29,144,-29/144,144,72,2,0.001017633886823367,7.066901991828948e-06,0.5619586621351562,0.14696966170231993,0.25614366941230365,-49.56777729782918,0.3492034500633436,2,False,F,,F,register_address_prediction_only,,,,,-m/n,29/144,0.3496471002478634,0.0003635188465077599,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+31,31,31,31,144,31/144,144,72,2,0.0010077792223830181,6.998466822104304e-06,0.5635366742495281,0.15427508685465574,0.259171545111835,-49.3132582883597,0.36451905166765824,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-31/144,0.3917801930309486,0.0003032817165883328,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-30,114,-30,-5,24,-5/24,24,12,2,0.0009623568120842236,6.6830334172515635e-06,0.56199858334004,0.14741103847306308,0.2562100125904576,-49.56297923509152,0.34954149855440525,2,False,B,,B,register_address_prediction_only,,,,,-m/n,5/24,0.37059047744873963,0.00033185507790489677,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+32,32,32,2,9,2/9,9,9,1,0.0009534451924684011,6.621147169919462e-06,0.5635071154094577,0.15436294276338897,0.259104771608006,-49.319479773448094,0.3641850218209354,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-2/9,0.41317591116653474,0.000277409943865603,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-31,113,-31,-31,144,-31/144,144,72,2,0.0009123104939457649,6.335489541290044e-06,0.562036167621988,0.14782915742329275,0.2562728472064964,-49.55839521191392,0.3498616276103221,2,False,F,,F,register_address_prediction_only,,,,,-m/n,31/144,0.3917801930309486,0.0003032817165883328,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+33,33,33,11,48,11/48,48,24,2,0.0009042285114899119,6.2793646631243984e-06,0.5634789154244146,0.1544457190431109,0.2590415468908448,-49.32535216907874,0.3638686400354767,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-11/48,0.43473690388997416,0.0002539213714509714,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-32,112,-32,-2,9,-2/9,9,9,1,0.0008668738067609913,6.019956991395782e-06,0.5620716445466782,0.14822617588149697,0.2563324999938038,-49.554008224260485,0.3501654878999691,2,False,B,,B,register_address_prediction_only,,,,,-m/n,2/9,0.41317591116653474,0.000277409943865603,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+34,34,34,17,72,17/72,72,36,2,0.0008595247709989485,5.9689220208260405e-06,0.5634519599647989,0.15452390235574998,0.25898154690995323,-49.33090889223073,0.3635682149788696,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-17/72,0.45642212862617093,0.0002325444547773836,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-33,111,-33,-11,48,-11/48,48,24,2,0.0008255160776511144,5.732750539243859e-06,0.5621052166451697,0.14860400091301715,0.25638925912629507,-49.549802506800575,0.35045458412541064,2,False,F,,F,register_address_prediction_only,,,,,-m/n,11/48,0.43473690388997416,0.0002539213714509714,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
