mode_id,bin_index,signed_k,address_m,address_n,address,state_order,quadratic_order,cover_ratio,power,power_fraction,coherence_mean,coherence_min,rank1_fraction,phase_step_per_window_deg,single_mode_closure_residual,real_imag_rank,cartan_ready,BF_address_prediction,BF_measured,BF_type,BF_status,half_cycle_overlap_real,half_cycle_overlap_imag,half_cycle_fidelity,BF_behavior_residual_to_address_prediction,pair_branch,conjugate_address,model_charge_magnitude,conjugate_pair_det_gamma,coherence_random_reference,coherence_significant_vs_random_reference,state_recurrence_fidelity,quadratic_recurrence_fidelity,spin_structure,physical_spin,lifetime_steps,lifetime_status,status
k+1,1,1,1,144,1/144,144,72,2,137.87271846359565,0.9574494337749713,0.9313401691981935,0.7814849586984872,0.5750109361622353,-2.3704842948780467,0.07185833460096064,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-1/144,0.0004758892090711187,0.7250866899002999,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+0,0,0,0,1,0/1,1,1,1,3.8669893093685075,0.026854092426170234,0.6291672720812596,0.04762490533531284,0.3652042550236082,30.655408313013844,0.26155602293764163,2,False,B,,B,register_address_prediction_only,,,,,neutral,0/1,0.0,0.0,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+2,2,2,1,72,1/72,72,36,2,1.1490285007631935,0.007979364588633301,0.5139908952364645,0.07693882422218964,0.31305842664559896,-51.22307104101684,0.48182107460295925,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-1/72,0.001902650954127234,0.4594854979679679,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-1,143,-1,-1,144,-1/144,144,72,2,0.2602477535769628,0.0018072760665066888,0.520954064663622,0.08919554240154257,0.22991161560008846,-47.02960482376836,0.36964624004278607,2,False,F,,F,register_address_prediction_only,,,,,-m/n,1/144,0.0004758892090711187,0.7250866899002999,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+3,3,3,1,48,1/48,48,24,2,0.21374320009674858,0.0014843277784496452,0.5544237548197967,0.08907488676313896,0.30049755081428214,-43.77269355134157,0.48381966433264156,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-1/48,0.004277569313094794,0.09151552876745128,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-2,142,-2,-1,72,-1/72,72,36,2,0.09806167258475064,0.0006809838373941028,0.5448716666966932,0.09016546428803164,0.24024035870652974,-47.93063765649556,0.29137428429239265,2,False,B,,B,register_address_prediction_only,,,,,-m/n,1/72,0.001902650954127234,0.4594854979679679,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+4,4,4,1,36,1/36,36,18,2,0.08665690373829966,0.0006017840537381931,0.5681084415623346,0.14424093742436592,0.26996929176566453,-47.67005959611258,0.36742014903299974,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-1/36,0.007596123493895969,0.02285719493699856,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-3,141,-3,-1,48,-1/48,48,24,2,0.05294892850088111,0.0003677008923672305,0.550796455322975,0.08064117551193334,0.24264858783779694,-49.16823162977578,0.3088733115463041,2,False,F,,F,register_address_prediction_only,,,,,-m/n,1/48,0.004277569313094794,0.09151552876745128,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+5,5,5,5,144,5/144,144,72,2,0.04874479609808228,0.00033850552845890523,0.565590120368159,0.1594393366729024,0.2690332891246462,-47.90864605705688,0.4447389183387425,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-5/144,0.011851996440033315,0.015030620625972602,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-4,140,-4,-1,36,-1/36,36,18,2,0.033490983477428654,0.00023257627414881047,0.5539083953631264,0.09051713399202503,0.24733274158975413,-49.55886000933821,0.3196027958967995,2,False,B,,B,register_address_prediction_only,,,,,-m/n,1/36,0.007596123493895969,0.02285719493699856,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+6,6,6,1,24,1/24,24,12,2,0.031378171343200756,0.0002179039676611167,0.5655770015426231,0.1585385704238795,0.2712114214867315,-48.52870491488776,0.42663145310389516,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-1/24,0.01703708685546585,0.020296495224529698,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-5,139,-5,-5,144,-5/144,144,72,2,0.02298725238590077,0.00015963369712431114,0.5558779064982323,0.10046380900136728,0.24913128761977535,-49.6637753574296,0.3202215280160746,2,False,F,,F,register_address_prediction_only,,,,,-m/n,5/144,0.011851996440033315,0.015030620625972602,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+7,7,7,7,144,7/144,144,72,2,0.02168395745079457,0.0001505830378527403,0.5657850645593768,0.1507092482785418,0.26715336534414874,-48.48220248755425,0.39176272578934335,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-7/144,0.023141524625886537,0.011101845063337779,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-6,138,-6,-1,24,-1/24,24,12,2,0.016765907009585537,0.00011642990978878864,0.5573112506260305,0.10804715148378176,0.2500366063471443,-49.693028735289225,0.3201926772574225,2,False,B,,B,register_address_prediction_only,,,,,-m/n,1/24,0.01703708685546585,0.020296495224529698,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+8,8,8,1,18,1/18,18,9,2,0.01595718650478745,0.00011081379517213525,0.5653448068840695,0.14510550503799086,0.2646037306908802,-48.67732208950208,0.3913980456470853,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-1/18,0.030153689607045803,0.005289554511211825,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-7,137,-7,-7,144,-7/144,144,72,2,0.01280229434294999,8.890482182604174e-05,0.5581810703517661,0.11397649583606204,0.25099648404034564,-49.76788163428111,0.32348252512991105,2,False,F,,F,register_address_prediction_only,,,,,-m/n,7/144,0.023141524625886537,0.011101845063337779,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+9,9,9,1,16,1/16,16,8,2,0.012271553737340084,8.521912317597295e-05,0.5651269754245943,0.14631564037736472,0.26436305043858926,-48.825824882568284,0.3934797480788113,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-1/16,0.03806023374435662,0.004868658836794659,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-8,136,-8,-1,18,-1/18,18,9,2,0.010103888112161282,7.016588966778679e-05,0.5587976193727777,0.11870281831792036,0.25185533510846136,-49.76235984062503,0.3278809873332169,2,False,B,,B,register_address_prediction_only,,,,,-m/n,1/18,0.030153689607045803,0.005289554511211825,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+10,10,10,5,72,5/72,72,36,2,0.009732601660052666,6.758751152814362e-05,0.56498868854081,0.14809945607683891,0.26377314103649263,-48.89485527915986,0.38613746799959336,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-5/72,0.04684610648167502,0.004584794484807531,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-9,135,-9,-1,16,-1/16,16,8,2,0.008182515872547683,5.682302689269233e-05,0.5593123669908324,0.12254455107912443,0.25243860556742975,-49.746556578123034,0.3309150563273062,2,False,F,,F,register_address_prediction_only,,,,,-m/n,1/16,0.03806023374435662,0.004868658836794659,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+11,11,11,11,144,11/144,144,72,2,0.00791041957121422,5.4933469244543284e-05,0.5648676768315531,0.14935048087607494,0.26290633797169394,-48.94128321528705,0.38184110799774457,2,False,F,,F,register_address_prediction_only,,,,,+m/n,-11/144,0.056494583410889136,0.0033871340154495444,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k-10,134,-10,-5,72,-5/72,72,36,2,0.006768441312556893,4.7003064670534055e-05,0.5597169186321943,0.12572379959708344,0.25290961459086847,-49.733956093595005,0.33285714390279747,2,False,B,,B,register_address_prediction_only,,,,,-m/n,5/72,0.04684610648167502,0.004584794484807531,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
k+12,12,12,1,12,1/12,12,6,2,0.006563896571641313,4.5582615080842526e-05,0.5647176608856608,0.14983263222023638,0.2623967730391134,-48.99158599708986,0.38094952058737613,2,False,B,,B,register_address_prediction_only,,,,,+m/n,-1/12,0.06698729810778066,0.0026485253738994796,0.8783880656109592,False,,,unresolved_non_null_single_mode,unresolved_parent_cartan_map,,unavailable,sea_or_unresolved
