t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(115.02943725152292),np.float64(45.058974105176155),np.float64(-5.4957036583964545),np.float64(17.32893496043368),np.float64(4.440892098500626e-16)
1,np.float64(115.0294372515229),np.float64(45.058974105176134),np.float64(-5.4957036583966445),np.float64(19.087392658675494),np.float64(4.440892098500626e-16)
2,np.float64(115.02943725152275),np.float64(45.058974105176134),np.float64(-5.495703658396318),np.float64(20.360854105732585),np.float64(8.881784197001252e-16)
3,np.float64(115.02943725152247),np.float64(45.05897410517618),np.float64(-5.495703658396234),np.float64(22.974330882168033),np.float64(8.881784197001252e-16)
4,np.float64(115.02943725152251),np.float64(45.05897410517623),np.float64(-5.4957036583960885),np.float64(29.288824717845515),np.float64(1.7763568394002505e-15)
5,np.float64(115.0294372515225),np.float64(45.05897410517639),np.float64(-5.4957036583955805),np.float64(37.59613383183442),np.float64(1.7763568394002505e-15)
6,np.float64(115.02943725152242),np.float64(45.05897410517641),np.float64(-5.49570365839568),np.float64(40.017738447245904),np.float64(1.7763568394002505e-15)
7,np.float64(115.02943725152247),np.float64(45.05897410517638),np.float64(-5.495703658395296),np.float64(41.60291066593657),np.float64(3.552713678800501e-15)
8,np.float64(115.02943725152261),np.float64(45.058974105176404),np.float64(-5.495703658395447),np.float64(46.12839839382674),np.float64(8.881784197001252e-16)
9,np.float64(115.02943725152244),np.float64(45.05897410517646),np.float64(-5.495703658394229),np.float64(48.96268132436827),np.float64(3.552713678800501e-15)
10,np.float64(115.02943725152255),np.float64(45.058974105176624),np.float64(-5.495703658393293),np.float64(49.54024900247058),np.float64(8.881784197001252e-16)
11,np.float64(115.02943725152258),np.float64(45.05897410517667),np.float64(-5.495703658393059),np.float64(49.944007744762416),np.float64(1.7763568394002505e-15)
12,np.float64(115.02943725152257),np.float64(45.05897410517666),np.float64(-5.495703658393245),np.float64(50.353597199816186),np.float64(3.552713678800501e-15)
13,np.float64(115.02943725152248),np.float64(45.05897410517669),np.float64(-5.495703658393257),np.float64(50.76063698174344),np.float64(1.7763568394002505e-15)
14,np.float64(115.02943725152237),np.float64(45.058974105176546),np.float64(-5.495703658393698),np.float64(51.339925422365724),np.float64(1.7763568394002505e-15)
15,np.float64(115.02943725152191),np.float64(45.058974105176276),np.float64(-5.4957036583936745),np.float64(51.80195552613522),np.float64(3.552713678800501e-15)
16,np.float64(115.02943725152164),np.float64(45.058974105176304),np.float64(-5.49570365839252),np.float64(52.03605191616222),np.float64(3.552713678800501e-15)
17,np.float64(115.02943725152149),np.float64(45.05897410517636),np.float64(-5.495703658392575),np.float64(52.1514944528575),np.float64(3.552713678800501e-15)
18,np.float64(115.02943725152167),np.float64(45.05897410517642),np.float64(-5.4957036583921015),np.float64(52.21645723593244),np.float64(3.552713678800501e-15)
19,np.float64(115.02943725152161),np.float64(45.05897410517632),np.float64(-5.495703658393648),np.float64(52.26366056667307),np.float64(8.881784197001252e-16)
20,np.float64(115.02943725152161),np.float64(45.058974105176375),np.float64(-5.49570365839374),np.float64(52.28761748961308),np.float64(8.881784197001252e-16)
21,np.float64(115.02943725152187),np.float64(45.058974105176524),np.float64(-5.495703658392969),np.float64(52.30388418156163),np.float64(3.552713678800501e-15)
22,np.float64(115.0294372515219),np.float64(45.058974105176695),np.float64(-5.4957036583922045),np.float64(52.322849034265914),np.float64(8.881784197001252e-16)
23,np.float64(115.02943725152173),np.float64(45.05897410517658),np.float64(-5.495703658392401),np.float64(52.33833407479647),np.float64(8.881784197001252e-16)
24,np.float64(115.02943725152166),np.float64(45.05897410517646),np.float64(-5.4957036583924825),np.float64(52.346845506549315),np.float64(8.881784197001252e-16)
25,np.float64(115.02943725152153),np.float64(45.05897410517653),np.float64(-5.495703658392159),np.float64(52.35357355461078),np.float64(3.552713678800501e-15)
26,np.float64(115.02943725152167),np.float64(45.0589741051766),np.float64(-5.495703658391653),np.float64(52.36311656052584),np.float64(3.552713678800501e-15)
27,np.float64(115.0294372515217),np.float64(45.05897410517649),np.float64(-5.495703658391925),np.float64(52.371489437171704),np.float64(3.552713678800501e-15)
28,np.float64(115.02943725152183),np.float64(45.058974105176524),np.float64(-5.495703658391509),np.float64(52.37605124046222),np.float64(3.552713678800501e-15)
29,np.float64(115.02943725152151),np.float64(45.05897410517652),np.float64(-5.495703658391296),np.float64(52.37954113289782),np.float64(3.552713678800501e-15)
30,np.float64(115.02943725152147),np.float64(45.058974105176524),np.float64(-5.495703658391164),np.float64(52.385337588069056),np.float64(8.881784197001252e-16)
31,np.float64(115.02943725152123),np.float64(45.05897410517634),np.float64(-5.4957036583929195),np.float64(52.390941673077414),np.float64(3.552713678800501e-15)
32,np.float64(115.02943725152136),np.float64(45.05897410517639),np.float64(-5.495703658392971),np.float64(52.39399132832338),np.float64(8.881784197001252e-16)
