N,M,small_zero_hits,nontrivial_small_zero_hits,min_nontrivial_k,best_nontrivial_residual,best_nontrivial_edges
3,3,0,0,,,
4,6,8,0,,,
5,10,59,54,2.0,1.415156740149093e-10,"1-2,1-5,2-4,4-5"
6,15,164,158,5.0,2.8219417793238087e-11,"2-3,2-4,2-6,3-4,4-6"
7,21,0,0,,,
8,28,0,0,,,
9,36,0,0,,,
10,45,0,0,,,
11,55,0,0,,,
12,66,0,0,,,
13,78,0,0,,,
14,91,0,0,,,
15,105,0,0,,,
16,120,0,0,,,
