N,M,k,best_residual,edges,runtime_s
6,15,6,0.040676188951418696,"1-3,1-5,2-3,2-5,3-6,5-6",0.03243303298950195
7,21,6,3.4374055627170255e-14,"2-3,2-6,3-4,3-5,3-6,3-7",0.10838198661804199
8,28,6,0.0003624326094907375,"1-3,2-3,2-8,3-6,5-7,5-8",0.1616530418395996
9,36,6,0.0002456918776941236,"1-3,1-6,2-8,2-9,4-6,4-9",0.359954833984375
10,45,5,0.00040344753698890194,"1-6,1-9,2-3,3-10,9-10",0.05582118034362793
10,45,6,0.000263394170739561,"1-7,1-10,2-8,3-8,5-10,8-10",0.7334208488464355
11,55,5,0.00023339391719701978,"2-9,3-5,4-11,6-9,6-10",0.0862417221069336
11,55,6,4.400257829121586e-05,"1-8,2-10,2-11,3-4,3-7,9-11",1.4232139587402344
12,66,5,0.00014824051050395693,"1-5,1-8,2-4,5-8,9-11",0.1296558380126953
12,66,6,4.570774181862328e-05,"3-10,3-11,4-8,4-9,5-12,11-12",2.4815800189971924
13,78,5,6.697473703194727e-05,"1-8,1-12,2-7,3-4,3-13",0.18729209899902344
13,78,6,7.421757853582074e-06,"1-4,2-6,2-12,3-10,4-13,7-8",4.175893068313599
