cover_id,blocks,max_block_residual,pair_blocks
0,5,1.2332429078455712e-08,1-2+1-5 | 1-3+1-4 | 2-3+2-5 | 2-4+4-5 | 3-4+3-5
1,5,1.7001632281828327e-08,1-2+1-5 | 1-3+1-4 | 2-3+3-4 | 2-4+4-5 | 2-5+3-5
2,5,8.058788074273427e-09,1-2+1-5 | 1-3+2-3 | 1-4+2-5 | 2-4+4-5 | 3-4+3-5
3,5,1.2716240323428182e-08,1-2+1-5 | 1-3+2-3 | 1-4+3-4 | 2-4+4-5 | 2-5+3-5
4,5,1.7006725624446512e-08,1-2+1-5 | 1-3+3-5 | 1-4+2-5 | 2-3+3-4 | 2-4+4-5
5,5,1.7006725624446512e-08,1-2+1-5 | 1-3+3-5 | 1-4+3-4 | 2-3+2-5 | 2-4+4-5
6,5,1.344746266862433e-08,1-2+2-4 | 1-3+1-4 | 1-5+4-5 | 2-3+2-5 | 3-4+3-5
7,5,1.7001632281828327e-08,1-2+2-4 | 1-3+1-4 | 1-5+4-5 | 2-3+3-4 | 2-5+3-5
8,5,1.344746266862433e-08,1-2+2-4 | 1-3+2-3 | 1-4+2-5 | 1-5+4-5 | 3-4+3-5
9,5,1.344746266862433e-08,1-2+2-4 | 1-3+2-3 | 1-4+3-4 | 1-5+4-5 | 2-5+3-5
10,5,1.7006725624446512e-08,1-2+2-4 | 1-3+3-5 | 1-4+2-5 | 1-5+4-5 | 2-3+3-4
11,5,1.7006725624446512e-08,1-2+2-4 | 1-3+3-5 | 1-4+3-4 | 1-5+4-5 | 2-3+2-5
