N,M,k,best_residual,edges,runtime_s
14,91,6,9.249993443238053e-07,"1-7,2-14,4-10,5-9,5-14,10-13",6.7268712520599365
15,105,6,4.762522725116778e-06,"1-10,3-11,3-14,4-8,6-9,9-14",11.017444133758545
16,120,4,6.493034171385704e-05,"3-15,7-9,8-11,10-13",0.38895583152770996
16,120,5,6.570761368426255e-05,"3-9,3-16,6-16,7-14,15-16",0.556161642074585
16,120,6,3.0962689308957035e-06,"3-10,5-8,8-12,8-16,10-14,10-15",16.00195050239563
