N,M,k,residual,star_span_trivial,star_span_error,edges
5,10,4,4.6289306073566075e-09,False,0.816496580927726,"2-3,2-4,2-5,4-5"
5,10,4,6.967311426066021e-09,False,0.816496580927726,"2-3,2-4,3-4,4-5"
5,10,4,2.1438175986567743e-09,False,0.816496580927726,"2-3,2-5,3-4,3-5"
5,10,4,7.894275389123832e-09,False,0.816496580927726,"2-4,2-5,3-5,4-5"
5,10,4,5.568026723143899e-09,False,0.816496580927726,"2-4,3-4,3-5,4-5"
6,15,5,5.5327190201117006e-08,True,5.042172963957092e-16,"1-2,1-3,1-4,1-5,1-6"
6,15,5,5.058757294544979e-09,False,1.0,"1-2,1-3,1-4,1-5,3-5"
6,15,5,5.532582615595878e-08,False,1.0,"1-2,1-3,1-4,1-6,3-6"
6,15,5,5.057524710524052e-09,False,1.4142135623730951,"1-2,1-3,1-4,3-5,3-6"
6,15,5,8.46689633970645e-09,False,1.0,"1-2,1-3,1-5,1-6,2-3"
6,15,5,8.411437152710697e-09,False,1.0,"1-2,1-3,1-5,1-6,2-5"
6,15,5,5.524821845120026e-08,False,1.224744871391589,"1-2,1-3,1-5,1-6,4-6"
6,15,5,5.3567667584208335e-08,False,0.9999999999999999,"1-2,1-3,1-5,2-3,3-5"
6,15,5,5.366554694656075e-08,False,1.0,"1-2,1-3,1-5,2-5,3-5"
6,15,5,4.9800609746514656e-09,False,1.5811388300841898,"1-2,1-3,1-5,3-5,4-6"
6,15,5,8.494067692281571e-09,False,1.0,"1-2,1-3,1-6,2-3,3-6"
6,15,5,8.438478632114776e-09,False,1.4142135623730951,"1-2,1-3,1-6,2-5,3-6"
6,15,5,5.5246819748176086e-08,False,1.224744871391589,"1-2,1-3,1-6,3-6,4-6"
6,15,5,5.35732613311597e-08,False,1.0,"1-2,1-3,2-3,3-5,3-6"
6,15,5,5.367108194752485e-08,False,1.4142135623730951,"1-2,1-3,2-5,3-5,3-6"
6,15,5,4.9784456775581844e-09,False,1.5811388300841898,"1-2,1-3,3-5,3-6,4-6"
6,15,5,5.538379400870537e-08,False,1.0,"1-2,1-4,1-5,1-6,5-6"
6,15,5,5.115362445742729e-09,False,1.4142135623730951,"1-2,1-4,1-5,3-5,5-6"
6,15,5,5.538241754427181e-08,False,1.4142135623730951,"1-2,1-4,1-6,3-6,5-6"
6,15,5,8.466745057315069e-09,False,1.0,"1-2,1-4,2-3,2-4,2-6"
6,15,5,6.168945577760314e-11,False,1.0,"1-2,1-4,2-3,2-4,3-4"
6,15,5,1.689178159177124e-10,False,1.224744871391589,"1-2,1-4,2-3,2-4,4-5"
6,15,5,8.340604491817293e-09,False,1.0,"1-2,1-4,2-4,2-5,2-6"
6,15,5,1.3490505300837976e-10,False,1.2247448713915892,"1-2,1-4,2-4,2-5,3-4"
6,15,5,2.8241644662914023e-11,False,1.0,"1-2,1-4,2-4,2-5,4-5"
6,15,5,6.038586468544127e-08,False,1.0,"1-2,1-4,2-4,2-6,4-6"
6,15,5,5.8563172620050446e-08,False,0.9999999999999999,"1-2,1-4,2-4,3-4,4-6"
6,15,5,5.859774572112021e-08,False,0.9999999999999999,"1-2,1-4,2-4,4-5,4-6"
6,15,5,5.113993782780308e-09,False,1.7320508075688772,"1-2,1-4,3-5,3-6,5-6"
6,15,5,8.425887306540018e-09,False,1.4142135623730951,"1-2,1-5,1-6,2-3,5-6"
6,15,5,8.369672659804698e-09,False,0.9999999999999999,"1-2,1-5,1-6,2-5,5-6"
6,15,5,5.530485221284883e-08,False,1.224744871391589,"1-2,1-5,1-6,4-6,5-6"
6,15,5,5.3508050823633445e-08,False,1.4142135623730951,"1-2,1-5,2-3,3-5,5-6"
6,15,5,5.360596348845305e-08,False,0.9999999999999999,"1-2,1-5,2-5,3-5,5-6"
6,15,5,5.03699198675189e-09,False,1.5811388300841898,"1-2,1-5,3-5,4-6,5-6"
6,15,5,8.453099924723014e-09,False,1.4142135623730951,"1-2,1-6,2-3,3-6,5-6"
6,15,5,8.396757401344117e-09,False,1.414213562373095,"1-2,1-6,2-5,3-6,5-6"
6,15,5,5.530344108560424e-08,False,1.224744871391589,"1-2,1-6,3-6,4-6,5-6"
6,15,5,5.7951389651818325e-08,True,9.541345590917728e-16,"1-2,2-3,2-4,2-5,2-6"
6,15,5,5.861249453877376e-08,False,1.0,"1-2,2-3,2-4,2-5,3-4"
6,15,5,5.85777428384588e-08,False,1.0,"1-2,2-3,2-4,2-5,4-5"
6,15,5,8.379027058060243e-09,False,1.0,"1-2,2-3,2-4,2-6,4-6"
6,15,5,9.503414766021876e-11,False,1.224744871391589,"1-2,2-3,2-4,3-4,4-6"
6,15,5,6.700931102952923e-11,False,1.4142135623730951,"1-2,2-3,2-4,4-5,4-6"
6,15,5,5.351363639877153e-08,False,1.414213562373095,"1-2,2-3,3-5,3-6,5-6"
6,15,5,8.253440742975321e-09,False,1.0,"1-2,2-4,2-5,2-6,4-6"
6,15,5,2.338872212799278e-10,False,1.4142135623730951,"1-2,2-4,2-5,3-4,4-6"
6,15,5,8.962462750095154e-11,False,1.224744871391589,"1-2,2-4,2-5,4-5,4-6"
6,15,5,5.3611490335047946e-08,False,1.4142135623730951,"1-2,2-5,3-5,3-6,5-6"
6,15,5,5.035242891539685e-09,False,1.5811388300841898,"1-2,3-5,3-6,4-6,5-6"
6,15,5,5.5351015527485326e-08,False,1.224744871391589,"1-3,1-4,1-5,1-6,2-6"
6,15,5,5.357339118404178e-08,False,1.0,"1-3,1-4,1-5,1-6,3-4"
6,15,5,5.360609506075218e-08,False,1.0,"1-3,1-4,1-5,1-6,4-5"
6,15,5,5.083086583288139e-09,False,1.5811388300841898,"1-3,1-4,1-5,2-6,3-5"
6,15,5,8.494082724359787e-09,False,0.9999999999999999,"1-3,1-4,1-5,3-4,3-5"
6,15,5,8.36969036155733e-09,False,1.0,"1-3,1-4,1-5,3-5,4-5"
6,15,5,5.534968421739727e-08,False,1.224744871391589,"1-3,1-4,1-6,2-6,3-6"
6,15,5,5.35677975065438e-08,False,1.0,"1-3,1-4,1-6,3-4,3-6"
6,15,5,5.360058249843364e-08,False,1.4142135623730951,"1-3,1-4,1-6,3-6,4-5"
6,15,5,5.082209610327567e-09,False,1.5811388300841898,"1-3,1-4,2-6,3-5,3-6"
6,15,5,8.46691149712843e-09,False,1.0,"1-3,1-4,3-4,3-5,3-6"
6,15,5,8.342613341272914e-09,False,1.4142135623730951,"1-3,1-4,3-5,3-6,4-5"
6,15,5,8.520293374688313e-09,False,1.4142135623730951,"1-3,1-5,1-6,2-3,2-6"
6,15,5,5.057383558506295e-09,False,1.4142135623730951,"1-3,1-5,1-6,2-3,3-4"
6,15,5,5.002714823161189e-09,False,1.5811388300841898,"1-3,1-5,1-6,2-3,4-5"
6,15,5,8.464122398489861e-09,False,1.4142135623730951,"1-3,1-5,1-6,2-5,2-6"
6,15,5,5.172772878355385e-09,False,1.5811388300841898,"1-3,1-5,1-6,2-5,3-4"
6,15,5,5.1152201300281845e-09,False,1.4142135623730951,"1-3,1-5,1-6,2-5,4-5"
6,15,5,5.5271964863499104e-08,False,1.4142135623730951,"1-3,1-5,1-6,2-6,4-6"
6,15,5,5.3505572850810945e-08,False,1.4142135623730951,"1-3,1-5,1-6,3-4,4-6"
6,15,5,5.353804480851922e-08,False,1.4142135623730951,"1-3,1-5,1-6,4-5,4-6"
6,15,5,5.3553822226170556e-08,False,1.4142135623730951,"1-3,1-5,2-3,2-6,3-5"
6,15,5,5.532569018451144e-08,False,1.0,"1-3,1-5,2-3,3-4,3-5"
6,15,5,5.527005621680556e-08,False,1.224744871391589,"1-3,1-5,2-3,3-5,4-5"
6,15,5,5.365155934979439e-08,False,1.4142135623730951,"1-3,1-5,2-5,2-6,3-5"
6,15,5,5.543955647653399e-08,False,1.224744871391589,"1-3,1-5,2-5,3-4,3-5"
6,15,5,5.5383656538006626e-08,False,1.0,"1-3,1-5,2-5,3-5,4-5"
6,15,5,5.003525219803974e-09,False,1.7320508075688772,"1-3,1-5,2-6,3-5,4-6"
6,15,5,8.534040078951996e-09,False,1.414213562373095,"1-3,1-5,3-4,3-5,4-6"
6,15,5,8.408498475242863e-09,False,1.4142135623730951,"1-3,1-5,3-5,4-5,4-6"
6,15,5,8.547502905818878e-09,False,1.0,"1-3,1-6,2-3,2-6,3-6"
6,15,5,5.05861629846833e-09,False,1.0,"1-3,1-6,2-3,3-4,3-6"
6,15,5,5.00479342327404e-09,False,1.5811388300841898,"1-3,1-6,2-3,3-6,4-5"
6,15,5,8.491205322420036e-09,False,1.4142135623730951,"1-3,1-6,2-5,2-6,3-6"
6,15,5,5.173474929252585e-09,False,1.5811388300841898,"1-3,1-6,2-5,3-4,3-6"
6,15,5,5.116744281584361e-09,False,1.7320508075688772,"1-3,1-6,2-5,3-6,4-5"
6,15,5,5.527059894066231e-08,False,1.0,"1-3,1-6,2-6,3-6,4-6"
6,15,5,5.3499938293053206e-08,False,1.0,"1-3,1-6,3-4,3-6,4-6"
6,15,5,5.3532491484366904e-08,False,1.4142135623730951,"1-3,1-6,3-6,4-5,4-6"
6,15,5,5.3559450558251246e-08,False,1.0,"1-3,2-3,2-6,3-5,3-6"
6,15,5,5.5327054205739856e-08,True,2.0872312385173473e-16,"1-3,2-3,3-4,3-5,3-6"
6,15,5,5.5271496965786105e-08,False,1.224744871391589,"1-3,2-3,3-5,3-6,4-5"
6,15,5,5.365712892698186e-08,False,1.4142135623730951,"1-3,2-5,2-6,3-5,3-6"
6,15,5,5.544087075647341e-08,False,1.224744871391589,"1-3,2-5,3-4,3-5,3-6"
6,15,5,5.538504733004588e-08,False,1.414213562373095,"1-3,2-5,3-5,3-6,4-5"
6,15,5,5.002272784020349e-09,False,1.4142135623730951,"1-3,2-6,3-5,3-6,4-6"
6,15,5,8.506783898095208e-09,False,0.9999999999999999,"1-3,3-4,3-5,3-6,4-6"
6,15,5,8.381331049802307e-09,False,1.4142135623730951,"1-3,3-5,3-6,4-5,4-6"
6,15,5,5.54075910129553e-08,False,1.224744871391589,"1-4,1-5,1-6,2-6,5-6"
6,15,5,5.363302058462507e-08,False,1.4142135623730951,"1-4,1-5,1-6,3-4,5-6"
6,15,5,5.366567852367484e-08,False,1.0,"1-4,1-5,1-6,4-5,5-6"
6,15,5,5.139380989679181e-09,False,1.5811388300841898,"1-4,1-5,2-6,3-5,5-6"
6,15,5,8.535299714375045e-09,False,1.4142135623730951,"1-4,1-5,3-4,3-5,5-6"
6,15,5,8.411455659144884e-09,False,1.0,"1-4,1-5,3-5,4-5,5-6"
6,15,5,5.5406247231467055e-08,False,1.224744871391589,"1-4,1-6,2-6,3-6,5-6"
6,15,5,5.362741883562006e-08,False,1.4142135623730951,"1-4,1-6,3-4,3-6,5-6"
6,15,5,5.366015781462383e-08,False,1.4142135623730951,"1-4,1-6,3-6,4-5,5-6"
6,15,5,8.976061376077921e-11,False,1.224744871391589,"1-4,2-3,2-4,2-6,3-4"
6,15,5,2.339907058511575e-10,False,1.4142135623730951,"1-4,2-3,2-4,2-6,4-5"
6,15,5,8.253375443491929e-09,False,1.0,"1-4,2-3,2-4,3-4,4-5"
6,15,5,6.691577944363017e-11,False,1.4142135623730951,"1-4,2-4,2-5,2-6,3-4"
6,15,5,9.509468249743926e-11,False,1.224744871391589,"1-4,2-4,2-5,2-6,4-5"
6,15,5,8.378960497488666e-09,False,1.0,"1-4,2-4,2-5,3-4,4-5"
6,15,5,5.857786980693631e-08,False,1.0,"1-4,2-4,2-6,3-4,4-6"
6,15,5,5.8612621630858445e-08,False,1.0,"1-4,2-4,2-6,4-5,4-6"
6,15,5,5.7951508656424525e-08,True,4.524210429505962e-16,"1-4,2-4,3-4,4-5,4-6"
6,15,5,5.138364627400584e-09,False,1.5811388300841898,"1-4,2-6,3-5,3-6,5-6"
6,15,5,8.508170130121455e-09,False,1.414213562373095,"1-4,3-4,3-5,3-6,5-6"
6,15,5,8.384422204212473e-09,False,1.4142135623730951,"1-4,3-5,3-6,4-5,5-6"
6,15,5,8.479516663416909e-09,False,1.4142135623730951,"1-5,1-6,2-3,2-6,5-6"
6,15,5,5.0010363178701175e-09,False,1.7320508075688772,"1-5,1-6,2-3,3-4,5-6"
6,15,5,4.945640612514798e-09,False,1.5811388300841898,"1-5,1-6,2-3,4-5,5-6"
6,15,5,8.422593008205674e-09,False,1.0,"1-5,1-6,2-5,2-6,5-6"
6,15,5,5.116904943344874e-09,False,1.5811388300841898,"1-5,1-6,2-5,3-4,5-6"
6,15,5,5.058614820268459e-09,False,0.9999999999999999,"1-5,1-6,2-5,4-5,5-6"
6,15,5,5.5328570334299467e-08,False,1.0,"1-5,1-6,2-6,4-6,5-6"
6,15,5,5.35652252272108e-08,False,1.4142135623730951,"1-5,1-6,3-4,4-6,5-6"
6,15,5,5.359765143304381e-08,False,1.0,"1-5,1-6,4-5,4-6,5-6"
6,15,5,5.349418588383193e-08,False,1.4142135623730951,"1-5,2-3,2-6,3-5,5-6"
6,15,5,5.526910959007074e-08,False,1.4142135623730951,"1-5,2-3,3-4,3-5,5-6"
6,15,5,5.5213409254964945e-08,False,1.224744871391589,"1-5,2-3,3-5,4-5,5-6"
6,15,5,5.359195620028437e-08,False,1.0,"1-5,2-5,2-6,3-5,5-6"
6,15,5,5.5383019084304206e-08,False,1.224744871391589,"1-5,2-5,3-4,3-5,5-6"
