N,den,components,survivors,sup_max,trimmed_points
3,3,3,3,,0
4,4,6,1,4.920582e-02,1
5,5,10,4,5.112122e-16,4
6,6,15,5,6.090796e-16,5
7,7,21,6,5.906282e-16,6
8,8,28,7,4.784909e-16,7
9,9,36,8,9.447181e-16,8
10,10,45,9,7.890293e-16,9
11,11,55,10,1.011681e-15,10
12,12,66,11,2.536746e-15,11
13,13,78,12,2.474198e-15,12
14,14,91,13,5.073750e-16,13
15,15,105,14,1.311876e-13,14
16,16,120,15,4.885448e-12,15
17,17,136,16,7.124276e-11,16
18,18,153,17,1.144538e-09,17
19,19,171,18,2.279449e-08,18
20,20,190,19,1.633115e-07,19
21,21,210,20,1.284655e-06,20
22,22,231,21,4.589773e-06,21
23,23,253,22,2.020402e-05,22
24,24,276,23,6.514189e-05,23
25,25,300,24,1.631531e-04,24
26,26,325,25,6.253889e-04,25
27,27,351,26,1.652981e-03,26
28,28,378,27,2.444072e-03,27
29,29,406,28,7.480025e-03,28
30,30,435,29,9.400862e-03,29
31,31,465,30,1.964620e-02,30
32,32,496,31,1.840775e-02,31
33,33,528,34,4.398192e-02,34
