candidate,fit_valid,loglog_slope,power_candidate_alpha,case_count,protocol,tau_mode,readout_mode,candidate_kind,alpha_near_positive_2,loglog_intercept,log_rmse,min_value,max_value
native_max_f_AB,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_normal,native,False,,,,
native_max_Q_raw,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_normal,native,False,,,,
native_max_closure_relaxation,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_normal,native,False,,,,
native_max_envelope_V_AB,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_normal,native,False,,,,
native_max_V_AB,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_normal,native,False,,,,
native_max_epsilon_c,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_normal,native,False,,,,
max_abs_A_chi_tau,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_normal,area,False,,,,
inv_A_chi_tau_constructed_control,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_normal,constructed_reciprocal_control,False,,,,
derived_f_AB_over_A,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_normal,derived_ratio,False,,,,
derived_Q_raw_over_A,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_normal,derived_ratio,False,,,,
derived_closure_relaxation_over_A,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_normal,derived_ratio,False,,,,
derived_envelope_over_A,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_normal,derived_ratio,False,,,,
native_max_f_AB,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_off,native,False,,,,
native_max_Q_raw,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_off,native,False,,,,
native_max_closure_relaxation,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_off,native,False,,,,
native_max_envelope_V_AB,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_off,native,False,,,,
native_max_V_AB,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_off,native,False,,,,
native_max_epsilon_c,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_off,native,False,,,,
max_abs_A_chi_tau,False,0.0,0.0,0,Protocol_B,tau_disabled_control,readout_off,area,False,,,,
