t,H,Q2_re,Q2_im,generator_norm
0,np.float64(525.0726947137481),np.float64(-44.6620480596902),np.float64(-6.725961200974758e-14),np.float64(20.305593223675107)
1,np.float64(525.0726947137484),np.float64(-44.66204805969003),np.float64(-2.3003821070233244e-13),np.float64(18.595093505996502)
2,np.float64(525.0726947137481),np.float64(-44.662048059690065),np.float64(-2.9398705692074145e-13),np.float64(19.235466952491695)
3,np.float64(525.0726947137484),np.float64(-44.66204805969021),np.float64(-1.0835776720341528e-13),np.float64(19.558237202738596)
4,np.float64(525.0726947137474),np.float64(-44.66204805969077),np.float64(-2.0161650127192843e-13),np.float64(20.582203994843034)
5,np.float64(525.0726947137473),np.float64(-44.66204805969029),np.float64(5.684341886080802e-14),np.float64(21.76053607248188)
6,np.float64(525.0726947137466),np.float64(-44.6620480596902),np.float64(-2.1760371282653068e-14),np.float64(21.806774677711715)
7,np.float64(525.0726947137457),np.float64(-44.66204805969025),np.float64(1.2789769243681803e-13),np.float64(21.682053149068405)
8,np.float64(525.0726947137433),np.float64(-44.66204805969014),np.float64(7.638334409421077e-14),np.float64(21.76626283239277)
9,np.float64(525.0726947137416),np.float64(-44.66204805969008),np.float64(2.2426505097428162e-13),np.float64(22.1525941820553)
10,np.float64(525.0726947137424),np.float64(-44.66204805969004),np.float64(2.753353101070388e-13),np.float64(22.367873804275828)
11,np.float64(525.0726947137423),np.float64(-44.66204805969006),np.float64(1.2434497875801753e-13),np.float64(22.38474051361636)
12,np.float64(525.0726947137416),np.float64(-44.662048059689845),np.float64(2.9665159217984183e-13),np.float64(22.353361180505082)
13,np.float64(525.0726947137422),np.float64(-44.66204805968988),np.float64(4.298783551348606e-13),np.float64(22.343260639758704)
14,np.float64(525.0726947137415),np.float64(-44.662048059689916),np.float64(7.682743330406083e-14),np.float64(22.421925147944027)
15,np.float64(525.0726947137413),np.float64(-44.66204805968984),np.float64(-2.398081733190338e-14),np.float64(22.571888190479907)
16,np.float64(525.0726947137423),np.float64(-44.6620480596896),np.float64(-1.0969003483296547e-13),np.float64(22.672473974736814)
17,np.float64(525.0726947137423),np.float64(-44.662048059689596),np.float64(-3.19300141882195e-13),np.float64(22.68507803393304)
18,np.float64(525.0726947137426),np.float64(-44.66204805968975),np.float64(-4.218847493575595e-13),np.float64(22.64686170424232)
19,np.float64(525.0726947137423),np.float64(-44.66204805968985),np.float64(-4.4364512064021255e-13),np.float64(22.616979363138558)
20,np.float64(525.0726947137416),np.float64(-44.66204805968972),np.float64(-2.935429677108914e-13),np.float64(22.64011077154201)
21,np.float64(525.0726947137413),np.float64(-44.66204805968975),np.float64(-2.233768725545815e-13),np.float64(22.70996313441331)
22,np.float64(525.072694713743),np.float64(-44.66204805968988),np.float64(-3.455014052633487e-13),np.float64(22.782732130496797)
23,np.float64(525.072694713743),np.float64(-44.662048059689816),np.float64(-1.5987211554602254e-13),np.float64(22.821617167986396)
24,np.float64(525.0726947137429),np.float64(-44.662048059689724),np.float64(-2.0161650127192843e-13),np.float64(22.823349108524265)
25,np.float64(525.0726947137425),np.float64(-44.66204805968954),np.float64(-7.37188088351104e-14),np.float64(22.805663667156352)
26,np.float64(525.0726947137439),np.float64(-44.66204805968968),np.float64(2.580158309228864e-13),np.float64(22.786230633147042)
27,np.float64(525.072694713745),np.float64(-44.662048059689866),np.float64(3.1086244689504383e-13),np.float64(22.774948417030622)
28,np.float64(525.0726947137468),np.float64(-44.66204805969009),np.float64(2.3714363805993344e-13),np.float64(22.77566490510734)
29,np.float64(525.0726947137451),np.float64(-44.662048059690136),np.float64(3.863576125695545e-13),np.float64(22.795211226771087)
30,np.float64(525.0726947137451),np.float64(-44.66204805969015),np.float64(3.064215547965432e-13),np.float64(22.836010136499834)
31,np.float64(525.0726947137465),np.float64(-44.662048059690264),np.float64(2.318145675417327e-13),np.float64(22.88209806156491)
32,np.float64(525.0726947137468),np.float64(-44.66204805969018),np.float64(5.195843755245733e-13),np.float64(22.91007167894731)
33,np.float64(525.0726947137466),np.float64(-44.66204805969018),np.float64(7.274181257344026e-13),np.float64(22.910628994451702)
34,np.float64(525.0726947137463),np.float64(-44.66204805969017),np.float64(9.947598300641403e-13),np.float64(22.891429117935314)
35,np.float64(525.0726947137475),np.float64(-44.66204805969025),np.float64(1.0542677841840487e-12),np.float64(22.86662106443852)
36,np.float64(525.0726947137478),np.float64(-44.66204805969034),np.float64(1.0524914273446484e-12),np.float64(22.85054898340555)
37,np.float64(525.072694713748),np.float64(-44.66204805969039),np.float64(7.860379014346108e-13),np.float64(22.85431861725036)
