f_A,f_B,R_joint,hyp_mean,hyp_product,hyp_sqrt_product,norm_swing,loc_swing
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.0999999999999999,0.1,0.0,0.0,2.6645352591003757e-15,5.813725537500027e-05
0.0,0.4,0.19999999999999973,0.2,0.0,0.0,1.4432899320127035e-15,8.635195424970906e-05
0.0,0.6,0.3000000000000001,0.3,0.0,0.0,1.5543122344752192e-15,8.665227854438422e-05
0.0,0.8,0.39999999999999986,0.4,0.0,0.0,2.886579864025407e-15,5.831983108054323e-05
0.0,1.0,0.5000000000000002,0.5,0.0,0.0,4.440892098500626e-16,3.051757812499973e-05
0.2,0.0,0.09999999999999987,0.1,0.0,0.0,2.6645352591003757e-15,9.728481683939912e-05
0.2,0.2,0.19999999999999998,0.2,0.04000000000000001,0.2,2.1094237467877974e-15,7.888932999999988e-05
0.2,0.4,0.2999999999999997,0.30000000000000004,0.08000000000000002,0.28284271247461906,5.551115123125783e-16,5.713811651973362e-05
0.2,0.6,0.40000000000000013,0.4,0.12,0.34641016151377546,1.9984014443252818e-15,4.7099807677185215e-05
0.2,0.8,0.5000000000000001,0.5,0.16000000000000003,0.4,1.3322676295501878e-15,5.004882812499937e-05
0.2,1.0,0.6000000000000004,0.6,0.2,0.4472135954999579,1.3322676295501878e-15,5.868749999999944e-05
0.4,0.0,0.19999999999999998,0.2,0.0,0.0,2.4424906541753444e-15,9.979138485688015e-05
0.4,0.2,0.3000000000000002,0.30000000000000004,0.08000000000000002,0.28284271247461906,3.552713678800501e-15,8.638325039664373e-05
0.4,0.4,0.39999999999999986,0.4,0.16000000000000003,0.4,2.7755575615628914e-15,6.703094728703997e-05
0.4,0.6,0.4999999999999999,0.5,0.24,0.4898979485566356,3.3306690738754696e-15,5.981445312499905e-05
0.4,0.8,0.5999999999999999,0.6000000000000001,0.32000000000000006,0.5656854249492381,3.1086244689504383e-15,6.467793267718469e-05
0.4,1.0,0.7000000000000001,0.7,0.4,0.6324555320336759,2.6645352591003757e-15,8.758579445145541e-05
0.6,0.0,0.2999999999999995,0.3,0.0,0.0,3.1086244689504383e-15,9.154687499999913e-05
0.6,0.2,0.39999999999999986,0.4,0.12,0.34641016151377546,1.7763568394002505e-15,7.679319777205879e-05
0.6,0.4,0.4999999999999999,0.5,0.24,0.4898979485566356,9.992007221626409e-16,5.981445312499981e-05
0.6,0.6,0.6000000000000002,0.6,0.36,0.6,2.3314683517128287e-15,5.484350232575917e-05
0.6,0.8,0.7000000000000001,0.7,0.48,0.6928203230275509,1.3322676295501878e-15,6.23174589912133e-05
0.6,1.0,0.8000000000000004,0.8,0.6,0.7745966692414834,3.1086244689504383e-15,8.758056476356802e-05
0.8,0.0,0.3999999999999993,0.4,0.0,0.0,2.6645352591003757e-15,6.495562499999897e-05
0.8,0.2,0.4999999999999999,0.5,0.16000000000000003,0.4,4.440892098500626e-16,5.004882812499991e-05
0.8,0.4,0.6000000000000001,0.6000000000000001,0.32000000000000006,0.5656854249492381,1.2212453270876722e-15,3.546779954862649e-05
0.8,0.6,0.6999999999999998,0.7,0.48,0.6928203230275509,2.1094237467877974e-15,3.2915085724642505e-05
0.8,0.8,0.7999999999999999,0.8,0.6400000000000001,0.8,1.7763568394002505e-15,4.247886999999976e-05
0.8,1.0,0.9000000000000001,0.9,0.8,0.8944271909999159,2.886579864025407e-15,5.868656535636894e-05
1.0,0.0,0.4999999999999996,0.5,0.0,0.0,4.440892098500626e-16,3.051757812499973e-05
1.0,0.2,0.6000000000000002,0.6,0.2,0.4472135954999579,1.6653345369377348e-15,5.839805052993449e-05
1.0,0.4,0.7000000000000001,0.7,0.4,0.6324555320336759,1.6653345369377348e-15,8.720140554854372e-05
1.0,0.6,0.7999999999999999,0.8,0.6,0.7745966692414834,1.9984014443252818e-15,8.718964323643167e-05
1.0,0.8,0.9000000000000001,0.9,0.8,0.8944271909999159,1.5543122344752192e-15,5.3509253824430474e-05
1.0,1.0,1.0,1.0,1.0,1.0,2.220446049250313e-16,5.963111948670274e-19
