state,kind,R_initial,F_8,F_248,survival_8_n20,survival_248_n20
amp_0.0500,family,0.0023768703241895325,0.8553302058974316,0.7942533881057724,0.043921401257821215,0.009981171597796264
amp_0.0540,family,0.002770081215108495,0.8328017146157407,0.7766063686470728,0.025753260036188157,0.006368233134518659
amp_0.0583,family,0.003228120982918594,0.8070486290325121,0.0015256226631080996,0.013740232511864459,4.6659773955696735e-57
amp_0.0629,family,0.0037615989786262717,0.7777108756907654,0.7800821768627887,0.006551842448829861,0.006963171745270166
amp_0.0680,family,0.004382832554799004,0.7444261316424321,0.5628426579716417,0.0027316949256078983,1.0179820161165938e-05
amp_0.0734,family,0.005106111948061382,0.7068471180566139,0.1952697141520819,0.0009694152174935673,6.496774760702391e-15
amp_0.0792,family,0.005948002619892707,0.6646664825546795,0.9148947477711635,0.00028318847784453914,0.16881953047843906
amp_0.0856,family,0.00692768902959127,0.617651370501317,0.05896312862122163,6.529323524253415e-05,2.5799446462069783e-25
amp_0.0924,family,0.008067363719176341,0.565690013947758,0.9046609386845607,1.1260825932256206e-05,0.13480834479790116
amp_0.0998,family,0.009392665238790787,0.508852703112766,0.2391270215066441,1.3546955934194695e-06,3.7374301855129935e-13
amp_0.1077,family,0.010933167719584868,0.4474691695355377,0.4394785705881176,1.0357676890190217e-07,7.22360626370593e-08
amp_0.1163,family,0.01272292366040033,0.3822234325917441,0.9429040976938763,4.429412917979518e-09,0.3085676991344782
amp_0.1256,family,0.014801059543318503,0.3142651605874724,0.15263834810666846,8.82926916329971e-11,4.712736376745527e-17
amp_0.1356,family,0.01721242099000134,0.24533307232787627,0.12148240545370843,6.239100072718176e-13,4.900807617933421e-19
amp_0.1464,family,0.02000826001969046,0.17788025740863547,0.6431031068692207,1.005900409168719e-15,0.00014642396193545318
amp_0.1581,family,0.023246951219512247,0.11518292491613295,0.9332199689404184,1.6895150050369521e-19,0.2510038969504629
amp_0.1707,family,0.026994715890306553,0.06140262088581739,0.9916596270907817,5.804143962830235e-25,0.8457707234693915
amp_0.1843,family,0.03132632306487824,0.02155764218148655,0.979323567125587,4.699213562908567e-34,0.6584519921192591
amp_0.1991,family,0.03632572331190588,0.0013438060380229658,0.8230663842073768,3.687497740032654e-58,0.020356227256913877
amp_0.2149,family,0.042086555144264806,0.00673182586526982,0.31440349351198926,3.653065571383491e-44,8.907324241147338e-11
amp_0.2321,family,0.048712444587051096,0.043265725201943966,0.044426929829593426,5.282989548153174e-28,8.972759717381491e-28
amp_0.2506,family,0.05631699639793088,0.11500587778122123,0.9288628245123431,1.638327576693268e-19,0.228576528613113
amp_0.2706,family,0.06502335163311024,0.2231174363898866,0.1949050027316044,9.346956579600658e-14,6.258348315229518e-15
amp_0.2922,family,0.0749631628058716,0.36421705118977477,0.8914044901130999,1.687351171702245e-09,0.10034514087344648
amp_0.3155,family,0.08627481828416886,0.5287671959022091,0.011379402766900365,2.919376339111699e-06,1.3255294635335831e-39
amp_0.3406,family,0.09910073706216604,0.7000341619707896,0.4041163139898418,0.0007987018416111852,1.3493594698836603e-08
amp_0.3678,family,0.11358356079295369,0.8543440824468668,0.8281829089918393,0.04291966399668281,0.023042270816580918
amp_0.3972,family,0.12986110089623115,0.963458822690188,0.9006848715140134,0.47496669880451875,0.12344041191460176
amp_0.4288,family,0.1480599644370418,0.9996683730684292,0.7137271838120626,0.993388315370148,0.0011766431259040153
amp_0.4631,family,0.16828789212218553,0.9434747494273918,0.16068999633851253,0.3123241950675644,1.3175794636950236e-16
amp_0.5000,family,0.1906250000000003,0.792473752818703,0.2516816820017345,0.009543281642233522,1.0399971616523384e-12
amp_0.5399,family,0.21511432000706968,0.5684998452196813,0.9497877147632469,1.2433889848522022e-05,0.35688718696544613
amp_0.5830,family,0.241752267541161,0.31902281983192815,0.057824853872149126,1.1924357516304107e-10,1.7469918501468752e-25
amp_0.6295,family,0.27047989496085945,0.1092480976796528,0.7242497330660055,5.865130343743549e-20,0.0015767646550822153
amp_0.6797,family,0.30117597051560163,0.004220618711198954,0.8150338097971717,3.2175284755471865e-48,0.0167306377634862
amp_0.7339,family,0.3336529945248316,0.04516791888565492,0.12134026333719786,1.2491126817598252e-27,4.787388394233556e-19
amp_0.7924,family,0.3676571728044654,0.22924712009324566,0.052036469837502854,1.6072290423021822e-13,2.1191247589521666e-26
amp_0.8557,family,0.40287307634598135,0.5034111334994021,0.39504059559116805,1.0925877439295005e-06,8.567114024939381e-09
amp_0.9239,family,0.4389332312391865,0.7787131172288126,0.7483527919940907,0.0067227940465726605,0.0030347831616271224
amp_0.9976,family,0.4754322613974913,0.9618357846467326,0.9650954698075344,0.4592176958952301,0.49136649602732707
amp_1.0772,family,0.5119445558239595,0.9908949966653309,0.968278378034165,0.8328230001031788,0.5248131163064275
amp_1.1632,family,0.548043886293565,0.8589936168952521,0.649977452053236,0.047840832984075175,0.00018111975477987227
amp_1.2559,family,0.5833230852639201,0.6146595035261356,0.11161135236852368,5.925049959395129e-05,8.998443791755499e-20
amp_1.3561,family,0.6174118839171496,0.34010787472154297,0.19116481686955994,4.2887798185928216e-10,4.24775345857872e-15
amp_1.4643,family,0.6499913089168478,0.1189342237298962,0.9935308820275547,3.207279781555082e-19,0.8782687243575216
amp_1.5811,family,0.6808035714285717,0.008227767275236851,0.10244522707121163,2.0213428427166726e-42,1.6211925080714225e-20
amp_1.7073,family,0.7096570302867458,0.02537038208348005,0.9404881834809393,1.2205066690303064e-32,0.2931344539446959
amp_1.8435,family,0.7364264379709476,0.1511494200779025,0.034882687884709086,3.8737331912579505e-17,7.11539217799697e-30
amp_1.9905,family,0.7610491737298323,0.34370720269286553,0.29131455949750246,5.293862601029427e-10,1.9375093728433006e-11
amp_2.1493,family,0.7835184718248541,0.5553084786010184,0.6451618080998969,7.77474384116368e-06,0.00015608925490010855
amp_2.3208,family,0.8038747563011714,0.7455707968580629,0.6029733954793866,0.0028169411716528216,4.0361101543808384e-05
amp_2.5059,family,0.8221961300157566,0.8883586861570799,0.1772103384222947,0.09370592726230104,9.327840239352713e-16
amp_2.7058,family,0.8385888900014475,0.9727251048445386,0.17443312305525263,0.5751782996235785,6.801099515710133e-16
amp_2.9217,family,0.8531787120876245,0.9999820499685514,0.9828488771745093,0.9996410605831256,0.7075138031242414
amp_3.1548,family,0.8661029137103977,0.9792283187104925,0.05150246011709528,0.6571723620407061,1.7240882397092008e-26
amp_3.4065,family,0.8775039978551664,0.9230568311195096,0.57360234550012,0.2016363434561392,1.4866829832770609e-05
amp_3.6782,family,0.8875245198327865,0.844330248279625,0.9999570763788903,0.033903689700972586,0.9991418775507441
amp_3.9716,family,0.8963032060161568,0.7542348434363383,0.868169317780104,0.0035492111178668257,0.059168241892313574
amp_4.2885,family,0.9039721853089537,0.6614253022199466,0.846685588989573,0.00025681245864609146,0.03584621939361631
amp_4.6306,family,0.910655161316494,0.5719240082448834,0.9859555742666194,1.4020598574557582e-05,0.7536104881758117
amp_5.0000,family,0.916466346153846,0.48944603314247226,0.804339488433266,6.224382311209793e-07,0.012846588457166535
root_R050,exact_root,0.5000000000000009,0.9999999999999992,0.999999999999994,0.9999999999999845,0.9999999999998801
root_R124_23,exact_root,0.6971779275566593,0.002565338304052383,1.0000000000000007,1.523677015814007e-52,1.0000000000000133
