case_id,mode,state_family,harmonic_packet_A,harmonic_packet_B,harmonic_packet_A_weights,harmonic_packet_B_weights,harmonic_packet_A_phases,harmonic_packet_B_phases,harmonic_packet_A_wavelength_scales,harmonic_packet_B_wavelength_scales,harmonic_packet_A_shift,harmonic_packet_B_shift,N_A,N_B,pair_kind,sweep_region,R,T,Delta_F,L_gap_min,L_gap_min_collision,N_eff_gap_at_L_gap_min,N_eff_gap_min,N_eff_gap_min_collision,max_B_to_A_transfer,B_to_A_transfer_collision,A_to_B_transfer_at_B_to_A_max,joint_score_min,joint_score_min_collision,tail_from_collision,tail_L_gap_min,tail_L_gap_max,tail_N_eff_gap_min,tail_N_eff_gap_max,joint_R_score
"custom_packet|A=1|B=1,2",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0",1,"1,1",0.0,0.0,1,2,one_side_high_harmonic,control,0.0,1.0,0.0,9.155273437500033e-05,0,0.5000000000000002,0.4999999999999998,1,1.0,1,0.9999999999999998,1.9999999999999991,1,232,9.155273437500033e-05,9.155273437500033e-05,0.4999999999999998,0.4999999999999998,2.0
"custom_packet|A=1|B=1,2",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0",1,"1,1",0.0,0.0,1,2,one_side_high_harmonic,control,0.5,0.4999999999999999,1.5707963267948968,1.0842021724855044e-19,1,0.0,0.0,1,1.0,2,0.9999999999999998,0.1055728090000851,1,232,4.87890977618477e-18,9.155273437499997e-05,2.5979218776228663e-14,0.5000000000000007,1.1842378929334961e-15
"custom_packet|A=1|B=1,2",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0",1,"1,1",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.6,0.4,1.7721542475852274,3.105852383408314e-06,242,0.016962095149917422,0.016962095149917422,242,0.999999999999966,39,0.9999999999999913,0.16739522616781777,242,232,3.105852383408314e-06,9.155101068708565e-05,0.016962095149917422,0.4999905863657359,0.06784838059970992
"custom_packet|A=1|B=1,2",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0",1,"1,1",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.61,0.39,1.792610797291691,4.279223940821769e-07,85,0.0023370268348810175,0.0023370268348810175,85,0.9999999997613593,170,0.9999999999403384,0.11575781444268994,85,232,1.2837297873444144e-06,9.047615613847618e-05,0.007010876278619627,0.49412044739093086,0.009348107578164275
"custom_packet|A=1|B=1,2",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0",1,"1,1",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.62,0.37999999999999984,1.81316217783386,6.079332972370901e-07,162,0.0033201263806472703,0.0033201263806472703,162,0.9999999980507466,149,0.9999999995126562,0.11766705800426777,162,232,4.423950210034715e-06,9.14014091835106e-05,0.02416066674707018,0.499173562687546,0.013280507471836268
"custom_packet|A=1|B=1,2",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0",1,"1,1",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.63,0.36999999999999994,1.8338185297033656,1.0124455070381578e-07,215,0.0005529302395761437,0.0005529302395761437,215,0.999999999952893,209,0.9999999999882229,0.10758675142316512,215,232,2.7876632452300846e-06,9.152827376006015e-05,0.015224358203280941,0.49986641242827257,0.002211721005413481
"custom_packet|A=1|B=1,2",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0",1,"1,1",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.64,0.36,1.8545904360032246,1.1389712014058927e-07,238,0.0006220301387953597,0.0006220301387953597,238,0.9999999962491732,227,0.999999999062212,0.10828352912599593,238,232,1.1389712014058927e-07,9.153235211222636e-05,0.0006220301387953597,0.49988868566890643,0.0024881243060064194
"custom_packet|A=1|B=1,2",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0",1,"1,1",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.65,0.34999999999999987,1.8754889808102944,2.61934377941708e-07,232,0.0014305109494012758,0.0014305109494012758,232,0.9999999999609801,67,0.9999999999902449,0.11078335133138023,232,232,2.61934377941708e-07,9.091369439344742e-05,0.0014305109494012758,0.49650998964741144,0.005722043836620404
"custom_packet|A=1|B=1,2",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0",1,"1,1",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.66,0.3400000000000001,1.8965258140895267,5.749842553438248e-07,82,0.00314018067985411,0.00314018067985411,82,0.9999999992221273,164,0.9999999998055241,0.11925839921546734,82,232,1.7248620497580598e-06,9.021717558096331e-05,0.00942004660774387,0.49270606823950014,0.012560723497283006
"custom_packet|A=1|B=1,2",custom_packet,explicit_packet,1,"1,2",1,"1,1",0,"0,0",1,"1,1",0.0,0.0,1,2,one_side_high_harmonic,coarse,0.67,0.32999999999999996,1.9177132243220585,1.110962577284178e-07,163,0.0006067336955422054,0.0006067336955422054,163,0.9999999994552535,249,0.9999999998638088,0.10821686804620607,163,232,7.186894925677789e-07,9.154669052603524e-05,0.003925002882073869,0.49996699252618626,0.0024269353269124752
