t,H,Q2_re,Q2_im,generator_norm
0,np.float64(357.97310735414527),np.float64(-33.80264611791628),np.float64(-29.7203395431799),np.float64(17.136765520066945)
1,np.float64(357.9731073541446),np.float64(-33.80264611791635),np.float64(-29.720339543180046),np.float64(17.07065579795328)
2,np.float64(357.9731073541442),np.float64(-33.802646117916346),np.float64(-29.720339543179993),np.float64(17.688358534853595)
3,np.float64(357.97310735414464),np.float64(-33.80264611791623),np.float64(-29.720339543180074),np.float64(17.971308304006516)
4,np.float64(357.9731073541444),np.float64(-33.80264611791607),np.float64(-29.720339543180273),np.float64(17.985347517050798)
5,np.float64(357.9731073541436),np.float64(-33.80264611791597),np.float64(-29.720339543180188),np.float64(18.09997296146484)
6,np.float64(357.97310735414385),np.float64(-33.802646117916176),np.float64(-29.72033954318016),np.float64(18.20744412905828)
7,np.float64(357.97310735414425),np.float64(-33.80264611791621),np.float64(-29.720339543179968),np.float64(18.40465942736782)
8,np.float64(357.97310735414345),np.float64(-33.802646117916275),np.float64(-29.720339543179897),np.float64(18.574211988322453)
9,np.float64(357.97310735414374),np.float64(-33.80264611791633),np.float64(-29.72033954317989),np.float64(18.652176926587163)
10,np.float64(357.97310735414374),np.float64(-33.802646117916396),np.float64(-29.720339543180017),np.float64(18.672276937816175)
11,np.float64(357.9731073541428),np.float64(-33.80264611791624),np.float64(-29.720339543179843),np.float64(18.665744826273947)
12,np.float64(357.9731073541436),np.float64(-33.80264611791662),np.float64(-29.72033954318008),np.float64(18.69442159398746)
13,np.float64(357.9731073541445),np.float64(-33.80264611791658),np.float64(-29.720339543180394),np.float64(18.760010237378925)
14,np.float64(357.97310735414385),np.float64(-33.8026461179167),np.float64(-29.720339543180263),np.float64(18.80372467349041)
15,np.float64(357.9731073541442),np.float64(-33.80264611791668),np.float64(-29.72033954318026),np.float64(18.793958045397005)
16,np.float64(357.97310735414464),np.float64(-33.80264611791672),np.float64(-29.72033954318041),np.float64(18.766534068623113)
