族ID,分解能N,基底波長,利用可能な奇数倍音次数,利用可能な偶数倍音次数,選択する奇数倍音数,選択する偶数倍音数,波長・倍音構成数,各構成の位相数,位相込み波形数,反射率R（等振幅）,theta/pi,有限位数閉鎖,実回転周期,閉鎖住所,共役住所,住所電荷量sin2(pi*m/n),粒子・反粒子,巻数・被覆から読むスピン,共役方向を区別した候補状態数
N300-F001,300,1lambda0,なし,なし,0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F002,300,2lambda0,なし,2,0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F003,300,2lambda0,なし,2,0,1,1,4,4,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,4
N300-F004,300,3lambda0,3,なし,0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F005,300,3lambda0,3,なし,1,0,1,4,4,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,8
N300-F006,300,4lambda0,なし,"4,2",0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F007,300,4lambda0,なし,"4,2",0,1,2,4,8,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,8
N300-F008,300,4lambda0,なし,"4,2",0,2,1,8,8,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,8
N300-F009,300,5lambda0,5,なし,0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F010,300,5lambda0,5,なし,1,0,1,4,4,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,8
N300-F011,300,6lambda0,3,"6,2",0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F012,300,6lambda0,3,"6,2",0,1,2,4,8,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,8
N300-F013,300,6lambda0,3,"6,2",0,2,1,8,8,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,8
N300-F014,300,6lambda0,3,"6,2",1,0,1,4,4,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,8
N300-F015,300,6lambda0,3,"6,2",1,1,2,8,16,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,32
N300-F016,300,6lambda0,3,"6,2",1,2,1,16,16,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,16
N300-F017,300,10lambda0,5,"10,2",0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F018,300,10lambda0,5,"10,2",0,1,2,4,8,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,8
N300-F019,300,10lambda0,5,"10,2",0,2,1,8,8,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,8
N300-F020,300,10lambda0,5,"10,2",1,0,1,4,4,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,8
N300-F021,300,10lambda0,5,"10,2",1,1,2,8,16,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,32
N300-F022,300,10lambda0,5,"10,2",1,2,1,16,16,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,16
N300-F023,300,12lambda0,3,"12,6,4,2",0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F024,300,12lambda0,3,"12,6,4,2",0,1,4,4,16,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,16
N300-F025,300,12lambda0,3,"12,6,4,2",0,2,6,8,48,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,48
N300-F026,300,12lambda0,3,"12,6,4,2",0,3,4,16,64,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,64
N300-F027,300,12lambda0,3,"12,6,4,2",0,4,1,32,32,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,32
N300-F028,300,12lambda0,3,"12,6,4,2",1,0,1,4,4,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,8
N300-F029,300,12lambda0,3,"12,6,4,2",1,1,4,8,32,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,64
N300-F030,300,12lambda0,3,"12,6,4,2",1,2,6,16,96,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,96
N300-F031,300,12lambda0,3,"12,6,4,2",1,3,4,32,128,1/8,0.115026728081（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,128
N300-F032,300,12lambda0,3,"12,6,4,2",1,4,1,64,64,1/10,0.10241638235（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,64
N300-F033,300,15lambda0,"15,5,3",なし,0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F034,300,15lambda0,"15,5,3",なし,1,0,3,4,12,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,24
N300-F035,300,15lambda0,"15,5,3",なし,2,0,3,8,24,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,48
N300-F036,300,15lambda0,"15,5,3",なし,3,0,1,16,16,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,32
N300-F037,300,20lambda0,5,"20,10,4,2",0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N300-F038,300,20lambda0,5,"20,10,4,2",0,1,4,4,16,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,16
N300-F039,300,20lambda0,5,"20,10,4,2",0,2,6,8,48,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,48
N300-F040,300,20lambda0,5,"20,10,4,2",0,3,4,16,64,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,64
N300-F041,300,20lambda0,5,"20,10,4,2",0,4,1,32,32,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,32
N300-F042,300,20lambda0,5,"20,10,4,2",1,0,1,4,4,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,8
