R,condition_id,window,step_start,step_end,n,phi,phi_over_pi,s0,stability_gain,S_mean,S_amp,S_min,S_max,S_drift,Q_max_error,gray_error_no_phase,gray_depth_no_phase
0.697177879231003,phi0_s0.01_g0,all,0,4096,4097,0.0,0.0,0.01,0.0,-1.3805889060982539e-06,0.019999999999787577,-0.01999999999957508,0.020000000000000073,4.939203417010642e-06,4.440892098500626e-16,6.319792535532725e-06,5.199297178387269
0.697177879231003,phi0_s0.01_g0,first16,0,15,16,0.0,0.0,0.01,0.0,-0.0001781016407850845,0.01994869408514524,-0.01989738817029041,0.020000000000000073,0.005727136146854494,4.440892098500626e-16,0.005956543702494338,2.2250056674987504
0.697177879231003,phi0_s0.01_g0,first64,0,63,64,0.0,0.0,0.01,0.0,-0.00012323584786718742,0.019999999999787577,-0.01999999999957508,0.020000000000000073,7.685305439249197e-05,4.440892098500626e-16,0.00020008890247210322,3.6987769979643903
0.697177879231003,phi0_s0.01_g0,first256,0,255,256,0.0,0.0,0.01,0.0,8.391939104134065e-05,0.019999999999787577,-0.01999999999957508,0.020000000000000073,0.00024045451620171145,4.440892098500626e-16,0.0003243739074554759,3.4889540875800513
0.697177879231003,phi0_s0.01_g0,first_half,0,2047,2048,0.0,0.0,0.01,0.0,-3.8507933975443865e-06,0.019999999999787577,-0.01999999999957508,0.020000000000000073,2.4002737110182135e-06,4.440892098500626e-16,6.2510673209864285e-06,5.204045823929466
0.697177879231003,phi0_s0.01_g0,tail,2048,4096,2049,0.0,0.0,0.01,0.0,1.0884100194662557e-06,0.019999999493781367,-0.019999999479111574,0.01999999950845116,1.8178887218195269e-06,4.440892098500626e-16,2.9068049599187666e-06,5.536584107435874
0.697177879231003,phi0_s0.01_g0,block256_0000_0255,0,255,256,0.0,0.0,0.01,0.0,8.391939104134065e-05,0.019999999999787577,-0.01999999999957508,0.020000000000000073,0.00024045451620171145,4.440892098500626e-16,0.0003243739074554759,3.4889540875800513
0.697177879231003,phi0_s0.01_g0,block256_0256_0511,256,511,256,0.0,0.0,0.01,0.0,-9.50481250630128e-05,0.01999999998703161,-0.019999999989370073,0.019999999984693147,0.00022136353094458816,4.440892098500626e-16,0.0003164116689759912,3.499747508491574
0.697177879231003,phi0_s0.01_g0,block256_0512_0767,512,767,256,0.0,0.0,0.01,0.0,0.0001052020544420878,0.01999999996151941,-0.019999999965559068,0.019999999957479753,0.00020000226210722464,4.440892098500626e-16,0.00030520435502990267,3.5154092736268523
0.697177879231003,phi0_s0.01_g0,block256_0768_1023,768,1023,256,0.0,0.0,0.01,0.0,-0.00011427704143262962,0.01999999992239987,-0.019999999928139556,0.019999999916660186,0.0001765897888562223,4.440892098500626e-16,0.0002908669078889831,3.5363056858987574
0.697177879231003,phi0_s0.01_g0,block256_1024_1279,1024,1279,256,0.0,0.0,0.01,0.0,0.00012218001382049209,0.019999999869672963,-0.019999999877114316,0.019999999862231607,0.00015136622731819514,4.440892098500626e-16,0.00027354637146572455,3.5629690416719804
0.697177879231003,phi0_s0.01_g0,block256_1280_1535,1280,1535,256,0.0,0.0,0.01,0.0,-0.00012882991946320112,0.01999999980333836,-0.019999999812480355,0.019999999794196362,0.00012459026797084305,4.440892098500626e-16,0.000253420384095686,3.5961584551817487
0.697177879231003,phi0_s0.01_g0,block256_1536_1791,1536,1791,256,0.0,0.0,0.01,0.0,0.00013415855755312511,0.019999999723398276,-0.019999999734241436,0.019999999712555113,9.653652253823315e-05,4.440892098500626e-16,0.00023069535669308243,3.6369611466270038
0.697177879231003,phi0_s0.01_g0,block256_1792_2047,1792,2047,256,0.0,0.0,0.01,0.0,-0.0001381112780785572,0.019999999629851856,-0.019999999642395683,0.01999999961730803,6.749270759826614e-05,4.440892098500626e-16,0.00020560435582496811,3.686967688846464
0.697177879231003,phi0_s0.01_g0,block256_2048_2303,2048,2303,256,0.0,0.0,0.01,0.0,0.00014064754230906038,0.019999999493781367,-0.019999999479111574,0.01999999950845116,3.7756693788823574e-05,4.440892098500626e-16,0.00017840474231651694,3.748593605483881
0.697177879231003,phi0_s0.01_g0,block256_2304_2559,2304,2559,256,0.0,0.0,0.01,0.0,-0.00014174133855692948,0.01999999936961855,-0.019999999353248032,0.019999999385989065,7.633450874502907e-06,4.440892098500626e-16,0.00014937541981288428,3.8257208611410065
0.697177879231003,phi0_s0.01_g0,block256_2560_2815,2560,2815,256,0.0,0.0,0.01,0.0,0.00014138144895059599,0.019999999231851914,-0.019999999213780702,0.019999999249923125,2.2568079994929373e-05,4.440892098500626e-16,0.00016395029709361216,3.7852877920107826
0.697177879231003,phi0_s0.01_g0,block256_2816_3071,2816,3071,256,0.0,0.0,0.01,0.0,-0.00013957156448404198,0.01999999908047767,-0.01999999906070532,0.019999999100250018,5.2538154755770784e-05,4.440892098500626e-16,0.00019211063876214257,3.7164485839787194
0.697177879231003,phi0_s0.01_g0,block256_3072_3327,3072,3327,256,0.0,0.0,0.01,0.0,0.0001363302471623385,0.01999999891549592,-0.01999999889402204,0.019999998936969802,8.196940313655318e-05,4.440892098500626e-16,0.00021830073480297196,3.6609448024478057
0.697177879231003,phi0_s0.01_g0,block256_3328_3583,3328,3583,256,0.0,0.0,0.01,0.0,-0.00013169073963147803,0.019999998736906666,-0.019999998713733088,0.01999999876008024,0.000110559981018256,4.440892098500626e-16,0.00024225198374306883,3.6157326579298665
0.697177879231003,phi0_s0.01_g0,block256_3584_3839,3584,3839,256,0.0,0.0,0.01,0.0,0.00012570062424492858,0.01999999854470902,-0.019999998519834083,0.01999999856958395,0.00013801666611974983,4.440892098500626e-16,0.00026371874565565986,3.578858998589342
0.697177879231003,phi0_s0.01_g0,block256_3840_4095,3840,4095,256,0.0,0.0,0.01,0.0,-0.00011842133506342424,0.019999998338903893,-0.019999998312328456,0.01999999836547933,0.0001640578652575894,4.440892098500626e-16,0.00028248086141712155,3.5490109710746247
0.697177879231003,phi0_s0.01_g0,block256_4096_4096,4096,4096,1,0.0,0.0,0.01,0.0,-0.00100437841246237,0.0,-0.00100437841246237,-0.00100437841246237,0.0,0.0,0.02100437841246237,1.6776901661151322
0.697177879231003,phi1_s0.01_g0,all,0,4096,4097,3.141592653589793,1.0,0.01,0.0,-1.3805889060942711e-06,0.019999999999787105,-0.019999999999574133,0.020000000000000073,4.939203417015811e-06,6.661338147750939e-16,6.319792536005756e-06,5.199297178354763
0.697177879231003,phi1_s0.01_g0,first16,0,15,16,3.141592653589793,1.0,0.01,0.0,-0.00017810164078501604,0.019948694085144908,-0.01989738817028974,0.020000000000000073,0.005727136146854134,3.3306690738754696e-16,0.005956543702494242,2.225005667498757
0.697177879231003,phi1_s0.01_g0,first64,0,63,64,3.141592653589793,1.0,0.01,0.0,-0.00012323584786713124,0.019999999999787105,-0.019999999999574133,0.020000000000000073,7.685305439253303e-05,4.440892098500626e-16,0.00020008890247255994,3.698776997963399
0.697177879231003,phi1_s0.01_g0,first256,0,255,256,3.141592653589793,1.0,0.01,0.0,8.391939104135149e-05,0.019999999999787105,-0.019999999999574133,0.020000000000000073,0.00024045451620166092,4.440892098500626e-16,0.0003243739074559081,3.4889540875794727
0.697177879231003,phi1_s0.01_g0,first_half,0,2047,2048,3.141592653589793,1.0,0.01,0.0,-3.850793397542989e-06,0.019999999999787105,-0.019999999999574133,0.020000000000000073,2.400273711020487e-06,4.440892098500626e-16,6.251067321459149e-06,5.204045823896624
0.697177879231003,phi1_s0.01_g0,tail,2048,4096,2049,3.141592653589793,1.0,0.01,0.0,1.088410019472822e-06,0.019999999493782977,-0.01999999947911324,0.01999999950845272,1.8178887218250677e-06,6.661338147750939e-16,2.9068049583210503e-06,5.5365841076745825
0.697177879231003,phi1_s0.01_g0,block256_0000_0255,0,255,256,3.141592653589793,1.0,0.01,0.0,8.391939104135149e-05,0.019999999999787105,-0.019999999999574133,0.020000000000000073,0.00024045451620166092,4.440892098500626e-16,0.0003243739074559081,3.4889540875794727
