seed,parent_residual,parent_iterations,counts,cluster_sse,opposite_error,family1_mod,family2_mod,relative_phase_rad,relative_phase_mod_pi_rad
0,0.4868999851906627,800,4;3;2;1,1.0281217024282619e-17,0.30783953445922957,0.19792479336986427,0.05124076095258484,-0.4387271131001208,-0.4387271131001209
1,0.48689998519065697,800,6;2;1;1,5.976604343414915e-17,0.3416056014988968,0.1979247916776137,4.237574510710548e-09,0.5305809240078834,0.5305809240078831
2,0.4868999851906655,800,6;2;1;1,1.3101811411975436e-15,0.34160559807239355,0.19792479167750884,1.9476984097930364e-08,0.3900986153436731,0.3900986153436732
3,0.4868999851906634,800,6;2;1;1,2.7320092298981164e-16,0.3416056009857803,0.19792479167790483,5.904969511040301e-09,0.44423024398818406,0.444230243988184
4,3.023724372934084e-12,50,5;2;2;1,2.0861577548339716e-22,0.20000000000704338,0.09999999999997569,2.1581377262995243e-11,-1.5855507135151958,1.5560419400745973
5,0.4868999851906613,800,4;3;2;1,3.54067991184825e-16,0.3078395190238065,0.1979247982242677,0.051240759225322806,-0.43872716395464545,-0.4387271639546455
6,1.079626496132668e-11,40,5;2;2;1,4.2682736239831936e-23,0.19999999999971216,0.09999999999971354,6.570179102378774e-12,-1.5861655118308977,1.5554271417588952
7,7.833541301768204e-12,40,3;3;2;2,1.489976998749634e-22,7.529734758136658e-12,0.09999999999994123,0.09999999999965355,-1.5447549379189823e-10,-1.5447554346792458e-10
