fd_eps,rank,eig_re,eig_im,modulus,log_modulus_per_step
3e-06,1,1.0017772761012214,0.0,1.0017772761012214,0.0017756986148606839
3e-06,2,1.0017772759954215,0.0,1.0017772759954215,0.0017756985092485724
3e-06,3,1.0006018408630366,0.0026898180336652542,1.0006054562411462,0.0006052730264647763
3e-06,4,1.0006018408630366,-0.0026898180336652542,1.0006054562411462,0.0006052730264647763
3e-06,5,1.000000001944026,0.0,1.000000001944026,1.9440260493585966e-09
3e-06,6,0.9999999953807489,0.0,0.9999999953807489,-4.619251103409935e-09
3e-06,7,0.9999999906898845,0.0,0.9999999906898845,-9.310115499690423e-09
3e-06,8,0.9995327015763357,-0.030553395525378425,0.9999995657492149,-4.3425087939540263e-07
3e-06,9,0.9995327015763357,0.030553395525378425,0.9999995657492149,-4.3425087939540263e-07
3e-06,10,0.9999986143554598,0.0,0.9999986143554598,-1.3856455002256712e-06
3e-06,11,0.9999986093048585,0.0,0.9999986093048585,-1.390696108507313e-06
3e-06,12,0.9998978646784131,-0.010215304596434169,0.9999500448704666,-4.995637733246945e-05
3e-06,13,0.9998978646784131,0.010215304596434169,0.9999500448704666,-4.995637733246945e-05
3e-06,14,0.9998978646605833,-0.010215304608886139,0.9999500448527648,-4.995639503508276e-05
3e-06,15,0.9998978646605833,0.010215304608886139,0.9999500448527648,-4.995639503508276e-05
3e-06,16,0.9999274177740028,0.0,0.9999274177740028,-7.258486021438416e-05
3e-06,17,0.9993335038082722,0.0025497007024159776,0.9993367564576967,-0.0006634635856017408
3e-06,18,0.9993335038082722,-0.0025497007024159776,0.9993367564576967,-0.0006634635856017408
3e-06,19,0.9982712712182485,0.0,0.9982712712182485,-0.0017302247576915948
3e-06,20,0.998271271139876,0.0,0.998271271139876,-0.0017302248361998449
1e-06,1,1.0017772767138495,0.0,1.0017772767138495,0.0017756992264019763
1e-06,2,1.0017772758420314,0.0,1.0017772758420314,0.001775698356130516
1e-06,3,1.0006018407756643,0.0026898172466809406,1.0006054561516582,0.0006052729370309519
1e-06,4,1.0006018407756643,-0.0026898172466809406,1.0006054561516582,0.0006052729370309519
1e-06,5,1.000000009289146,0.0,1.000000009289146,9.289145853784969e-09
1e-06,6,0.9999999980548671,0.0,0.9999999980548671,-1.945132945495538e-09
1e-06,7,0.9999999885647661,0.0,0.9999999885647661,-1.1435233936308997e-08
1e-06,8,0.999532701429656,-0.030553395453090937,0.999999565600395,-4.343996993053747e-07
1e-06,9,0.999532701429656,0.030553395453090937,0.999999565600395,-4.343996993053747e-07
1e-06,10,0.9999986176310561,0.0,0.9999986176310561,-1.3823698993425008e-06
1e-06,11,0.9999985963037887,0.0,0.9999985963037887,-1.4036971964486852e-06
1e-06,12,0.9998978646628462,-0.01021530472211817,0.9999500448561844,-4.995639161531399e-05
1e-06,13,0.9998978646628462,0.01021530472211817,0.9999500448561844,-4.995639161531399e-05
1e-06,14,0.9998978646124864,-0.010215304617608995,0.9999500448047596,-4.995644304274742e-05
1e-06,15,0.9998978646124864,0.010215304617608995,0.9999500448047596,-4.995644304274742e-05
1e-06,16,0.9999274193798438,0.0,0.9999274193798438,-7.258325425691678e-05
