step,H_total,H_parallel,H_perp,abs_ztz
0,0.8596491228070173,0.8596491228070173,2.5728858861679743e-32,4.830894905938759e-16
1,0.8596491228070169,0.8596450090241277,4.113782889233438e-06,1.055072212468198e-15
2,0.8596491228070166,0.8596326668520005,1.6455955016095574e-05,1.9000116485748667e-15
3,0.8596491228070161,0.8596120909276309,3.703187938517496e-05,2.465659710025382e-15
4,0.8596491228070173,0.859583270387564,6.58524194533134e-05,2.181497876355656e-15
5,0.8596491228070163,0.8595461888732531,0.0001029339337632,2.9224333843031197e-15
6,0.8596491228070156,0.8595008245379293,0.0001482982690862,3.132622298631735e-15
7,0.8596491228070151,0.8594471500549489,0.0002019727520662,3.819991653295716e-15
8,0.8596491228070138,0.8593851326276596,0.0002639901793541,3.629832390380029e-15
9,0.8596491228070142,0.8593147340007957,0.0003343888062184,3.5631286690951176e-15
10,0.8596491228070184,0.8592359104734026,0.0004132123336157,2.843048044014108e-15
11,0.8596491228070187,0.859148612913318,0.0005005098937006,2.947737954469577e-15
12,0.8596491228070198,0.8590527867732671,0.0005963360337526,2.2084455009857e-15
13,0.8596491228070196,0.8589483721085248,0.0007007506984947,2.0465323505825538e-15
14,0.8596491228070227,0.8588353035962486,0.000813819210774,2.0557064720002624e-15
15,0.8596491228070214,0.8587135105564474,0.000935612250574,1.8900758551763077e-15
16,0.8596491228070218,0.858582916974698,0.0010662058323237,2.1909159757835586e-15
17,0.8596491228070229,0.8584434415265559,0.0012056812804669,3.1697028030332042e-15
18,0.8596491228070231,0.8582949976037721,0.0013541252032509,3.510501605741023e-15
19,0.8596491228070232,0.858137493342329,0.0015116294646941,3.5053976467193008e-15
20,0.859649122807023,0.8579708316523381,0.0016782911546848,3.787592168244061e-15
21,0.8596491228070234,0.8577949102498579,0.0018542125571655,3.735971920621103e-15
22,0.8596491228070235,0.8576096216906723,0.0020395011163511,3.872735383025854e-15
23,0.8596491228070229,0.8574148534060939,0.002234269400929,4.068689174787631e-15
24,0.8596491228070229,0.8572104877408381,0.0024386350661847,5.055474428319646e-15
25,0.8596491228070203,0.8569964019930231,0.0026527208139972,4.529877699724301e-15
26,0.8596491228070209,0.8567724684563794,0.0028766543506414,4.461789253770065e-15
27,0.859649122807021,0.8565385544646827,0.0031105683423381,4.598923088529795e-15
28,0.85964912280702,0.8562945224385342,0.0033546003684857,4.107196163374192e-15
29,0.8596491228070181,0.8560402299345116,0.0036088928725065,3.669499043989319e-15
30,0.8596491228070182,0.8557755296967767,0.0038735931102414,3.463436672518392e-15
31,0.8596491228070188,0.8555002697111979,0.0041488530958209,3.5429271376212383e-15
32,0.8596491228070187,0.855214293262079,0.0044348295449396,3.148168208932985e-15
33,0.8596491228070173,0.8549174389915536,0.0047316838154637,3.4073842160217056e-15
34,0.8596491228070172,0.8546095409617259,0.0050395818452912,3.668443372803029e-15
35,0.8596491228070163,0.8542904287196235,0.0053586940873928,3.319266527553413e-15
36,0.8596491228070173,0.8539599273650657,0.0056891954419516,3.264702191399538e-15
37,0.8596491228070173,0.8536178576214937,0.0060312651855236,3.572072789987253e-15
38,0.8596491228070173,0.8532640359098781,0.0063850868971391,3.455498564503256e-15
39,0.859649122807016,0.8528982744257542,0.0067508483812618,3.6229501159252836e-15
40,0.8596491228070147,0.8525203812194901,0.0071287415875244,3.685817426058551e-15
41,0.8596491228070149,0.8521301602798571,0.0075189625271577,3.395336947417056e-15
42,0.8596491228070162,0.8517274116209871,0.0079217111860291,3.481065107796095e-15
43,0.859649122807018,0.851311931372811,0.008337191434207,3.545291593864687e-15
44,0.8596491228070178,0.8508835118750504,0.0087656109319673,3.580446006062505e-15
45,0.8596491228070172,0.8504419417748591,0.0092071810321581,3.9243190798810556e-15
46,0.8596491228070171,0.8499870061281791,0.0096621166788379,4.143253790030942e-15
47,0.8596491228070184,0.8495184865049129,0.0101306363021055,3.874648708661498e-15
48,0.8596491228070198,0.8490361610979821,0.0106129617090376,3.682476397418484e-15
49,0.8596491228070211,0.8485398048363678,0.0111093179706532,4.081033977794587e-15
50,0.8596491228070196,0.8480291895021963,0.0116199333048231,3.3838696906351513e-15
51,0.8596491228070209,0.8475040838519751,0.0121450389550458,3.2455371243771778e-15
52,0.8596491228070202,0.8469642537420093,0.0126848690650108,3.886356658048134e-15
53,0.8596491228070194,0.8464094622581451,0.0132396605488744,3.3674914160554805e-15
54,0.8596491228070209,0.8458394698498486,0.0138096529571723,3.5857764532643186e-15
55,0.8596491228070213,0.8452540344687235,0.0143950883382978,3.7123916161896575e-15
56,0.8596491228070205,0.844652911711544,0.0149962110954765,3.078821675614349e-15
57,0.8596491228070209,0.8440358549678513,0.0156132678391696,2.1720442036070564e-15
58,0.8596491228070215,0.8434026155721775,0.0162465072348439,1.8672062129435024e-15
59,0.8596491228070201,0.8427529429609731,0.0168961798460469,1.944346674647198e-15
60,0.8596491228070198,0.8420865848342881,0.0175625379727317,2.2709923640642897e-15
61,0.8596491228070199,0.8414032873222418,0.0182458354847781,2.2003439460042935e-15
62,0.8596491228070198,0.8407027951563566,0.0189463276506631,2.3876529008364418e-15
63,0.8596491228070196,0.8399848518457836,0.0196642709612359,2.140940560854619e-15
64,0.8596491228070218,0.8392491998584622,0.0203999229485594,2.00933899902012e-15
65,0.8596491228070198,0.8384955808072342,0.0211535419997855,1.646961930599983e-15
66,0.8596491228070182,0.8377237356409835,0.0219253871660347,1.579536639798708e-15
67,0.8596491228070202,0.83693340484076,0.0227157179662603,1.7625511488544564e-15
68,0.8596491228070193,0.8361243286209395,0.0235247941860797,1.8747406184383272e-15
69,0.8596491228070194,0.8352962471354531,0.0243528756715663,1.7408492225531077e-15
70,0.8596491228070181,0.8344489006890216,0.0252002221179965,1.746489109511279e-15
71,0.8596491228070182,0.8335820299534565,0.0260670928535616,1.8963541731042988e-15
