t,H,Q2_re,Q2_im,generator_norm
0,np.float64(952.581790841572),np.float64(-57.00955155485608),np.float64(138.58086686138412),np.float64(27.719882037379655)
1,np.float64(952.581790841569),np.float64(-57.00955155485562),np.float64(138.58086686138333),np.float64(27.980048576100113)
2,np.float64(952.5817908415682),np.float64(-57.009551554856216),np.float64(138.58086686138358),np.float64(28.43592163633057)
3,np.float64(952.5817908415698),np.float64(-57.00955155485646),np.float64(138.58086686138395),np.float64(28.8202758915768)
4,np.float64(952.5817908415697),np.float64(-57.00955155485743),np.float64(138.58086686138375),np.float64(29.231262831009634)
5,np.float64(952.5817908415663),np.float64(-57.00955155485741),np.float64(138.58086686138358),np.float64(29.444404303519658)
6,np.float64(952.5817908415647),np.float64(-57.009551554857154),np.float64(138.5808668613837),np.float64(29.426325009928306)
7,np.float64(952.5817908415618),np.float64(-57.009551554857104),np.float64(138.58086686138336),np.float64(29.441352704238454)
8,np.float64(952.5817908415627),np.float64(-57.00955155485659),np.float64(138.58086686138267),np.float64(29.525672561675815)
9,np.float64(952.5817908415611),np.float64(-57.00955155485636),np.float64(138.58086686138273),np.float64(29.676289017980032)
10,np.float64(952.5817908415594),np.float64(-57.009551554855776),np.float64(138.58086686138293),np.float64(29.857449343090078)
11,np.float64(952.5817908415579),np.float64(-57.00955155485555),np.float64(138.58086686138296),np.float64(30.001645041566178)
12,np.float64(952.5817908415581),np.float64(-57.009551554855335),np.float64(138.58086686138273),np.float64(30.07538989129591)
13,np.float64(952.5817908415584),np.float64(-57.00955155485538),np.float64(138.58086686138273),np.float64(30.098192085005884)
14,np.float64(952.5817908415589),np.float64(-57.00955155485454),np.float64(138.5808668613829),np.float64(30.14576151195362)
15,np.float64(952.5817908415607),np.float64(-57.00955155485444),np.float64(138.58086686138344),np.float64(30.243014990868208)
16,np.float64(952.5817908415606),np.float64(-57.009551554855044),np.float64(138.58086686138304),np.float64(30.370448804347934)
17,np.float64(952.5817908415585),np.float64(-57.0095515548553),np.float64(138.5808668613827),np.float64(30.464058666406913)
18,np.float64(952.5817908415577),np.float64(-57.009551554855385),np.float64(138.5808668613823),np.float64(30.506819543584697)
19,np.float64(952.58179084156),np.float64(-57.009551554855626),np.float64(138.5808668613823),np.float64(30.49564667698943)
20,np.float64(952.5817908415611),np.float64(-57.009551554855676),np.float64(138.5808668613827),np.float64(30.450506131713606)
21,np.float64(952.5817908415578),np.float64(-57.00955155485495),np.float64(138.5808668613828),np.float64(30.407107807253396)
22,np.float64(952.5817908415627),np.float64(-57.00955155485536),np.float64(138.58086686138347),np.float64(30.39662762151828)
23,np.float64(952.5817908415632),np.float64(-57.009551554855605),np.float64(138.58086686138392),np.float64(30.43319908255871)
