R,R_input_text,condition_id,step,phi,phi_over_pi,s0,stability_gain,p_a,p_b,q,S,dS_from_prev,abs_dS_from_prev,cumulative_abs_dS,S_zero_crossing_event,cumulative_S_zero_crossings,S_zero_crossing_cycle_estimate,dS_turn_event,cumulative_dS_turns,dS_turn_cycle_estimate,dp_a_from_prev,dp_b_from_prev,abs_dp_total_from_prev,cumulative_abs_dp_total,phase_a,phase_b,relative_phase,relative_phase_over_pi,unwrapped_relative_phase,unwrapped_relative_phase_over_pi,relative_phase_cycles,prefix_S_mean,prefix_S_amp,prefix_S_drift,prefix_gray_error_no_phase,prefix_gray_depth_no_phase,best_prefix_step_so_far,best_prefix_gray_error_no_phase_so_far,a_real,a_imag,b_real,b_imag
0.697177769231003,0.69717776923100305,phi0_s0.01_g0,0,0.0,0.0,0.01,0.0,0.51,0.48999999999999994,1.0,0.020000000000000073,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000073,0.0,0.0,0.04000000000000008,1.3979400086720368,0,0.04000000000000008,0.714142842854285,0.0,0.7,0.0
0.697177769231003,0.69717776923100305,phi0_s0.01_g0,1,0.0,0.0,0.01,0.0,0.5039435553846202,0.49605644461537995,1.0000000000000002,0.007887110769240256,-0.012112889230759817,0.012112889230759817,0.012112889230759817,0,0,0.0,0,0,0.0,-0.006056444615379797,0.006056444615380019,0.012112889230759816,0.012112889230759816,-0.009154138436876853,0.009226627172226849,0.018380765609103733,0.005850779409004744,0.018380765609103733,0.005850779409004744,0.002925389704502372,0.013943555384620165,0.006056444615379909,0.012112889230759817,0.04000000000000008,1.3979400086720368,0,0.04000000000000008,0.709860075631735,-0.00649833892063645,0.7042827672225499,0.00649833892063645
0.697177769231003,0.69717776923100305,phi0_s0.01_g0,2,0.0,0.0,0.01,0.0,0.4931103258143132,0.5068896741856868,1.0,-0.013779348371373568,-0.021666459140613825,0.021666459140613825,0.03377934837137364,1,1,0.5,0,0,0.0,-0.010833229570307024,0.010833229570306802,0.021666459140613825,0.03377934837137364,-0.007298810800908844,0.0071989196702442896,0.014497730471153325,0.004614770936196089,0.014497730471153325,0.004614770936196089,0.0023073854680980446,0.004702587465955588,0.01688967418568682,0.02294611880106673,0.030759032081335496,1.5120273349417634,2,0.030759032081335496,0.7021994424608728,-0.005125311888312335,0.7119434003934121,0.005125311888312335
0.697177769231003,0.69717776923100305,phi0_s0.01_g0,3,0.0,0.0,0.01,0.0,0.49062248226873134,0.5093775177312686,1.0,-0.01875503546253726,-0.004975687091163694,0.004975687091163694,0.038755035462537335,0,1,0.5,0,0,0.0,-0.002487843545581847,0.002487843545581847,0.004975687091163694,0.038755035462537335,0.003506278844647554,-0.003441123464161079,-0.006947402308808748,-0.002211426838189917,-0.006947402308808748,-0.002211426838189917,-0.0011057134190949585,-0.0011618182661676246,0.019377517731268668,0.03021074730157558,0.03199504783647454,1.4949172361715146,2,0.030759032081335496,0.7004401834453123,0.0024559486616341224,0.7137026594089726,-0.0024559486616341224
0.697177769231003,0.69717776923100305,phi0_s0.01_g0,4,0.0,0.0,0.01,0.0,0.49949352207698383,0.500506477923016,0.9999999999999998,-0.0010129558460321155,0.017742079616505146,0.017742079616505146,0.05649711507904248,0,1,0.5,1,1,0.5,0.00887103980825249,-0.008871039808252656,0.017742079616505146,0.05649711507904248,0.009992893904515415,-0.009982776329514532,-0.01997567023403013,-0.006358453318639066,-0.01997567023403013,-0.006358453318639066,-0.003179226659319533,-0.0011320457821405228,0.019377517731268668,0.02512600194460115,0.026880529995473006,1.5705621726777284,4,0.026880529995473006,0.7067132695434234,0.007062345802099858,0.7074295733108615,-0.007062345802099858
0.697177769231003,0.69717776923100305,phi0_s0.01_g0,5,0.0,0.0,0.01,0.0,0.5089780529831683,0.4910219470168316,1.0,0.017956105966336733,0.018969061812368848,0.018969061812368848,0.07546617689141133,1,2,1.0,0,1,0.5,0.009484530906184507,-0.00948453090618434,0.018969061812368848,0.07546617689141133,0.004365144138622303,-0.00444424216328837,-0.008809386301910749,-0.002804114751110255,-0.008809386301910749,-0.002804114751110255,-0.0014020573755551275,0.0020493128426056864,0.019377517731268668,0.005306549246699803,0.007978344358036822,2.0980872227807947,5,0.007978344358036822,0.7134201810510622,0.0031142017015498577,0.7007226618032227,-0.0031142017015498577
0.697177769231003,0.69717776923100305,phi0_s0.01_g0,6,0.0,0.0,0.01,0.0,0.5075875677600518,0.49241243223994835,1.0,0.015175135520103411,-0.002780970446233322,0.002780970446233322,0.07824714733764465,0,2,1.0,1,2,1.0,-0.0013904852231165776,0.0013904852231167442,0.002780970446233322,0.07824714733764465,-0.006465240892681604,0.006564109059126074,0.01302934995180749,0.00414737090020862,0.01302934995180749,0.00414737090020862,0.00207368545010431,0.003924430367962505,0.019377517731268668,0.001361774921487896,0.005908687558181734,2.228508974201262,6,0.005908687558181734,0.712436910350975,-0.004606140424311956,0.70170593250331,0.004606140424311956
0.697177769231003,0.69717776923100305,phi0_s0.01_g0,7,0.0,0.0,0.01,0.0,0.49700634575609587,0.5029936542439041,1.0,-0.005987308487808207,-0.02116244400791162,0.02116244400791162,0.09940959134555627,1,3,1.5,0,2,1.0,-0.010581222003955892,0.010581222003955726,0.02116244400791162,0.09940959134555627,-0.009570702556713084,0.009513568601292193,0.01908427115800526,0.006074712180205254,0.01908427115800526,0.006074712180205254,0.003037356090102627,0.0026854630109911654,0.019377517731268668,0.00769456255431758,0.011002507834040078,1.9585083135371903,6,0.005908687558181734,0.7049544823505626,-0.00674711567607217,0.7091883605037225,0.00674711567607217
0.697177769231003,0.69717776923100305,phi0_s0.01_g0,8,0.0,0.0,0.01,0.0,0.4900513039773005,0.5099486960226994,1.0,-0.01989739204539892,-0.013910083557590713,0.013910083557590713,0.11331967490314698,0,3,1.5,0,2,1.0,-0.006955041778795357,0.006955041778795357,0.013910083557590713,0.11331967490314698,-0.001021924461507103,0.0010017891499581083,0.002023713611465361,0.000644168049334127,0.002023713611465361,0.000644168049334127,0.0003220840246670635,0.00017625689361448914,0.019948696022699497,0.0024085352876078046,0.0026360961585227974,2.579038751758545,8,0.0026360961585227974,0.700036279204438,-0.0007153844466938342,0.7141065636498469,0.0007153844466938342
0.697177769231003,0.69717776923100305,phi0_s0.01_g0,9,0.0,0.0,0.01,0.0,0.49514700748985113,0.5048529925101489,1.0,-0.009705985020297792,0.010191407025101129,0.010191407025101129,0.12351108192824811,0,3,1.5,1,3,1.5,0.00509570351255062,-0.005095703512550509,0.010191407025101129,0.12351108192824811,0.008786777118883095,-0.008701900534967262,-0.017488677653850537,-0.005566818993502168,-0.017488677653850537,-0.005566818993502168,-0.002783409496751084,-0.000811967297776739,0.019948696022699497,0.0006401569687275678,0.0015034282438048103,2.822917295241075,9,0.0015034282438048103,0.7036396659049396,0.006182884038705596,0.7105031769493454,-0.006182884038705596
