N,M,parent_residual,rank_planes,status
3,3,6.077013e-13,2,ok
4,6,7.740072e-13,2,ok
5,10,2.139898e-13,4,ok
6,15,6.940105e-13,6,ok
7,21,1.328496e-13,7,ok
8,28,4.421108e-13,8,ok
9,36,5.202916e-13,9,ok
10,45,1.630191e-13,10,ok
11,55,7.224630e-13,11,ok
12,66,8.501989e-14,12,ok
13,78,9.421307e-13,13,ok
14,91,4.542581e-13,14,ok
15,105,4.241287e-13,15,ok
16,120,2.998389e-13,16,ok
17,136,9.246589e-13,17,ok
18,153,4.304527e-13,18,ok
19,171,2.489856e-13,19,ok
20,190,6.180853e-13,20,ok
21,210,5.182819e-13,21,ok
22,231,5.298765e-14,22,ok
23,253,1.484687e-13,23,ok
24,276,2.795422e-13,24,ok
25,300,7.543300e-13,25,ok
26,325,1.143569e-13,26,ok
27,351,3.363377e-13,27,ok
28,378,3.251877e-13,28,ok
29,406,1.264095e-13,29,ok
30,435,5.248858e-13,30,ok
31,465,5.422944e-13,31,ok
32,496,3.539401e-14,32,ok
33,528,6.258888e-13,33,ok
34,561,1.816804e-13,34,ok
35,595,1.038240e-13,35,ok
36,630,4.370697e-13,36,ok
37,666,3.289096e-13,37,ok
38,703,1.449137e-13,38,ok
39,741,1.189052e-13,39,ok
40,780,6.237953e-13,40,ok
