N,delta,seed,iterations,norm2,r2,Nr2,sigma2,chi,corrected_residual,converged
3,0,40263721,2000,0.19999999999999996,0.06666666666666665,0.19999999999999996,0.4999999999999999,0.2828427124746189,8.941717002856041e-16,True
3,1,40263722,2000,0.2,0.06666666666666667,0.20000000000000004,0.5000000000000003,0.28284271247461906,1.3782955010156601e-15,True
3,2,40263723,2000,0.19999999999999915,0.06666666666666639,0.19999999999999915,0.49999999999999817,0.28284271247461834,1.3315421995193923e-15,True
3,3,40263724,2000,0.19999999999999968,0.06666666666666655,0.19999999999999965,0.4999999999999996,0.28284271247461856,1.932849167627952e-15,True
3,4,40263725,2000,0.19999999999999962,0.06666666666666654,0.19999999999999962,0.4999999999999991,0.28284271247461856,1.2052486728699117e-15,True
3,5,40263726,2000,0.19999999999999987,0.06666666666666662,0.19999999999999987,0.4999999999999998,0.28284271247461895,2.689571131447998e-15,True
3,6,40263727,2000,0.19999999999999968,0.06666666666666655,0.19999999999999965,0.49999999999999867,0.28284271247461873,2.3428753618738397e-15,True
3,7,40263728,2000,0.19999999999999957,0.06666666666666653,0.1999999999999996,0.49999999999999833,0.282842712474619,1.97966598564414e-15,True
3,8,40263729,2000,0.1999999999999998,0.0666666666666666,0.19999999999999982,0.4999999999999996,0.28284271247461884,1.7868653126513266e-15,True
3,9,40263730,2000,0.20000000000000048,0.06666666666666683,0.20000000000000048,0.5000000000000014,0.2828427124746194,1.1611765325073168e-15,True
3,10,40263731,2000,0.1999999999999998,0.0666666666666666,0.19999999999999982,0.4999999999999993,0.2828427124746189,1.937024732684029e-15,True
3,11,40263732,2000,0.2000000000000003,0.06666666666666676,0.2000000000000003,0.500000000000001,0.28284271247461956,1.9369335382677252e-15,True
3,12,40263733,2000,0.2000000000000005,0.06666666666666683,0.2000000000000005,0.500000000000001,0.28284271247461945,3.3662248654869816e-15,True
3,13,40263734,2000,0.2,0.06666666666666667,0.20000000000000004,0.5000000000000001,0.282842712474619,5.802848429846896e-16,True
3,14,40263735,2000,0.20000000000000018,0.06666666666666672,0.20000000000000018,0.4999999999999996,0.282842712474619,2.4809820842282597e-15,True
3,15,40263736,2000,0.2000000000000007,0.0666666666666669,0.2000000000000007,0.5000000000000017,0.2828427124746196,1.0025200736486412e-15,True
3,16,40263737,2000,0.20000000000000007,0.0666666666666667,0.20000000000000007,0.5000000000000006,0.2828427124746191,1.6385195581609044e-15,True
