N,delta_seed,sigma0,sigma1,theta_projective_two_cycle_spread,phi_projective_fixed_spread,midpoint0_error,midpoint1_error,sixth_step_spread,cube_delta_spread,delta_equals_2step_error,derived_global_identity_spread
3,0,0.7071067811865475,0.7071067811865474,6.955527313080394e-16,4.930750818159567e-15,2.220446049250313e-16,2.220446049250313e-16,7.0854499536960216e-15,7.0854499536960216e-15,2.220446049250313e-16,9.550499576785472e-16
3,1,0.7071067811865479,0.7071067811865471,4.3021142204224816e-16,8.483464496960068e-15,1.212461268062109e-15,2.220446049250313e-16,8.860290988060861e-15,1.0663091076830307e-14,8.881784197001252e-16,2.6739151679780674e-15
3,2,0.7071067811865482,0.7071067811865466,9.155133597044475e-16,1.2434497875801753e-14,4.710277376051326e-16,2.482534153247273e-16,1.3309717391015238e-14,1.3309717391015238e-14,4.710277376051326e-16,4.440892098500626e-16
3,3,0.7071067811865467,0.7071067811865483,2.277987190955421e-15,1.286498119741309e-15,2.482534153247273e-16,4.577566798522237e-16,5.33371249576945e-15,5.9977897984371695e-15,2.0014830212433607e-16,1.7271017045521527e-15
3,4,0.7071067811865476,0.7071067811865474,1.5543122344752192e-15,6.276166571745561e-15,0.0,2.482534153247273e-16,3.7951372951581004e-15,3.3519095328740326e-15,1.5700924586837752e-16,9.424642647609475e-16
3,5,0.7071067811865481,0.7071067811865489,1.9555373935507587e-15,1.5051312314991677e-15,2.482534153247273e-16,2.482534153247273e-16,4.637756528637164e-15,4.18069365432377e-15,2.482534153247273e-16,2.825927903256145e-15
3,6,0.7071067811865483,0.7071067811865467,4.710277376051326e-16,1.3322676295501878e-14,2.482534153247273e-16,4.577566798522237e-16,1.599352879582158e-14,1.1544317678567483e-14,8.95090418262362e-16,4.407459562045625e-15
3,7,0.7071067811865488,0.7071067811865476,2.9057317281871776e-15,1.2434497875801753e-14,1.6653345369377348e-16,4.0412728104402656e-16,1.0656984632521673e-14,1.2433258846878144e-14,4.965068306494546e-16,2.0471501066083613e-15
3,8,0.707106781186548,0.7071067811865482,1.807312143953211e-15,1.0605390551611693e-14,6.497413668604471e-16,2.482534153247273e-16,1.2422596933969177e-14,1.5950933948739945e-14,4.577566798522237e-16,1.047382306668854e-15
3,9,0.7071067811865474,0.7071067811865482,0.0,4.884981308350689e-15,0.0,0.0,5.274435786004485e-15,4.6483753325295575e-15,2.237726045655905e-16,8.005932084973443e-16
3,10,0.7071067811865476,0.7071067811865475,3.885780586188048e-16,1.599414894332303e-14,2.7336071744532853e-16,0.0,1.4226891858287598e-14,1.6034172862738674e-14,7.021666937153402e-16,3.1401849173675502e-15
3,11,0.7071067811865459,0.7071067811865488,8.671119018262734e-16,1.286498119741309e-15,8.455206652451151e-16,4.0412728104402656e-16,1.7800393098203986e-15,1.7800393098203986e-15,4.577566798522237e-16,2.288783399261119e-15
3,12,0.7071067811865464,0.7071067811865477,6.4796043696850615e-16,9.653834491064993e-15,0.0,8.968100940422724e-16,1.2139566625567828e-14,1.0320297871499672e-14,4.577566798522237e-16,6.342923343242401e-15
3,13,0.7071067811865476,0.7071067811865474,2.6645352591003757e-15,3.5422900465195845e-15,2.0014830212433607e-16,8.886119947416683e-16,4.036695192044047e-15,4.036695192044047e-15,2.220446049250313e-16,3.2516376176439728e-15
3,14,0.7071067811865468,0.7071067811865482,4.710277376051326e-16,1.4609174415243188e-14,2.482534153247273e-16,4.965068306494546e-16,1.1539912545709438e-14,1.4185787536444126e-14,4.0029660424867215e-16,1.355199909595506e-15
3,15,0.707106781186547,0.7071067811865479,1.7798229048217483e-15,1.5099441299614912e-14,2.237726045655905e-16,0.0,1.061236166797681e-14,1.595209301916199e-14,1.5624688148904796e-15,2.7084450456260958e-15
3,16,0.7071067811865474,0.7071067811865469,1.7244233337941968e-15,1.4700713434860944e-14,8.671119018262734e-16,2.0014830212433607e-16,1.6879977237908645e-14,1.8632758447286043e-14,7.108895957933346e-16,9.639819490876587e-16
3,17,0.7071067811865472,0.7071067811865483,6.38378239159465e-16,2.3115046006173265e-14,2.237726045655905e-16,6.955527313080394e-16,2.6632628247292577e-14,2.4040879197542503e-14,4.577566798522237e-16,5.274161920700593e-15
3,18,0.7071067811865483,0.707106781186548,1.0990647210786425e-15,3.552713678800501e-15,4.215378046623641e-16,0.0,2.268267529855205e-15,3.155680862192502e-15,4.47545209131181e-16,1.5700924586837751e-15
3,19,0.7071067811865478,0.7071067811865475,3.614624287906422e-15,2.837048893407221e-15,0.0,2.482534153247273e-16,8.639789531958417e-15,8.639789531958417e-15,0.0,3.3121136700345437e-15
4,0,1.414213562373095,1.4142135623730954,8.617648093045562e-16,5.046326990660216e-15,0.0,6.473657049138937e-16,6.020117329067494e-15,6.020117329067494e-15,2.482534153247273e-16,1.8385843027689748e-15
4,1,1.4142135623730951,1.4142135623730954,1.2685846686484803e-15,1.5458136370857035e-14,5.551115123125783e-16,2.220446049250313e-16,1.7758558673539452e-14,1.3309435220996807e-14,1.355199909595506e-15,7.174695502499185e-15
4,2,1.4142135623730958,1.4142135623730951,1.047382306668854e-15,1.3194850017056127e-15,4.0412728104402656e-16,2.482534153247273e-16,4.0029660424867215e-16,8.95090418262362e-16,8.671119018262734e-16,8.455206652451151e-16
4,3,1.4142135623730963,1.414213562373095,1.1801832636420706e-15,2.8651498730356417e-15,2.482534153247273e-16,6.955527313080394e-16,3.297194163235928e-15,4.082240392577816e-15,7.021666937153402e-16,1.2947314098277873e-15
