N,delta_seed,sigma0,sigma1,theta_projective_two_cycle_spread,phi_projective_fixed_spread,midpoint0_error,midpoint1_error,sixth_step_spread,cube_delta_spread,delta_equals_2step_error,derived_global_identity_spread
4,4,1.4142135623730938,1.414213562373093,4.6287779645732766e-15,4.398010870549308e-15,5.551115123125783e-16,4.710277376051326e-16,6.611189343068438e-15,4.877405731848761e-15,1.1050065994108396e-15,6.059875529713487e-15
4,5,1.4142135623730947,1.4142135623730945,6.280369834735101e-16,1.542371118540254e-15,2.3592239273284576e-16,2.482534153247273e-16,1.2560739669470201e-15,2.198129442157285e-15,6.753223014464258e-16,7.108895957933346e-16
4,6,1.4142135623730951,1.414213562373096,8.671119018262734e-16,5.3313829811076764e-15,4.577566798522237e-16,4.0029660424867215e-16,5.34062281989631e-15,6.198634749886713e-15,4.47545209131181e-16,1.9641850382783467e-15
4,7,1.4142135623730934,1.4142135623730967,8.671119018262734e-16,1.5632082117998628e-15,1.047382306668854e-15,0.0,1.847779371410367e-15,2.094764613337708e-15,9.155133597044475e-16,1.0990647210786425e-15
4,8,1.4142135623730954,1.4142135623730951,1.355199909595506e-15,2.893111048388383e-15,4.577566798522237e-16,8.95090418262362e-16,2.1355566272775288e-15,1.5393713663616246e-15,4.47545209131181e-16,2.710399819191012e-15
4,9,1.414213562373095,1.4142135623730956,1.793620188084545e-15,3.296522366252803e-15,2.220446049250313e-16,0.0,6.4373790806034785e-15,6.4373790806034785e-15,4.0412728104402656e-16,3.0927234722497852e-15
4,10,1.4142135623730954,1.4142135623730976,2.8849781364273595e-15,8.671296703307338e-15,4.4214205078807195e-15,2.482534153247273e-16,1.1299153020399452e-14,7.99365396391911e-15,4.438811298097874e-15,1.1772683711623595e-14
4,11,1.4142135623730971,1.4142135623730943,1.0881460057406233e-15,6.7112413638917864e-15,6.661338147750939e-16,4.0029660424867215e-16,8.856247049353429e-15,8.856247049353429e-15,1.3506446028928517e-15,4.06597868201741e-15
4,12,1.4142135623730951,1.4142135623730951,9.43689570931383e-16,7.354769295024291e-15,4.308824046522781e-16,2.2982303784612184e-16,9.102474770714523e-15,4.675146388388482e-15,1.3517848686956847e-15,2.929495491068304e-15
4,13,1.4142135623730951,1.4142135623730965,1.8081644487136043e-15,4.900804745188727e-15,4.0029660424867215e-16,2.0014830212433607e-16,3.547505691130594e-15,3.989471777117382e-15,8.8132147742544665e-16,2.1065000811460206e-15
4,14,1.414213562373097,1.4142135623730954,4.051933808678555e-15,7.993221026854073e-15,1.3092278833360677e-15,2.465042059363043e-15,1.0694652252098413e-14,8.90205732444419e-15,8.881784197001252e-16,5.013320832966252e-15
4,15,1.4142135623730947,1.4142135623730951,1.3232745389513375e-15,1.1150750688444933e-14,6.958641650980174e-16,6.473657049138937e-16,1.248606094339658e-14,1.427931978716964e-14,8.675560052622146e-16,3.528343968566428e-15
4,16,1.414213562373095,1.414213562373096,1.3426356273935429e-15,5.28056664637576e-15,4.577566798522237e-16,6.473657049138937e-16,8.246349205580614e-15,4.632437998758357e-15,1.4130832128153977e-15,4.12167961557554e-15
4,17,1.4142135623730943,1.4142135623730943,2.248030287623391e-15,1.5100665727558131e-15,1.1443916996305592e-15,3.1401849173675503e-16,7.753300340382145e-15,2.0380985511143445e-15,1.7800393098203986e-15,6.7440908628701735e-15
4,18,1.4142135623730943,1.414213562373095,8.886119947416683e-16,5.326761570871825e-15,8.81239525796218e-16,2.220446049250313e-16,5.423072987040728e-15,3.834691684006085e-15,4.847302891456678e-16,9.930136612989092e-16
4,19,1.4142135623730947,1.4142135623730958,3.0852416691629643e-15,4.528257301812527e-14,5.551115123125783e-16,2.220446049250313e-16,4.8048933877271864e-14,4.7969472403548066e-14,4.577566798522237e-16,1.9673202119229575e-15
5,0,1.870828693386968,1.8708286933869704,8.95090418262362e-16,8.438425365424546e-15,4.47545209131181e-16,8.95090418262362e-16,7.114095687477469e-15,7.114095687477469e-15,4.0412728104402656e-16,2.3276653796347474e-15
5,1,1.8708286933869702,1.8708286933869707,2.234280737922546e-15,3.097825645011791e-15,0.0,6.206335383118183e-16,5.1836834957480484e-15,4.555974381910842e-15,2.220446049250313e-16,4.2276033262255756e-15
5,3,1.8708286933869704,1.8708286933869707,8.95090418262362e-16,8.438425365424546e-15,1.5700924586837752e-16,4.965068306494546e-16,7.609685987206036e-15,7.609685987206036e-15,4.965068306494546e-16,1.4432899320127035e-15
5,4,2.0,2.000000000000002,2.220446049250313e-15,4.531559934397256e-15,2.482534153247273e-16,4.0029660424867215e-16,2.396642123083981e-15,4.201647800831379e-15,8.968100940422724e-16,6.329245045284193e-15
5,7,2.0000000000000004,1.9999999999999987,4.965068306494546e-16,2.2648022476336705e-15,2.482534153247273e-16,4.47545209131181e-16,2.288783399261119e-15,1.336885555457667e-15,4.710277376051326e-16,2.3400435931584245e-15
5,8,1.8708286933869722,1.8708286933869693,1.2994827337208943e-15,1.5240818834060582e-14,8.455206652451151e-16,2.482534153247273e-16,1.6226356740474948e-14,1.532962326941742e-14,1.2994827337208943e-15,2.0539125955565396e-15
5,10,1.870828693386971,1.8708286933869707,2.437438961788735e-15,3.287835091949819e-15,8.005932084973443e-16,2.482534153247273e-16,6.75322301446426e-15,9.972868384575616e-15,9.155133597044475e-16,1.787596980229968e-15
6,0,2.4494897427831863,2.449489742783171,1.7554167342883507e-15,8.23831118859965e-15,0.0,4.710277376051326e-16,6.444316300183507e-15,8.656358445227592e-15,4.710277376051326e-16,1.8452761694870047e-15
6,3,2.4341560317870887,2.434156031787082,1.5305885091534674e-15,1.331758680116795e-14,4.0412728104402656e-16,2.482534153247273e-16,1.5619165036182597e-14,1.8269832252148366e-14,9.550499576785472e-16,9.992007221626409e-16
6,4,2.4374968062204467,2.437496806220455,1.355199909595506e-15,7.254141510646268e-15,7.021666937153402e-16,4.0029660424867215e-16,9.530474157418037e-15,9.985837411083436e-15,4.965068306494546e-16,3.797547027170516e-15
6,5,2.437496806220445,2.4374968062204476,2.4172859680374752e-15,7.020130779475273e-15,7.021666937153402e-16,0.0,1.1182431731478374e-14,1.0287401071993663e-14,8.968100940422724e-16,5.576354350678949e-15
6,6,2.434156031787089,2.4341560317870883,1.7763568394002505e-15,1.4228624520802642e-14,4.577566798522237e-16,4.577566798522237e-16,1.1910473436085454e-14,1.5494275077321728e-14,1.1019522811520251e-15,4.846968703229939e-15
6,7,2.4296025502167113,2.4296025502167247,2.217842437587711e-15,8.868590499107719e-15,4.965068306494546e-16,4.47545209131181e-16,9.971014289486082e-15,9.971014289486082e-15,3.1401849173675503e-16,2.237209587739501e-15
6,9,2.437496806220448,2.4374968062204476,1.29540061777992e-15,5.296590029624932e-15,4.47545209131181e-16,9.43689570931383e-16,2.6829751694977967e-15,3.579070444418269e-15,4.965068306494546e-16,2.190097834914324e-15
6,10,2.429602550216719,2.429602550216718,1.1157603309187458e-15,6.250861277594331e-15,4.0029660424867215e-16,2.482534153247273e-16,6.661338147750939e-15,7.527443105585587e-15,6.4796043696850615e-16,1.7800393098203986e-15
6,11,2.437496806220444,2.4374968062204436,1.7763568394002505e-15,2.8951074449790722e-15,4.965068306494546e-16,4.710277376051326e-16,6.0402662910232525e-15,6.0402662910232525e-15,2.482534153247273e-16,2.3489257657340225e-15
6,13,2.4341560317870954,2.4341560317870816,1.9984014443252818e-15,2.4873456069128526e-14,6.758924343478424e-16,2.7336071744532853e-16,2.436281915043614e-14,2.7946598281573466e-14,1.5582722720639764e-15,5.622304264034205e-15
6,14,2.437496806220449,2.4374968062204485,4.265698783853661e-15,1.1471483829047185e-14,8.671119018262734e-16,6.955527313080394e-16,2.1812421540521876e-14,1.9122040607882153e-14,8.95090418262362e-16,6.126630741617245e-15
6,16,2.4341560317870767,2.434156031787087,1.9984014443252818e-15,1.595170667171236e-14,4.308824046522781e-16,6.4796043696850615e-16,1.509015282098275e-14,1.3824505840330972e-14,1.1019522811520251e-15,4.735795089416683e-15
6,17,2.449489742783168,2.449489742783183,2.931072891608563e-15,3.575193960459936e-15,4.710277376051326e-16,4.577566798522237e-16,9.155133597044475e-15,8.288095590209394e-15,2.482534153247273e-16,3.820199830714189e-15
6,18,2.4374968062204467,2.4374968062204503,1.8081644487136043e-15,8.886119947416683e-15,4.965068306494546e-16,4.710277376051326e-16,1.0657129066331541e-14,1.0201523965509477e-14,5.551115123125783e-16,1.7554167342883507e-15
6,19,2.434156031787064,2.4341560317871,3.321868180611794e-15,1.7987754505356323e-14,2.482534153247273e-16,4.710277376051326e-16,2.1951032663801017e-14,2.1069754528732307e-14,6.473657049138937e-16,3.0852416691629643e-15
7,0,2.9004990655055782,2.9004990655055534,3.774758283725532e-15,1.1980638835024279e-14,9.550499576785472e-16,1.0235750533041806e-15,1.6268840144684364e-14,1.6268840144684364e-14,1.7764110486817194e-15,5.240870461313148e-15
7,1,2.9694478774751047,2.9694478774751136,6.924445963069149e-15,1.0370338861126152e-14,2.482534153247273e-16,1.6504651808933462e-15,2.080505813222107e-14,2.033406127414312e-14,5.117875266520904e-16,8.827494904776954e-15
7,2,2.870452665844048,2.8704526658440486,2.9976021664879227e-15,6.851974154380202e-15,2.482534153247273e-16,4.0029660424867215e-16,1.1321689477930461e-14,1.2165050633956077e-14,4.847302891456678e-16,2.359614864327286e-15
7,5,2.9695097531160655,2.9695097531160513,5.338314359524835e-15,2.060652892018687e-14,6.955527313080394e-16,8.671119018262734e-16,9.531050071523917e-15,9.958992934833014e-15,4.965068306494546e-16,6.51280900189653e-15
7,6,2.90486306445631,2.904863064456303,1.2959208739370123e-15,1.998120495746889e-14,4.710277376051326e-16,9.550499576785472e-16,1.8164958725853915e-14,1.7269946494756806e-14,4.710277376051326e-16,3.527579702384456e-15
7,7,2.9695007732548397,2.969500773254843,4.010656666373001e-15,5.758195022971231e-15,6.473657049138937e-16,3.1421469200065623e-15,6.508075855194383e-15,8.640502827277028e-15,1.355199909595506e-15,7.938676889518328e-15
7,9,2.969447877475109,2.9694478774751154,2.6577322408464374e-15,1.0053497077208614e-14,1.1102230246251565e-15,4.577566798522237e-16,1.623594417790877e-14,1.717942333624185e-14,1.3232745389513375e-15,4.365661774537291e-15
7,10,2.870452665844049,2.8704526658440455,2.4781859104316644e-15,2.6865103248775378e-14,4.47545209131181e-16,9.550499576785472e-16,2.8675794880550326e-14,2.8005925950837453e-14,4.965068306494546e-16,3.4201356859385445e-15
7,12,2.9137213689526003,2.91372136895259,5.073123991470691e-15,2.049106006910154e-14,4.47545209131181e-16,4.577566798522237e-16,2.087075343401154e-14,2.0648712004517656e-14,1.3426356273935429e-15,2.6161010397869727e-15
7,15,2.870452665844047,2.8704526658440477,4.951395542680038e-15,1.9127438320369313e-14,8.671119018262734e-16,3.073232898313274e-15,2.4067525247972963e-14,2.2715119673309275e-14,4.710277376051326e-16,4.085258685332182e-15
7,16,2.828427124746193,2.828427124746189,2.2232198742534223e-15,1.0695084443661336e-14,2.498001805406602e-16,4.47545209131181e-16,1.1947671153411902e-14,1.1547386928896042e-14,3.1401849173675503e-16,2.6184557666721354e-15
7,18,2.9048630644563005,2.9048630644562956,8.186342228911137e-15,2.1119056802825585e-14,6.473657049138937e-16,4.710277376051326e-16,1.0658161365172848e-14,5.332543351079039e-15,1.2947314098277873e-15,1.0851258731404393e-14
8,0,3.4054512557782814,3.4054512557782872,3.744020366828693e-15,3.0616400353876796e-14,4.47545209131181e-16,4.47545209131181e-16,2.932334201094587e-14,2.9787513408316264e-14,4.0029660424867215e-16,2.667424898013851e-15
8,1,3.45194810657382,3.451948106573833,1.9673202119229575e-15,5.74426431766485e-15,4.440892098500626e-16,4.965068306494546e-16,7.987869494273747e-15,9.766177032077493e-15,4.965068306494546e-16,3.2487068343022356e-15
8,2,3.4079017465573482,3.4079017465573402,4.59637695559777e-15,1.9959327572255808e-14,4.710277376051326e-16,4.577566798522237e-16,1.9328086879686912e-14,1.9484967604307175e-14,2.7336071744532853e-16,4.907637875040193e-15
8,3,3.4018392368434514,3.401839236843433,8.895824359939541e-15,6.815361104917612e-14,2.482534153247273e-16,4.710277376051326e-16,5.5255879125646546e-14,5.5255879125646546e-14,3.1401849173675503e-16,9.25393534768921e-15
8,5,3.454393762066108,3.4543937620660854,2.6325398974912097e-15,6.4777018211981314e-15,4.577566798522237e-16,4.965068306494546e-16,1.0900558419132247e-14,1.0161421993128915e-14,4.577566798522237e-16,3.17774068866721e-15
8,6,3.4097068999708218,3.409706899970801,6.92355587424703e-15,5.548116711169364e-14,4.710277376051326e-16,8.455206652451151e-16,6.805160005504348e-14,6.805160005504348e-14,8.671119018262734e-16,7.411934057832477e-15
8,7,3.455612886249667,3.4556128862496642,6.0402662910232525e-15,1.6452385225002197e-14,1.7342238036525468e-15,6.473657049138937e-16,2.7950967128680773e-14,2.7950967128680773e-14,1.7659723550911692e-15,7.252442150971848e-15
8,8,3.4518338900360197,3.451833890036019,4.87432479077243e-15,4.927689594407735e-15,4.0029660424867215e-16,4.710277376051326e-16,1.2687698721345824e-14,1.2687698721345824e-14,5.551115123125783e-16,4.8739296574786475e-15
8,9,3.4103591381954366,3.410359138195433,1.2919439706757218e-15,9.782728149781891e-15,4.965068306494546e-16,7.108895957933346e-16,9.79642074947752e-15,9.79642074947752e-15,6.497413668604471e-16,2.578583443882444e-15
8,10,3.4552715291803153,3.4552715291803087,4.825320989909783e-15,1.1283930187808189e-14,6.497413668604471e-16,8.95090418262362e-16,5.34062281989631e-15,5.990319417512139e-15,5.551115123125783e-16,5.27005223332933e-15
8,11,3.453109874200313,3.4531098742003086,8.777083671441753e-15,5.320968983789313e-15,4.440892098500626e-16,3.996826981959555e-15,1.1939415009277702e-14,1.1939415009277702e-14,1.5624688148904796e-15,8.180317321210782e-15
8,12,3.406955551129916,3.4069555511299243,3.084742237080508e-15,7.960384249658215e-15,6.473657049138937e-16,4.965068306494546e-16,7.082187425341528e-15,7.93945317435757e-15,1.336885555457667e-15,4.2711132545550575e-15
8,13,3.4519477547175854,3.451947754717584,1.2871648191747909e-15,6.618642771977825e-15,4.0029660424867215e-16,5.978733960281817e-16,8.045287662412465e-15,1.0728023675806751e-14,9.550499576785472e-16,1.4155343563970746e-15
8,14,3.401690390601926,3.401690390601916,7.993605777301127e-15,3.0570319088787483e-14,6.206335383118183e-16,7.021666937153402e-16,3.7327978235381297e-14,3.8189735562503204e-14,9.550499576785472e-16,5.739288201732673e-15
8,15,3.4531098742003152,3.453109874200322,2.1013738783212884e-15,1.617881049748859e-14,1.5100665727558131e-15,7.021666937153402e-16,1.3622757722034223e-14,1.1831560878506156e-14,1.3230562068383786e-15,4.06597868201741e-15
8,16,3.4519480993970926,3.451948099397087,4.884981308350689e-15,3.1442302063507624e-14,6.4796043696850615e-16,6.4796043696850615e-16,2.3595830897915364e-14,2.4490674407874003e-14,1.5624688148904796e-15,9.73100306921698e-15
8,17,3.406436632226133,3.406436632226104,5.821000005975886e-15,4.1544598986074104e-14,1.7422013638940487e-15,7.027150473277823e-16,3.753887988735364e-14,4.195321130812894e-14,1.7798229048217483e-15,5.821000005975886e-15
8,18,3.45317663911044,3.4531766391104384,2.0471501066083617e-15,7.107378653578542e-15,4.47545209131181e-16,4.47545209131181e-16,9.820925191391734e-15,9.820925191391734e-15,4.0029660424867215e-16,2.667424898013851e-15
8,19,3.4544027953853247,3.45440279538534,2.0206364052201327e-15,1.3047010143808138e-14,4.710277376051326e-16,4.47545209131181e-16,1.2166981943660402e-14,1.1519065476352803e-14,4.965068306494546e-16,2.23497022435708e-15
9,0,3.8504159872214285,3.850415987221424,3.1421469200065623e-15,5.1290381237541464e-14,4.577566798522237e-16,4.710277376051326e-16,5.1511118066579514e-14,5.1511118066579514e-14,4.47545209131181e-16,2.7822109252321576e-15
9,1,3.9260663697256155,3.9260663697256253,4.440892098500626e-15,1.070084532985537e-14,7.108895957933346e-16,3.789423922623494e-15,8.593477630597764e-15,8.646919837316583e-15,1.355199909595506e-15,5.2884387375116375e-15
9,2,3.92385528689878,3.923855286898777,3.756755865433588e-15,1.06674249915389e-14,4.710277376051326e-16,7.447602459741819e-16,1.2883371640962568e-14,1.3278657246444017e-14,7.021666937153402e-16,3.2368285245694686e-15
9,3,3.9245817304710275,3.924581730471029,5.656760631315863e-15,9.766177032077493e-15,7.027150473277823e-16,7.021666937153402e-16,1.1910473436085454e-14,1.2825358657371926e-14,1.3506446028928517e-15,9.619018993028944e-15
9,4,3.8959150055053455,3.895915005505394,7.283682861481554e-14,4.538313379580936e-13,1.542371118540254e-15,8.671119018262734e-16,5.648619589530481e-13,5.648619589530481e-13,1.7626429548508933e-15,7.630346975226465e-14
9,5,3.9280263541490417,3.9280263541490275,4.47545209131181e-15,1.1071657016922028e-14,8.671119018262734e-16,4.965068306494546e-16,1.758573645742267e-14,1.7822105597158097e-14,7.021666937153402e-16,3.580361673049448e-15
9,6,3.9265180863389326,3.926518086338931,2.6026680157866435e-15,9.358198888203669e-15,1.1801832636420706e-15,6.280369834735101e-16,7.102824795756441e-15,8.890280278469355e-15,1.3232745389513375e-15,3.8428193350174e-15
9,7,3.9238548074741644,3.923854807474189,2.2232198742534223e-15,1.2630342341582531e-14,4.965068306494546e-16,4.47545209131181e-16,1.385434229725462e-14,1.4599010629685458e-14,4.718447854656915e-16,2.2551405187698492e-15
9,8,3.9654257297282802,3.9654257297282967,2.886579864025407e-15,3.547523063789775e-14,6.938893903907228e-16,8.8132147742544665e-16,3.7295893112167694e-14,3.1920794454546046e-14,1.5632082117998628e-15,9.033737305805896e-15
9,9,3.8910844925388015,3.8910844925388077,6.417242744580076e-15,1.5326708271277444e-14,4.3021142204224816e-16,4.965068306494546e-16,2.3788066630728757e-14,2.260987656946636e-14,4.577566798522237e-16,6.931562558948542e-15
9,10,3.9627349322918013,3.962734932291796,4.179219242832202e-15,8.626225714372465e-15,6.497413668604471e-16,6.418476861114186e-16,7.783645278309893e-15,5.990319417512139e-15,1.3414875847488983e-15,4.0943002132167226e-15
9,11,3.8830232675840164,3.8830232675840133,4.218847493575595e-15,1.867636776709882e-14,6.758924343478424e-16,6.753223014464258e-16,2.1828308872686456e-14,1.9111502621853897e-14,1.3368855554576669e-15,7.431044821975684e-15
9,12,3.9252540120402255,3.925254012040211,3.44395696292924e-15,1.4672700940978208e-14,7.447602459741819e-16,1.4936523181711916e-15,2.136970244204297e-14,2.136970244204297e-14,1.3732700395566711e-15,5.499685189500132e-15
9,13,3.8909181653973692,3.890918165397361,2.1897020778056683e-15,1.997167482216687e-14,6.473657049138937e-16,4.47545209131181e-16,1.5987597044060498e-14,1.865306846095415e-14,1.3426356273935429e-15,5.88418203051333e-15
9,14,3.884656046988842,3.8846560469888503,3.783320148584565e-15,2.135881264927649e-14,6.473657049138937e-16,6.473657049138937e-16,2.3130038621832995e-14,2.22335847466341e-14,6.753223014464258e-16,3.3274293477538095e-15
9,15,3.8467609862736314,3.8467609862736194,5.07633088449676e-15,6.323639355249681e-14,8.617648093045562e-16,3.5335801979651357e-15,7.258695955347124e-14,7.058567577985654e-14,4.47545209131181e-16,5.541687569162985e-15
9,16,3.9285211258369888,3.92852112583702,3.3766115072321296e-15,8.648033416472377e-15,4.577566798522237e-16,4.0029660424867215e-16,1.0638028178764803e-14,1.1533101303602602e-14,5.4672143489065705e-16,5.6110214744631864e-15
9,17,3.8845879211003584,3.8845879211003544,2.1868857395626282e-15,1.130575599193137e-14,4.0029660424867215e-16,4.710277376051326e-16,1.3761455388023794e-14,1.311100652125129e-14,4.965068306494546e-16,2.6829751694977967e-15
9,18,3.924624085202005,3.9246240852020007,1.7764110486817194e-15,1.2691675128710409e-14,4.710277376051326e-16,4.47545209131181e-16,1.3578463321747214e-14,1.2229725211024048e-14,4.965068306494546e-16,2.8643767482794687e-15
9,19,3.925369989682129,3.925369989682134,4.59637695559777e-15,1.6504651808933463e-14,8.455206652451151e-16,1.577923392343183e-15,2.0665959898240134e-14,2.023227258861052e-14,8.671119018262734e-16,6.195402603516566e-15
10,0,4.463162887008635,4.463162887008617,4.220308060520364e-15,2.1335066633694113e-14,1.1801832636420706e-15,7.108895957933346e-16,1.458834744193653e-14,1.3722374549129038e-14,8.886119947416683e-16,6.656942064369536e-15
10,1,4.463872060329791,4.463872060329779,5.359054704955199e-15,1.667923045607463e-14,8.95090418262362e-16,4.579669976578771e-16,1.0663343936900019e-14,8.530675149520015e-15,1.7554167342883507e-15,5.274435786004485e-15
10,2,4.407049498261608,4.407049498261591,2.9976021664879227e-15,3.197288410741629e-14,7.021666937153402e-16,5.117875266520904e-16,3.157752170188535e-14,3.157752170188535e-14,1.1102230246251565e-15,4.907385359550555e-15
10,3,4.4327677448683245,4.432767744868311,7.13577442284054e-15,1.6892637094307327e-14,4.710277376051326e-16,4.710277376051326e-16,1.1988995606245352e-14,1.1988995606245352e-14,4.47545209131181e-16,7.056687937132856e-15
10,5,4.401519516906428,4.401519516906407,4.705040823708615e-15,1.2011079032718232e-14,5.551115123125783e-16,6.473657049138937e-16,1.2914547347233454e-14,1.2914547347233454e-14,8.671119018262734e-16,6.1464657966265474e-15
10,6,4.4012456103898305,4.401245610389803,1.2930643218800921e-14,3.217827788836436e-14,1.130575599193137e-14,8.671119018262734e-16,3.705405728221187e-14,1.7512564037544145e-14,1.1546719900272527e-14,2.0190497733453773e-14
10,7,4.437319984438969,4.437319984438983,6.0402662910232525e-15,1.507953041105285e-14,1.355199909595506e-15,8.968100940422724e-16,2.0868649297177207e-14,2.171330583734304e-14,1.3230562068383786e-15,4.5356381352535936e-15
10,10,4.4635223815701135,4.463522381570064,1.0844611676848756e-13,3.337270948450566e-13,7.108895957933346e-16,9.406360890680317e-14,4.757481356221577e-13,4.755968962413629e-13,8.671119018262734e-16,1.193919304662416e-13
10,11,4.435763884204219,4.4357638842042,6.567464220727892e-15,1.30753214412219e-14,7.108895957933346e-16,4.577566798522237e-16,7.32410687763558e-15,7.781863557487803e-15,4.965068306494546e-16,7.750318951469329e-15
10,12,4.371886532218319,4.3718865322183325,1.5305885091534674e-15,1.1041696844212377e-14,4.710277376051326e-16,1.047382306668854e-15,1.2407984098246496e-14,1.2407984098246496e-14,9.43689570931383e-16,2.6599415100139677e-15
