N,delta_seed,self_residual,sigma_gen,Kphi_plus_2Ktheta_rel,sin_theta_quant_error,sin_phi_quant_error,cube_delta_spread,midpoint_identity_error
3,0,6.224696787740108e-16,0.7071067811865475,9.047981591888934e-16,5.551115123125783e-16,1.0106430996148606e-15,7.0854499536960216e-15,2.220446049250313e-16
3,1,1.0275574752428573e-15,0.7071067811865479,1.1141710672025558e-15,1.0106430996148606e-15,2.786999939015111e-15,1.0663091076830307e-14,1.212461268062109e-15
3,2,1.8711008818911933e-15,0.7071067811865482,2.0011852072748514e-15,1.1102230246251565e-15,3.2310891488651735e-15,1.3309717391015238e-14,4.710277376051326e-16
3,3,2.0951385609275764e-15,0.7071067811865467,1.3796855704037841e-15,1.0106430996148606e-15,5.66553889764798e-16,5.9977897984371695e-15,2.482534153247273e-16
3,4,1.918972794106573e-15,0.7071067811865476,8.455206652451151e-16,1.1102230246251565e-16,8.881784197001252e-16,3.3519095328740326e-15,0.0
3,5,6.627327103878219e-16,0.7071067811865481,1.2211175101825898e-15,1.1102230246251565e-15,5.66553889764798e-16,4.18069365432377e-15,2.482534153247273e-16
3,6,2.2549596695849924e-15,0.7071067811865483,1.2486924693357873e-15,8.881784197001252e-16,3.1086244689504383e-15,1.1544317678567483e-14,2.482534153247273e-16
3,7,9.67388870148346e-16,0.7071067811865488,2.3079562417653926e-15,1.1102230246251565e-15,2.786999939015111e-15,1.2433258846878144e-14,1.6653345369377348e-16
3,8,1.3224009942160535e-15,0.707106781186548,1.5348607454666587e-15,1.3322676295501878e-15,3.885780586188048e-15,1.5950933948739945e-14,6.497413668604471e-16
3,9,8.892882955672261e-16,0.7071067811865474,5.266250202865052e-16,4.440892098500626e-16,1.1102230246251565e-15,4.6483753325295575e-15,0.0
3,10,1.6674332684963212e-15,0.7071067811865476,1.466678454911713e-15,1.0106430996148606e-15,3.675178358715236e-15,1.6034172862738674e-14,2.7336071744532853e-16
3,11,2.5567176900759005e-15,0.7071067811865459,1.588878111274136e-15,8.881784197001252e-16,1.2246467991473532e-16,1.7800393098203986e-15,8.455206652451151e-16
3,12,1.955538621773324e-15,0.7071067811865464,1.8616715486110426e-15,1.4547323094649232e-15,4.119267568565299e-15,1.0320297871499672e-14,0.0
3,13,2.420470799416089e-15,0.7071067811865476,1.7382171604131332e-15,6.661338147750939e-16,1.0106430996148606e-15,4.036695192044047e-15,2.0014830212433607e-16
3,14,1.735669228995858e-15,0.7071067811865468,1.8962983276297297e-15,5.66553889764798e-16,3.675178358715236e-15,1.4185787536444126e-14,2.482534153247273e-16
3,15,1.7313020791488037e-15,0.707106781186547,1.6245905317304628e-15,1.3322676295501878e-15,3.9968028886505635e-15,1.595209301916199e-14,2.237726045655905e-16
3,16,3.324098698413525e-15,0.7071067811865474,1.7322617553745446e-15,1.4547323094649232e-15,4.563356778415361e-15,1.8632758447286043e-14,8.671119018262734e-16
3,17,2.399258357475429e-15,0.7071067811865472,2.396642123083981e-15,2.220446049250313e-15,6.217248937900877e-15,2.4040879197542503e-14,2.237726045655905e-16
3,18,1.564378975774664e-15,0.7071067811865483,5.980860149753247e-16,3.3306690738754696e-16,5.66553889764798e-16,3.155680862192502e-15,4.215378046623641e-16
3,19,1.9219608823632995e-15,0.7071067811865478,1.6467268631127714e-15,1.0106430996148606e-15,1.4547323094649232e-15,8.639789531958417e-15,0.0
4,0,2.2813664943870966e-15,1.414213562373095,8.914250922282665e-16,1.0106430996148606e-15,2.3314683517128287e-15,6.020117329067494e-15,0.0
4,1,1.8767367109681047e-15,1.4142135623730951,1.2660347196939385e-15,1.1102230246251565e-15,3.2310891488651735e-15,1.3309435220996807e-14,5.551115123125783e-16
4,2,2.5090794730763306e-15,1.4142135623730958,8.144263458698792e-16,4.440892098500626e-16,3.3306690738754696e-16,8.95090418262362e-16,4.0412728104402656e-16
4,3,1.2755491433176284e-15,1.4142135623730963,7.28021923224409e-16,4.440892098500626e-16,8.881784197001252e-16,4.082240392577816e-15,2.482534153247273e-16
4,4,3.4318284916232133e-15,1.4142135623730938,1.7543192557601375e-15,1.2212453270876722e-15,4.440892098500626e-16,4.877405731848761e-15,5.551115123125783e-16
4,5,1.975136373861508e-15,1.4142135623730947,6.553490502002376e-16,3.3306690738754696e-16,4.440892098500626e-16,2.198129442157285e-15,2.3592239273284576e-16
4,6,8.49157330050552e-16,1.4142135623730951,7.806178542693738e-16,5.551115123125783e-16,1.7763568394002505e-15,6.198634749886713e-15,4.577566798522237e-16
4,7,1.268280997867674e-15,1.4142135623730934,1.0506869391606444e-15,4.440892098500626e-16,8.881784197001252e-16,2.094764613337708e-15,1.047382306668854e-15
4,8,1.1834425442573871e-15,1.4142135623730954,1.594436429147036e-16,3.3306690738754696e-16,1.2246467991473532e-16,1.5393713663616246e-15,4.577566798522237e-16
4,9,4.908265731228399e-15,1.414213562373095,5.225867067904714e-16,3.3306690738754696e-16,1.0106430996148606e-15,6.4373790806034785e-15,2.220446049250313e-16
4,10,1.588627898258441e-15,1.4142135623730954,1.2643816798627474e-15,1.4547323094649232e-15,3.3306690738754696e-15,7.99365396391911e-15,4.4214205078807195e-15
4,11,3.638416147960548e-15,1.4142135623730971,1.4014504476741598e-15,1.1102230246251565e-15,1.8988215193149856e-15,8.856247049353429e-15,6.661338147750939e-16
4,12,3.780468348142702e-15,1.4142135623730951,1.6234046125040712e-15,1.2212453270876722e-15,2.6645352591003757e-15,4.675146388388482e-15,4.308824046522781e-16
4,13,1.2499257461493169e-15,1.4142135623730951,8.246489334032591e-16,1.0106430996148606e-15,1.7763568394002505e-15,3.989471777117382e-15,4.0029660424867215e-16
4,14,7.220718486026946e-15,1.414213562373097,9.666753379582448e-16,1.0106430996148606e-15,2.3429107291650482e-15,8.90205732444419e-15,1.3092278833360677e-15
4,15,2.355138688025663e-15,1.4142135623730947,1.5263043145882805e-15,1.3322676295501878e-15,3.552713678800501e-15,1.427931978716964e-14,6.958641650980174e-16
4,16,1.0663343936900021e-15,1.414213562373095,8.536813755471828e-16,8.881784197001252e-16,2.3429107291650482e-15,4.632437998758357e-15,4.577566798522237e-16
4,17,7.065416064076986e-16,1.4142135623730943,2.435541875787129e-16,3.3306690738754696e-16,5.66553889764798e-16,2.0380985511143445e-15,1.1443916996305592e-15
4,18,1.7413167731470545e-15,1.4142135623730943,1.2401804923428067e-15,8.326672684688674e-16,1.3322676295501878e-15,3.834691684006085e-15,8.81239525796218e-16
4,19,7.908439756741457e-15,1.4142135623730947,3.933857177013461e-15,3.675178358715236e-15,1.199040866595169e-14,4.7969472403548066e-14,5.551115123125783e-16
5,0,4.144556139223371e-15,1.870828693386968,9.814822258906612e-16,5.66553889764798e-16,1.8988215193149856e-15,7.114095687477469e-15,4.47545209131181e-16
