N,seed,beta,sigma0,sigma1,proj_cycle_spread,output_projective_spread,cube_spread,K_best_scalar,K_relerr
3,40263721,0.25,1.299293218022585,1.4039465100882684,1.157676939269988,3.0213322773073886e-14,1.093717470908167,-1.0884483523476014,1.531798651823471e-14
3,40263722,0.25,1.3582661723336016,1.3109870697155577,0.007598233897584696,4.260940054836882e-06,1.215633711927408,-1.0411902993203141,7.655889903916098e-06
3,40263723,0.25,0.10593274142782762,0.7559326527315394,0.05796209776903642,5.890075305857685e-07,0.8310442519772727,-13.350108222553398,7.089772118076245e-07
4,40264721,0.25,0.6296964172887366,0.5611117050159113,1.1058879150594512,7.97585333585618e-15,0.578307647817249,-4.491731328128654,1.151662603256181e-14
4,40264722,0.25,1.5148858705569188,0.6227035820216144,0.07523100900995601,1.238212537770287e-06,0.08316811033241191,-1.86708925056301,5.763222101101245e-07
4,40264723,0.25,2.7920518556975784,2.294607044807005,0.22131674314234082,9.550499576785472e-16,1.2948550616888053,-1.013028149521788,7.52734732838796e-14
5,40265721,0.25,0.7473133769557025,0.7473133769557037,0.0,1.0181568386776646e-14,0.6328635343162792,-4.777049175602959,1.0945234340562716e-15
5,40265722,0.25,0.8695735387103652,1.9599958022773318,1.0119773224242388,0.008035134701824162,0.47491433032309444,-3.983689095247989,0.001947152567306506
5,40265723,0.25,2.06201814531239,3.4901045917220457,0.06054548037973831,3.6643527471511355e-06,0.3303109594895365,-1.7399865085463797,0.1541165274971392
6,40266721,0.25,4.470355566429075,3.6281947395424123,0.03698649073519067,0.0005175158573026137,1.0705711992428837,-1.0004940422157338,0.002384238076590344
6,40266722,0.25,2.6611701506348973,3.30636377946502,0.05532032298274517,0.00029778304660852735,0.1816765206350182,-1.6804468332631595,0.00019800920847582503
6,40266723,0.25,3.3600299927079966,2.9960801282241145,0.933869015628403,0.11180916424256421,1.579749190360363,-1.1634149753261638,0.6195248667818667
7,40267721,0.25,2.711730741567344,2.0007735174952708,0.967131839818998,1.2816022292214764,1.5569692461155151,-1.8835800521318986,0.4848771449010389
7,40267722,0.25,5.696020704899599,3.922971921118107,0.030031322581666308,1.5783282481568777e-09,1.0943464983056599,-1.0239801353006013,0.001989198666696232
7,40267723,0.25,2.65103544730213,2.9065072973748056,1.550938553773163,1.2135655074806466,1.255048467235663,-1.4784468046956292,0.8193180673227879
8,40268721,0.25,0.9155128137459935,1.8285931125513508,0.9880235248093687,5.2322020795739454e-15,0.6299320841040675,-7.462640183113838,1.0863098121280928e-15
8,40268722,0.25,5.984300408614727,4.836984506160096,1.1295070341073612,0.016660781335613124,1.494862206599303,-1.118379262879616,0.03815210877170525
8,40268723,0.25,5.527602714074554,3.990636528467698,0.7797592445566418,0.10047855672475493,1.1882060824913596,-1.2465754761311378,0.0885837263862872
3,40263721,0.3333333333333333,1.4060099552369651,1.095986930537011,0.07978113546713295,3.1149849143014444e-07,1.3159518998679245,-1.00583467215549,1.0115307559354295e-07
3,40263722,0.3333333333333333,0.18209833004672654,1.0061944761943733,0.021775040183329472,4.103544010952773e-07,0.7437147701025373,-7.766208300813169,1.3724859344023552e-07
3,40263723,0.3333333333333333,1.0627919620663524,1.3460023763079336,0.06596710772423263,1.3113068720214675e-08,0.6276398306983016,-1.3306588804298871,1.161252945190596e-08
4,40264721,0.3333333333333333,2.8283961060218648,1.7335272028133435,0.017383664368542485,2.1567953262337486e-13,1.3333004330830334,-1.000010966895428,1.5258253178393288e-13
4,40264722,0.3333333333333333,0.5733787981985372,2.3881095790184763,0.007023326885996484,5.431079538579655e-12,0.6147544341609023,-4.932911948667482,9.736866516822294e-11
4,40264723,0.3333333333333333,2.4119174483616885,2.467138589231245,0.20067541148036364,4.1281191196427904e-10,0.905352760654387,-1.1726881973789856,4.606171565399462e-11
5,40265721,0.3333333333333333,0.6662075259423348,1.3242791092975816,0.08021395990868052,0.011216434141332955,0.6768393349729135,-5.358682481202304,0.001051246124084798
5,40265722,0.3333333333333333,1.0577707074945717,1.05777638172639,8.653530251294245e-05,0.013159115315435298,0.4606867827824336,-3.3749554665476404,0.0011927662431969245
5,40265723,0.3333333333333333,2.813149309760144,0.4042495211907655,0.28623854926417935,0.0006115223151901366,0.4859730818530093,-1.3179279438830462,0.0001250372817041197
6,40266721,0.3333333333333333,4.734205938448097,4.825916055872521,0.11646205289266966,9.907141204407626e-11,1.1339172501844073,-1.0347897336363414,0.005413436321900211
6,40266722,0.3333333333333333,1.5346505414143483,1.0850925958904107,0.012296170967780748,0.0028741349127278074,0.3716445083421204,-2.9807808084427108,0.0072086558378601905
6,40266723,0.3333333333333333,1.7096419333562682,1.263705672765876,1.1969799434229158,2.237726045655905e-15,0.2976703935689939,-2.8655003073941763,1.9481087567048797e-15
7,40267721,0.3333333333333333,4.505552535311872,1.7213231330095045,1.2378051270564736,0.022283293257800294,0.7602060815603922,-1.2552041194543493,0.02091558583093708
7,40267722,0.3333333333333333,2.804627337483475,3.46969045714858,1.6534617213224714,0.9394205876324466,1.512601660979914,-1.8056488455932722,0.2343814100562376
7,40267723,0.3333333333333333,5.5333628189365625,5.195436992977096,0.056976430018267195,3.7436401901060405e-08,1.0155033034095047,-1.0536737754994798,0.0007036851622902925
8,40268721,0.3333333333333333,1.246757525266284,2.4893913837390036,0.06182880630682479,0.0007114205144270761,0.5186546937574008,-5.386269312296015,3.387208585038664e-05
8,40268722,0.3333333333333333,5.146253260401002,2.6584732945337977,0.11378420945906599,0.003166819825377859,0.5182868243665506,-1.3232951759874338,0.0004933586670572123
8,40268723,0.3333333333333333,4.155717998890448,0.9267571530576044,1.134461376931562,1.326695889261001,1.6147498681441215,-1.5466686242152032,0.30336183700778313
3,40263721,0.4,0.31601799335585024,0.5622549309621563,0.09696598715467553,3.075533184154941e-11,0.5767780403709689,-4.475104557671899,9.118030985433515e-12
3,40263722,0.4,0.2916512883105212,0.6464583014691603,0.07779504452754349,5.371356521824044e-07,0.6083843773563573,-4.848987880579458,1.2589809939093635e-07
3,40263723,0.4,1.0347659804629221,1.3545058450926981,0.09196086957794745,1.2811766462543042e-10,0.5749051273486211,-1.3666989339371403,2.714447729387462e-11
4,40264721,0.4,2.6374911179772904,0.4261161250304574,1.3199721297397526,1.510789934671552e-08,1.1336860883401305,-1.0723930425651365,6.98130458184402e-09
4,40264722,0.4,1.2153323581847602,0.29046782222783096,0.018097374322569356,8.785434084714628e-11,0.15853408241938943,-2.3272869398217733,5.514435296006864e-12
4,40264723,0.4,2.5351813937407495,1.2373553433172069,1.3173510814391607,8.047210181770627e-14,1.0291008332950655,-1.1156705124648871,5.320881091755463e-14
5,40265721,0.4,0.8323536327411651,1.7966294512252383,1.0952547239594235,0.02864913113706832,0.9460751628310435,-3.7738571372122305,0.43459503379984266
5,40265722,0.4,1.783216835265552,1.124979573465559,0.8375461259633857,5.091025705199826e-13,0.04828634199697884,-2.0982627085935643,2.5199233776643525e-14
5,40265723,0.4,1.47099649790392,1.291726091905592,1.0123953497273228,5.354740424337782e-15,0.2140461513155156,-2.5436208666068025,7.785147029143572e-16
6,40266721,0.4,0.7590901730087972,1.5801900479474564,0.08193618303392494,9.693354358855386e-09,0.538824351281987,-5.891441363424839,4.590608055535954e-07
6,40266722,0.4,1.8253543726850805,1.8253537846950127,5.771272801879943e-08,2.9790409838967277e-15,0.2533035296156893,-2.683851179187744,4.234627059526428e-16
6,40266723,0.4,2.55073322570325,3.8421938756794227,0.6513820245306987,0.967704870280769,0.8940873576441793,-1.58611807479096,0.3892183811117892
7,40267721,0.4,1.5458795173361473,2.6970018231221964,1.057459456745448,0.23326997257647794,1.0625465186365746,-3.246605274456664,0.5983757471624405
7,40267722,0.4,0.09891221182984225,5.5028604912029895,0.30254278434712206,9.22486906399864e-06,0.8525529687563046,-58.04031265924721,2.2405382096886513e-05
7,40267723,0.4,4.755212483270034,5.074037067029519,0.20340539858696766,2.7487460291998556e-08,0.6871044667220488,-1.2262232056632523,7.965949372855976e-09
8,40268721,0.4,2.4321746111720928,2.432184051424509,6.755423750234063e-07,5.189509034447764e-06,0.2417214682834957,-2.68576421434468,2.632263173743071e-07
8,40268722,0.4,6.594346031624634,3.052752644855262,0.9804751404699235,5.377266362193877e-09,1.0573071942288041,-1.005899531037586,1.835784544646735e-09
8,40268723,0.4,3.2940959431265626,1.7509416175262238,0.06187024057633998,0.00034985707209469704,0.06168372099621384,-2.103153210184429,0.00787446667288605
3,40263721,0.45,1.2040262576511946,0.7465452355936183,0.7858172941464479,2.0724163126336253e-15,0.9015129476546143,-1.174570366207737,1.7653441193829504e-16
3,40263722,0.45,0.5383652620890342,0.47898996995873,0.1343427949624156,2.677194069229142e-13,0.2643671442879139,-2.6268662968436747,2.574677259340148e-13
3,40263723,0.45,0.3302183363498256,0.7506356067765476,0.16213221127802163,0.1290618907719193,0.559461736943455,-4.283583450262131,0.027906224623634103
4,40264721,0.45,2.3442411314370415,2.260131580118302,0.43305871127149237,0.5872179603704004,1.223475770237545,-1.2272725704738685,0.12366223944918803
4,40264722,0.45,0.10902675170307921,1.7341789518406487,1.3090513160968946,4.651712747158315e-12,0.8867362210095497,-25.94250567464894,9.367836955835628e-13
4,40264723,0.45,0.9191759680319627,2.7542330117005114,0.4532834616312998,1.210447580680417,1.051552366835799,-3.105322577160717,0.169720817421292
5,40265721,0.45,1.2812065306811031,3.2081901856189416,1.1001830353890665,0.5268029618293649,0.7534775012246694,-2.6253955707029757,0.35509229585985685
5,40265722,0.45,1.5846336060064503,3.1412929210353537,0.38161691723064023,1.8570536315213067e-09,0.15487268820415595,-2.3612129470119054,4.2383004674000763e-10
5,40265723,0.45,0.3785876580246509,2.109920863843933,1.3067973053622057,0.13695144237135565,1.400464967051298,-7.471240634937743,0.6110209231372693
6,40266721,0.45,3.9300784935464694,2.7184759043592384,0.5770335090005643,5.693980747652053e-05,0.6896656983684015,-1.2465346970744335,0.00033875490938243115
6,40266722,0.45,2.125759787114636,2.130397818489687,0.0005354558695790402,4.7226663961049304e-09,0.1342875716095502,-2.3045781161454295,9.612062370079025e-10
6,40266723,0.45,2.121185076579553,2.1137527151140456,0.01248979028555198,0.126566876167137,0.25135103585677265,-2.2980959732595627,0.010946316352109612
7,40267721,0.45,2.33208577432858,4.441653598687086,1.16665376930542,1.1726910511797375,1.3449981206835853,-2.3361555900615554,0.17672249236651638
7,40267722,0.45,0.8402553094257602,0.6452651084925719,0.6702589898144679,0.2045458954940816,0.6280354716793844,-6.940731106712833,0.0065997095751339045
7,40267723,0.45,4.490475270455051,5.172646607978715,0.3844312341850911,0.059055189291492206,0.6624081395933872,-1.2787844834088846,0.005181646624874066
8,40268721,0.45,3.4585182001836765,6.208670810957368,1.1972036666284989,0.003576369117326423,0.08401506128437553,-1.8698765118364207,0.00037740745165725436
8,40268722,0.45,1.302039630357079,3.617707370853515,0.15243473385099057,0.002176005136595682,0.5070623504384044,-5.157218665469043,0.0002465822497254431
8,40268723,0.45,2.962098728219022,2.962098728219025,1.0150610510858574e-15,1.4716738015810808e-14,0.11877918421104264,-2.301226765763147,8.394563134768549e-16
3,40263721,0.5,0.7071067811865469,0.707106781186548,8.95090418262362e-16,2.7461783790435325e-15,1.8452761694870047e-15,-2.0000000000000004,9.470699956064428e-16
3,40263722,0.5,0.7071067811865477,0.7071067811865475,1.2401028427486198e-15,2.3506219555720093e-15,5.2286672055664135e-15,-1.9999999999999991,1.185044822610201e-15
3,40263723,0.5,0.7071067811865472,0.7071067811865483,2.482534153247273e-16,2.695048265639628e-15,2.494915946531976e-15,-2.0000000000000013,5.853643240361435e-16
4,40264721,0.5,1.4142135623730943,1.4142135623730936,6.753223014464258e-16,4.976227170553342e-15,5.339478859056612e-15,-2.0000000000000004,8.09920822709413e-16
4,40264722,0.5,1.4142135623730945,1.4142135623730943,9.226380847435024e-16,6.713583353973809e-15,5.34062281989631e-15,-2.0,9.068473334874784e-16
4,40264723,0.5,1.414213562373095,1.4142135623730954,2.485635383879593e-15,9.588014854465291e-15,7.739427135542804e-15,-2.0000000000000004,1.3718668819004295e-15
5,40265721,0.5,1.8708286933869716,1.8708286933869696,7.575797802392804e-16,6.742262948251188e-15,6.6260878168197364e-15,-1.9999999999999996,1.0495049949460292e-15
5,40265722,0.5,1.8708286933869718,1.8708286933869713,9.115971866258121e-16,7.17877453496705e-15,5.359054704955199e-15,-2.0,1.5315109799163706e-15
5,40265723,0.5,1.8889806023965046,1.8889806023964988,1.364335476065276e-15,1.588729617814065,1.5887296178140653,-2.0025697841619383,0.17910625523289694
6,40266721,0.5,2.449489742783186,2.4494897427831734,2.4781859104316644e-15,3.1342915404171347e-15,5.574657440832794e-15,-1.9999999999999953,7.749225488137123e-16
6,40266722,0.5,2.3591798321761583,2.359179832176164,1.7503626354362158e-15,1.1140591418275834,1.1140591418275831,-2.0015967603907105,0.21004178588238678
6,40266723,0.5,2.3591798321761583,2.359179832176158,2.1285106532917645e-15,1.1140591418275791,1.1140591418275791,-2.0015967603907088,0.2100417858823866
7,40267721,0.5,2.900499065505571,2.900499065505569,2.151717957249708e-15,1.2578390807388248e-14,9.927808964417134e-15,-2.000000000000001,1.0184695326719597e-15
7,40267722,0.5,2.9694478774751167,2.9694478774751105,3.830897906395467e-15,6.611189343068438e-15,9.063119868794511e-15,-1.9999999999999942,9.543471503483217e-16
7,40267723,0.5,2.8704526658440472,2.8704526658440486,2.7487830685268716e-15,3.4539131082201986e-13,3.5024489339201934e-13,-1.9999999999999976,1.8674159419936597e-14
8,40268721,0.5,3.405451255778288,3.405451255778281,2.217842437587711e-15,9.001882447359654e-15,9.247564679774633e-15,-1.9999999999999998,1.1935240849411117e-15
8,40268722,0.5,3.4519481065738096,3.451948106573841,1.9899025015462835e-15,1.674376809874531e-14,1.6470636591659702e-14,-2.000000000000002,1.087334490406203e-15
8,40268723,0.5,3.4079017465573447,3.4079017465573465,1.9766958974948127e-15,1.1733749608047493e-14,1.4144781620324828e-14,-1.999999999999996,9.917749228301285e-16
3,40263721,0.55,0.6851014675294655,0.4987182989573848,1.1864448331678312,1.316096152466126,0.24723125468583615,-2.0656727743188443,0.041503186211802386
3,40263722,0.55,1.3714080242079592,0.4525228026169991,1.331954172140244,0.030228502410596415,1.2428669893025737,-1.0312236681990214,0.0023011995209008874
3,40263723,0.55,1.3309166221691133,0.48030610995345485,0.36054901823010327,0.17103864507282873,1.1459360539097696,-1.0632040127659013,0.018526141884603605
4,40264721,0.55,1.7327699480649468,1.6382512462740457,0.7886767982843035,1.2362643051881348,1.1648236119944506,-1.667909796778396,0.19485267548623583
4,40264722,0.55,1.585184519622068,0.7167223256288471,1.0989754071890148,1.0889984694832195,0.607133849892861,-1.7925440949481235,0.09826352616571818
4,40264723,0.55,0.6880230896182238,2.7322839851731135,0.483286057499641,1.1361569657846486,1.3066710272906321,-4.166898412523739,0.2154829394018027
5,40265721,0.55,2.2086268612052202,2.0430193703483774,1.10551132658413,1.234942627506143,1.381014703095881,-1.6834774533885801,0.1841175810568367
5,40265722,0.55,2.728423559480006,1.0829601467270502,1.2705011277628875,1.1864710970968455,1.314487007863229,-1.1913160492993422,0.2629096350353372
5,40265723,0.55,2.518912464139974,1.9677214184694876,0.5663983522914594,1.3905542424719737,1.1635187553741635,-1.48242322384001,0.2537745162329483
6,40266721,0.55,3.0604899455837926,2.510108902566511,0.9585800620359104,1.1969275556904806,1.269861904311031,-1.4450139280308794,0.37223651008769476
6,40266722,0.55,2.9614826600307302,3.5573714170021398,1.2113447057109334,1.112382677662406,1.370293841479103,-1.5591628389163896,0.25036995763146525
6,40266723,0.55,2.7686134526918766,3.2568283264567843,1.4693179659140196,1.22605216100179,1.230053470469089,-1.465873231165661,0.5681927827379827
7,40267721,0.55,2.427953589076968,4.309388838945119,1.0769021461736903,1.2240146102780993,1.2988903440416582,-2.2281346142602505,0.43619471245610136
7,40267722,0.55,3.0688367853280054,1.5311665333201274,1.5475481501116473,1.131911247653425,1.4768971201915293,-1.8621429269762424,0.1903559082028781
7,40267723,0.55,3.057464839831999,3.368751984667741,1.4371247818974358,1.1129664648697761,1.1193935354321594,-1.8058877720607382,0.2908251511222265
8,40268721,0.55,4.486845883357709,3.1305124973385228,1.7386591504657876,1.189405418681556,1.1550895635310627,-1.2523901547222658,0.47691561684783684
8,40268722,0.55,3.713142356127976,4.842339177262501,1.5721484906983239,1.3652788683049464,1.1746370361228622,-1.6394956134183778,0.3982129400901421
8,40268723,0.55,3.693939374639331,3.9447238344004867,1.3539789938170945,1.1630629110448067,1.3340200804326834,-1.7456962825172408,0.33854628472565085
3,40263721,0.6,1.0634558791346358,0.9651485497493388,1.093410252581296,1.0026393539938117,1.0830789899514321,-1.346718673652922,0.12364582874902348
3,40263722,0.6,1.1282292986728488,0.9469211854565117,1.1491486900169563,1.0235568261250625,1.1459078551060728,-1.2708298739972155,0.1188668943303916
3,40263723,0.6,1.4024011157360978,0.7388126761466616,0.8349513860583262,0.5460470276186912,1.2500267327750996,-1.010999194667402,0.03300186512102715
4,40264721,0.6,2.7678993859715035,0.9537572683168676,1.0473641964198332,0.1433465559717707,1.2638886467383788,-1.0221173210586658,0.010785778003310553
4,40264722,0.6,2.990096752983652,2.7492776813654185,1.1757944484598006,1.0687301154828541,0.3639748753789807,-1.0018634528636547,0.029185488195952736
4,40264723,0.6,2.687043557214356,0.9218183257174223,1.1212446661065942,0.10845829152580438,1.1819697259573796,-1.052757269896889,0.008679817403275104
5,40265721,0.6,3.605121106103752,2.4248642102067985,1.569614414192014,1.4190466421020043,1.2810173009193113,-1.0500709775050774,0.1637555464166885
5,40265722,0.6,2.0768003092938674,3.156448023702405,1.5427054413871693,1.1664202302162887,1.0956955387658354,-1.7943170350454467,0.2704399886070616
5,40265723,0.6,3.007285533840025,2.552932442885479,1.0292875845774698,1.1079255121661282,1.3933286981771293,-1.221909087855337,0.24440604091450183
6,40266721,0.6,2.624822035758358,3.7709148097606597,1.3293320098728987,1.1188330978432448,1.0978364275865995,-1.7154874497266994,0.31413516032671185
6,40266722,0.6,3.5646140110128934,3.5170887539628257,1.7385952748957698,1.1084362977047593,1.0362742985774662,-1.2744963351658607,0.3721956657876835
6,40266723,0.6,3.37691101696931,3.623400402070688,1.2752082698608458,1.2911782414969932,1.2459051655905105,-1.4076275332498196,0.20046539388079768
7,40267721,0.6,4.224498777214019,4.872816587275774,1.193083916979233,1.381696597017168,1.3234058716925992,-1.3120798410255445,0.28379157990479564
7,40267722,0.6,3.6084592131644717,3.646791598906011,1.4011598895187118,1.3346161532010408,1.2030391383392591,-1.5482266144723504,0.25042535415612754
7,40267723,0.6,3.2601332424562934,3.6451512881729142,1.3196681036885118,1.2715712967391497,1.1911970812941195,-1.6947139089365644,0.2492688974839882
8,40268721,0.6,4.859519282724058,5.139461032724117,1.7752460666197494,1.1307127822148582,1.1590941520785436,-1.31830035660194,0.2912829947250103
8,40268722,0.6,5.222464885920817,4.076406356859267,1.3614334589960229,1.0821330674912046,1.1092166146799318,-1.2189083605257816,0.29532040789717595
8,40268723,0.6,5.776130859442016,5.012860394660841,1.349281852658311,1.2979314228424563,1.3055921543295341,-1.1272864443229917,0.25479588286237703
3,40263721,0.6666666666666666,1.224771407371268,1.1695259514215213,1.3009876013290538,0.9417991037602068,1.3058090728173795,-1.182718453349566,0.13278568299600452
3,40263722,0.6666666666666666,1.4382833432408202,1.4863502467883056,9.186914262393779e-16,1.0599805973680136,1.0571140889974473,-1.007372652173148,0.07905834948464176
3,40263723,0.6666666666666666,1.486350246788305,1.4382833432408206,1.0209516530471863e-15,1.0599805973680136,0.45717420417278837,-1.0065872210301243,0.04482672628726677
4,40264721,0.6666666666666666,2.8500865830966413,1.835260974722914,0.9724630775704034,1.0144393341965716,1.1471527775722588,-1.0130739125789792,0.07865746997344952
4,40264722,0.6666666666666666,1.8364667875809946,2.937947015074735,1.2821635707119143,1.213810544686869,1.100194573436657,-1.5743271553957097,0.18721318562974087
4,40264723,0.6666666666666666,1.961939114675787,2.87860029934719,1.2747732838145103,1.1657196775717642,1.0839202455461625,-1.4783172735049168,0.18701509463921473
5,40265721,0.6666666666666666,3.9270290062796054,3.5039116256528353,1.0731633946246955,1.3639646157647103,1.0452215857340588,-1.010763119660381,0.06995538608709946
5,40265722,0.6666666666666666,3.739163173342997,3.3870332034470376,1.1191110264791786,1.3910967777286265,1.222757819027674,-1.0299624510964973,0.13618632880209441
5,40265723,0.6666666666666666,3.389167999734328,2.7297269559839785,1.1670222887396553,1.4110083220473353,1.3026760766854097,-1.1152594287985476,0.1661069950861921
6,40266721,0.6666666666666666,4.640233800211906,3.287192117063809,1.37938324905775,0.987831015740097,1.5647982976564734,-1.040306133916503,0.0963618710747947
6,40266722,0.6666666666666666,3.9197236477159043,3.3901030328876383,1.1876522958307782,1.0660319075227258,1.2666179711758692,-1.1592791111673353,0.25309712961275355
6,40266723,0.6666666666666666,4.247570786815461,3.8758675461915484,1.2005917021051804,1.2512085601411194,1.1850181125245083,-1.153607695973998,0.1521990708757063
7,40267721,0.6666666666666666,5.441354376249876,4.968406940831074,1.4215987929756158,1.1902833446804852,1.2963986560755303,-1.060975149229331,0.16150092939014715
7,40267722,0.6666666666666666,5.031214938735169,4.822920990850659,1.3141798950203776,1.495731322552668,1.4327709007493064,-1.1598460324150714,0.17943855719463975
7,40267723,0.6666666666666666,4.50479211254822,4.452616261384344,1.14056932709616,1.0866587537812646,1.110422913788794,-1.2500660419020824,0.2444549897303907
8,40268721,0.6666666666666666,6.339132745988905,5.27162426396518,1.3248020087860073,1.286306727588021,1.2974580939331335,-1.059469352091089,0.15925275095977398
8,40268722,0.6666666666666666,5.505039784598814,5.950945407109584,1.3231241916303595,1.1800974506166764,1.1779085904390554,-1.1839155223986508,0.24795359582632884
8,40268723,0.6666666666666666,6.461069015901498,4.754055956872639,1.3297997630766503,1.3602175104776666,1.2343592247508424,-1.025332866728856,0.13110753912936432
3,40263721,0.75,1.4843241823045574,1.4644415235494876,1.1842378929335004e-15,1.0464701814444608,0.48456457227786315,-1.0076309567930486,0.04779791412025603
3,40263722,0.75,1.4644415235494879,1.4843241823045574,1.051464659586439e-15,1.0464701814444612,0.9263371904810093,-1.0082238813835587,0.07463042668189239
3,40263723,0.75,1.4843241823045574,1.4644415235494879,1.2147508994727529e-15,1.0464701814444612,0.48456457227786265,-1.0076309567930486,0.04779791412025648
4,40264721,0.75,2.9408408349391206,2.674308438119614,0.5143838200192508,1.0940805041972488,0.8992076870892171,-1.0089128297438401,0.06880645798754073
4,40264722,0.75,2.9408535610650905,2.7193164427433287,0.5994349898125361,1.1650354393987512,0.8906058246491845,-1.0080481222089792,0.0693229732325584
4,40264723,0.75,2.9408400600616655,2.719264314548092,0.599393771003878,1.1650382122880418,0.8907009264402415,-1.0080492992729224,0.06932942178227501
5,40265721,0.75,3.660685728383368,3.7732164062811746,0.9698595887457306,1.1739875425745008,1.3294524102690108,-1.0692502287326329,0.14627116239375532
5,40265722,0.75,3.8843423668754276,3.6296092246808724,0.6919706572538461,1.2525707990245945,1.2460739130789524,-1.0219671247687996,0.08506033439416172
