N,M,seed,iterations,sigma,sigma2,chi,norm2,r2,Nr2,old_residual,old_mu,corrected_residual,corrected_mu,identity_error,y_norm
3,3,40263721,400,0.707106781186548,0.5000000000000007,0.2828427124746193,0.20000000000000046,0.06666666666666682,0.20000000000000048,0.5059644256269409,-0.2828427124746196,7.9906456664911725e-16,-1.414213562373095,1.1102230246251565e-16,1.0000000000000002
4,6,40264721,400,1.4142135623730951,2.0000000000000004,0.471404520791032,0.6666666666666681,0.11111111111111134,0.44444444444444536,0.7698003589194987,-1.8856180831641305,4.9387769295317865e-15,-2.82842712474619,8.881784197001252e-16,0.9999999999999998
5,10,40265721,400,1.8708286933869709,3.500000000000001,0.4595017843406596,0.859649122807018,0.0859649122807018,0.429824561403509,0.4868999851906601,-3.216512490384618,2.682213278636973e-15,-3.7416573867739413,1.1102230246251565e-16,1.0
6,15,40266721,400,2.4494897427831703,5.999999999999962,0.4898979485566348,1.1999999999999975,0.07999999999999984,0.479999999999999,1.0733126291998847,-5.878775382679615,1.3167575825743398e-14,-4.898979485566356,3.3306690738754696e-15,1.0
7,21,40267721,400,2.900499065505571,8.412894828998692,0.4773660512735989,1.3845997856231567,0.06593332312491222,0.46153326187438554,2.62526950222108,-8.032060768598352,9.280667162234433e-15,-5.800998131011137,1.3322676295501878e-15,1.0
8,28,40268721,400,3.4054512557782877,11.597098255481917,0.4823032204981793,1.6424601079114367,0.0586592895682656,0.4692743165461248,5.607873977761312,-11.186635674105473,1.740404836004751e-08,-6.810902511556566,4.440892098500626e-16,1.0
9,36,40269721,400,3.8504159872214228,14.825703274650323,0.4754229950032036,1.830576300653026,0.05084934168480628,0.4576440751632565,8.653884614268343,-14.096960507726122,1.3898622584853047e-10,-7.700831974442845,2.220446049250313e-16,1.0
10,45,40270721,400,4.463162887008625,19.919822955971167,0.4945909488254444,2.2074399670481046,0.04905422148995788,0.49054221489957883,16.0133697131434,-19.704328272457275,1.066553420453306e-14,-8.926325774017245,8.881784197001252e-16,0.9999999999999999
11,55,40271721,400,4.943685145138826,24.440022814266293,0.4929936540643177,2.4372054042454745,0.0443128255317359,0.48744108084909493,22.184298843625832,-24.09755230524084,2.0736352934324716e-14,-9.887370290277651,2.220446049250313e-15,0.9999999999999998
12,66,40272721,400,5.410077344363099,29.268936871990885,0.48933955393880046,2.6473648344650487,0.04011158840098559,0.48133906081182704,29.00214760729868,-28.644897026405857,3.422102767248295e-14,-10.8201546887262,4.440892098500626e-16,0.9999999999999998
13,78,40273721,400,5.934221732953661,35.21498757585955,0.4929455053687438,2.9252479311210227,0.03750317860411567,0.48754132185350374,39.08064935272832,-34.718139694272196,1.1246170064758014e-13,-11.868443465907317,2.6645352591003757e-15,0.9999999999999999
14,91,40274721,400,6.400739245963543,40.96946289481794,0.489878905652703,3.1355871371809263,0.03445700150748271,0.4823980211047579,48.410198608841824,-40.14015129618482,6.217861811630342e-14,-12.801478491927075,1.3322676295501878e-15,0.9999999999999998
15,105,40275721,400,6.878075639889462,47.307924508040834,0.4884000915234433,3.359252772027177,0.03199288354311597,0.4798932531467396,59.482985682273046,-46.21038931902247,1.8899590937860197e-14,-13.7561512797789,2.220446049250313e-15,1.0000000000000002
16,120,40276721,400,7.410923123265671,54.92178153895381,0.4921214170804441,3.6470739892957327,0.030392283244131107,0.4862765319060977,74.92740150457922,-54.056369919064984,2.8438908357784195e-14,-14.821846246531328,0.0,0.9999999999999999
