N,stable_from_iteration,final_norm2,final_sigma2,max_tail_norm2_dev,max_tail_sigma2_dev
3,112,0.20000000000000046,0.5000000000000007,3.722094854552438e-11,9.305262116399149e-11
4,145,0.6666666666666681,2.0000000000000004,2.976840995927432e-11,8.930522987782297e-11
5,59,0.859649122807018,3.500000000000001,8.148659524920276e-11,9.712808335393674e-11
6,39,1.1999999999999975,5.999999999999962,1.4583445562266206e-11,7.282796588015117e-11
7,101,1.3845997856231567,8.412894828998692,8.495759651339085e-11,9.041656312547275e-13
8,376,1.6424601079114367,11.597098255481917,9.454859117852266e-11,1.1901590823981678e-13
9,313,1.830576300653026,14.825703274650323,9.511880172397014e-11,9.592326932761353e-14
10,66,2.2074399670481046,19.919822955971167,7.792611000922989e-11,3.019806626980426e-13
11,65,2.4372054042454745,24.440022814266293,8.035305754106048e-11,3.339550858072471e-13
12,207,2.6473648344650487,29.268936871990885,9.474820927835026e-11,3.446132268436486e-13
13,75,2.9252479311210227,35.21498757585955,8.321343614170473e-11,3.11928260998684e-12
14,120,3.1355871371809263,40.96946289481794,9.528111633017033e-11,6.963318810448982e-13
15,133,3.359252772027177,47.307924508040834,8.836353870833591e-11,8.171241461241152e-13
16,88,3.6470739892957327,54.92178153895381,8.197664769227231e-11,6.323830348264892e-13
