N,delta,converged,corrected_residual,sigma_gen,sigma_self,sigma_ratio,yself_norm2,norm2
3,0,True,8.941717002856041e-16,0.7071067811865475,1.414213562373095,2.0,0.25000000000000006,0.19999999999999996
3,1,True,1.3782955010156601e-15,0.7071067811865478,1.4142135623730954,1.9999999999999998,0.24999999999999994,0.2
3,2,True,1.3315421995193923e-15,0.7071067811865462,1.414213562373095,2.0000000000000036,0.249999999999999,0.19999999999999915
3,3,True,1.932849167627952e-15,0.7071067811865472,1.4142135623730956,2.0000000000000018,0.2499999999999994,0.19999999999999968
3,4,True,1.2052486728699117e-15,0.7071067811865469,1.4142135623730951,2.0000000000000018,0.2499999999999995,0.19999999999999962
3,5,True,2.689571131447998e-15,0.7071067811865474,1.4142135623730951,2.0000000000000004,0.24999999999999975,0.19999999999999987
3,6,True,2.3428753618738397e-15,0.7071067811865466,1.414213562373095,2.0000000000000027,0.2499999999999996,0.19999999999999968
3,7,True,1.97966598564414e-15,0.7071067811865464,1.4142135623730947,2.0000000000000027,0.2499999999999996,0.19999999999999957
3,8,True,1.7868653126513266e-15,0.7071067811865472,1.4142135623730945,2.0,0.24999999999999994,0.1999999999999998
3,9,True,1.1611765325073168e-15,0.7071067811865486,1.4142135623730951,1.9999999999999971,0.25000000000000056,0.20000000000000048
3,10,True,1.937024732684029e-15,0.707106781186547,1.414213562373095,2.0000000000000013,0.2499999999999998,0.1999999999999998
3,11,True,1.9369335382677252e-15,0.7071067811865482,1.4142135623730947,1.9999999999999976,0.25000000000000044,0.2000000000000003
3,12,True,3.3662248654869816e-15,0.7071067811865482,1.4142135623730947,1.9999999999999976,0.25000000000000067,0.2000000000000005
3,13,True,5.802848429846896e-16,0.7071067811865476,1.414213562373095,1.9999999999999998,0.25000000000000006,0.2
3,14,True,2.4809820842282597e-15,0.7071067811865472,1.4142135623730945,2.0,0.25000000000000033,0.20000000000000018
3,15,True,1.0025200736486412e-15,0.7071067811865487,1.414213562373095,1.9999999999999964,0.2500000000000009,0.2000000000000007
3,16,True,1.6385195581609044e-15,0.7071067811865479,1.4142135623730951,1.9999999999999991,0.2500000000000001,0.20000000000000007
3,17,True,2.0812571644380344e-15,0.7071067811865475,1.414213562373095,2.0,0.24999999999999994,0.19999999999999996
3,18,True,2.094407108855426e-15,0.707106781186547,1.4142135623730951,2.0000000000000018,0.2499999999999995,0.19999999999999968
3,19,True,2.0072596488545435e-15,0.7071067811865472,1.4142135623730954,2.0000000000000013,0.24999999999999944,0.19999999999999968
4,0,True,2.1380802875471117e-15,1.414213562373096,2.8284271247461907,1.9999999999999991,0.25000000000000006,0.6666666666666672
4,1,True,2.8130518934954362e-15,1.4142135623730967,2.8284271247461903,1.9999999999999978,0.2500000000000006,0.6666666666666682
4,2,True,2.539293888821943e-15,1.4142135623730943,2.82842712474619,2.000000000000001,0.2500000000000001,0.6666666666666667
4,3,True,1.4065259467477193e-15,1.4142135623730951,2.82842712474619,1.9999999999999998,0.25000000000000017,0.666666666666667
4,4,True,4.152219269517747e-15,1.4142135623730963,2.82842712474619,1.9999999999999982,0.25000000000000056,0.6666666666666683
4,5,True,1.3933188378624375e-15,1.4142135623730956,2.8284271247461903,1.9999999999999993,0.2499999999999999,0.6666666666666665
4,6,True,2.0076319851042435e-15,1.4142135623730963,2.8284271247461903,1.9999999999999984,0.25,0.6666666666666667
4,7,True,1.779390015868532e-15,1.4142135623730958,2.8284271247461903,1.9999999999999991,0.2500000000000001,0.6666666666666671
4,8,True,1.5666541166215008e-15,1.414213562373094,2.8284271247461903,2.0000000000000018,0.24999999999999986,0.6666666666666663
4,9,True,1.7545388063843327e-15,1.414213562373095,2.82842712474619,2.0,0.24999999999999994,0.6666666666666665
4,10,True,2.3433334072293015e-15,1.4142135623730943,2.8284271247461903,2.0000000000000013,0.2499999999999999,0.6666666666666665
4,11,True,4.4374212952361384e-15,1.4142135623730931,2.8284271247461885,2.0000000000000018,0.24999999999999947,0.6666666666666645
4,12,True,2.7700008841945753e-15,1.414213562373096,2.8284271247461903,1.9999999999999987,0.2500000000000005,0.6666666666666681
4,13,True,3.824230854132489e-15,1.4142135623730945,2.8284271247461894,2.0000000000000004,0.2500000000000002,0.6666666666666671
4,14,True,1.7571712741908818e-15,1.4142135623730967,2.8284271247461907,1.9999999999999982,0.25000000000000067,0.6666666666666687
4,15,True,3.94558955372589e-15,1.414213562373097,2.8284271247461903,1.9999999999999976,0.25000000000000056,0.6666666666666685
4,16,True,1.454985290259132e-15,1.4142135623730945,2.828427124746189,2.0,0.25000000000000006,0.6666666666666663
4,17,True,9.566618574882214e-16,1.4142135623730954,2.8284271247461907,2.0,0.25,0.666666666666667
4,18,True,2.816336251757658e-15,1.4142135623730976,2.82842712474619,1.9999999999999962,0.25000000000000067,0.6666666666666683
4,19,True,8.172308623607092e-15,1.4142135623730947,2.8284271247461903,2.0000000000000004,0.2499999999999999,0.6666666666666663
5,0,True,2.3071872805464546e-15,1.8708286933869709,3.7416573867739396,1.999999999999999,0.25000000000000044,0.859649122807018
5,1,True,4.1133022326044965e-15,1.8708286933869707,3.741657386773941,1.9999999999999998,0.24999999999999986,0.8596491228070169
5,2,False,0.36231793764315334,1.8889806023965034,3.9100921934407595,2.069948303587724,0.22862876168781807,0.86432438230639
5,3,True,2.9483259397415126e-15,1.8708286933869722,3.741657386773941,1.999999999999998,0.2500000000000001,0.8596491228070177
