N,branch_id,count,norm2_mean,Nr2_mean,sigma2_mean,residual_max,seed_deltas
3,1,20,0.19999999999999993,0.19999999999999993,0.4999999999999999,3.3662248654869816e-15,2;7;4;3;6;18;19;8;10;5;0;17;1;13;16;14;11;9;12;15
4,1,20,0.666666666666667,0.4444444444444448,2.000000000000001,8.172308623607092e-15,11;8;16;19;5;9;10;2;6;3;17;7;13;0;12;1;4;18;15;14
5,1,5,0.8596491228070174,0.4298245614035087,3.5000000000000013,5.583151176331639e-15,8;1;3;0;10
5,2,2,0.9999999999999999,0.49999999999999994,4.000000000000004,3.839510146661637e-15,7;4
6,1,2,1.1671539892293135,0.46686159569172536,5.9029685520195905,1.1222601783687488e-14,10;7
6,2,5,1.175381607118082,0.4701526428472328,5.925115587085446,1.0681082584682482e-14,6;3;16;13;19
6,3,6,1.1808947625525728,0.47235790502102915,5.941390680334877,1.1432050634713767e-14,14;5;11;18;9;4
6,4,2,1.2000000000000015,0.4800000000000006,6.000000000000015,1.408241067171558e-14,0;17
7,1,1,1.3333333333333326,0.4444444444444442,7.9999999999999964,5.404004157357076e-15,16
7,2,3,1.3685849939281152,0.4561949979760384,8.239498506851193,1.0101133974048417e-14,2;15;10
7,3,1,1.3845997856231487,0.4615332618743829,8.412894828998606,2.1076335773991768e-14,0
7,4,2,1.3921852324440807,0.4640617441480269,8.438229423242497,1.4753559917207612e-14,6;18
7,5,1,1.4059157763729588,0.4686385921243196,8.489772215891024,8.138564542171933e-15,12
7,6,2,1.4652085633372913,0.4884028544457638,8.817620697041498,2.3147257319319386e-14,9;1
7,7,1,1.4653322524242662,0.48844408414142204,8.817934842361062,9.101567523846112e-15,7
7,8,1,1.465358409220351,0.4884528030734504,8.817988173851404,3.1611603038166024e-15,5
8,1,1,1.6363046800549506,0.46751562287284304,11.57149751351332,3.76590931890189e-14,14
8,2,1,1.6366608198796808,0.4676173771084802,11.572510193327597,9.665999653944871e-15,3
8,3,1,1.6424601079684678,0.46927431656241936,11.597098255481807,1.2494098391171979e-14,0
8,4,1,1.6446078447081653,0.4698879556309044,11.603810529371946,2.034762606355304e-14,17
8,5,1,1.6452505017293428,0.4700715719226694,11.607346127374981,4.777827226666869e-15,12
8,6,1,1.6468028841456026,0.47051510975588645,11.613794314188622,8.940353963922124e-15,2
8,7,1,1.6496791893743867,0.4713369112498248,11.626101143708462,3.3402999618057516e-14,6
8,8,1,1.6505986640726482,0.4715996183064709,11.630549451473168,9.776367186842085e-15,9
8,9,1,1.694112720740034,0.484032205925724,11.915157204401236,4.430574572675792e-15,8
8,10,1,1.6943906219974885,0.4841116062849967,11.91594330129982,4.03039695287618e-15,13
8,11,1,1.6943918562800648,0.48411195893716136,11.915945680931172,1.162244661975232e-14,16
8,12,1,1.694391886283705,0.48411196750963004,11.915945730478656,8.284651619792126e-15,1
8,13,1,1.6960532961402965,0.4845866560400847,11.924428900898025,1.2771461902363767e-14,18
8,14,2,1.6964725216727785,0.484706434763651,11.923967803299723,8.538348232836535e-15,15;11
8,15,1,1.6982721753943706,0.48522062154124873,11.932836263401065,2.530376738735233e-14,5
8,16,1,1.6982989457418523,0.4852282702119578,11.932898672766028,1.3802293825317332e-14,19
8,17,1,1.699715740081263,0.48563306859464656,11.938901340364128,5.7479626761639e-15,10
8,18,1,1.700499555431799,0.48585701583765684,11.94126041961478,2.2244905152622316e-14,7
9,1,1,1.8238950517859063,0.45597376294647657,14.797570085516796,2.205117533042598e-14,15
9,2,1,1.8305763006539566,0.45764407516348915,14.825703274650293,1.7046368498049722e-14,0
9,3,1,1.8634328369140087,0.4658582092285022,15.077869696598848,1.1874807733154883e-14,11
9,4,1,1.8662442656304479,0.466561066407612,15.090023316758742,8.333164844409121e-15,17
9,5,1,1.866406398352233,0.46660159958805825,15.090552603407067,1.9619727629264516e-14,14
9,6,1,1.8769402758982103,0.4692350689745526,15.13924416981922,6.8230333047530985e-15,13
