step,base_Hperp,treat_Hperp,base_Hperp_frac,treat_Hperp_frac,base_PR_M,treat_PR_M,base_amp_std,treat_amp_std
0,-2.220446049250313e-16,-2.220446049250313e-16,-2.2204460492503126e-16,-2.2204460492503126e-16,0.4857548435946897,0.4857548435946897,0.2079642945400184,0.2079642945400184
25,0.22142545458170604,-4.440892098500626e-16,0.22142545458170515,-4.44089209850066e-16,0.6030575535230589,0.48575484359469084,0.13706742629965812,0.20796429454031976
50,0.402463837679759,-1.1102230246251565e-16,0.4024638376797601,-1.110223024625169e-16,0.7314985351191661,0.48575484359469073,0.09669174783384941,0.20796429454099968
75,0.6782897231515996,-1.1102230246251565e-16,0.6782897231516037,-1.1102230246251915e-16,0.8048925477344261,0.4857548435946919,0.07901674216617952,0.2079642945418896
100,0.6625319766443155,-2.220446049250313e-16,0.6625319766443272,-2.220446049250374e-16,0.85190017955951,0.48575484359469473,0.06972735359694697,0.20796429454272897
125,0.8532485986781242,-1.1102230246251565e-16,0.853248598678134,-1.1102230246251918e-16,0.9122174092760191,0.4857548435946959,0.05044806770029581,0.20796429454320675
150,0.8605773679652922,-2.220446049250313e-16,0.8605773679653033,-2.220446049250393e-16,0.9423374050745439,0.48575484359469423,0.038395485000809124,0.20796429454313134
200,0.779853975859233,-2.220446049250313e-16,0.7798539758592181,-2.2204460492504156e-16,0.9802771601608524,0.48575484359469795,0.023189958842922624,0.20796429454181808
300,0.8257443832811726,-1.1102230246251565e-16,0.8257443832811706,-1.1102230246252118e-16,0.9920737281093895,0.4857548435946983,0.01432014749681867,0.2079642945410598
500,0.8349713260253734,0.0,0.8349713260253601,0.0,0.9993822420067632,0.48575484359471083,0.003926399861907632,0.20796429454152776
750,0.8259550304333327,0.0,0.8259550304333332,0.0,0.9999820721316958,0.48575484359472787,0.0006699794204268265,0.20796429454164758
1000,0.8260601791346679,0.0,0.8260601791346611,0.0,0.999999179446738,0.48575484359474225,0.00014323202620407618,0.20796429454222798
1500,0.8267343375891569,1.1102230246251565e-16,0.8267343375891837,1.1102230246252438e-16,0.999999996221135,0.48575484359477616,9.719673920306907e-06,0.20796429454355403
2000,0.8266930491913536,-1.1102230246251565e-16,0.8266930491914216,-1.1102230246252731e-16,0.9999999999929579,0.4857548435947859,4.196044792668975e-07,0.2079642945449582
3000,0.8266951469841097,-1.1102230246251565e-16,0.8266951469841018,-1.1102230246252487e-16,0.9999999999999998,0.48575484359481963,2.0472794331184913e-09,0.20796429454700807
4000,0.8266951427819565,-2.220446049250313e-16,0.8266951427820575,-2.220446049250498e-16,1.0000000000000004,0.4857548435948741,8.668559047132495e-12,0.20796429454787096
5000,0.826695142733776,-1.1102230246251565e-16,0.8266951427340082,-1.1102230246252497e-16,1.0,0.48575484359494725,2.404203917146009e-14,0.20796429454827342
7500,0.8266951427331944,0.0,0.8266951427340828,0.0,0.9999999999999998,0.4857548435951175,3.0751374117812816e-15,0.2079642945502901
10000,0.8266951427323272,-2.220446049250313e-16,0.8266951427340851,-2.2204460492509304e-16,0.9999999999999998,0.4857548435951159,4.3041372157795566e-15,0.20796429455340953
15000,0.8266951427308674,-2.220446049250313e-16,0.8266951427340811,-2.220446049251279e-16,0.9999999999999998,0.4857548435950891,9.230554736292468e-16,0.20796429455600254
20000,0.8266951427292615,-1.1102230246251565e-16,0.8266951427340731,-1.110223024626029e-16,1.0,0.48575484359499194,1.7575219719838566e-15,0.2079642945581114
25000,0.8266951427279801,0.0,0.8266951427340961,0.0,0.9999999999999998,0.4857548435949111,4.466837161107596e-15,0.2079642945597843
30000,0.826695142726513,-2.220446049250313e-16,0.8266951427341023,-2.220446049252453e-16,1.0,0.4857548435947649,7.839896311226233e-15,0.20796429456073287
35000,0.8266951427248881,0.0,0.8266951427341049,0.0,0.9999999999999998,0.48575484359476384,3.3531216710607344e-15,0.2079642945612628
40000,0.826695142724198,-2.220446049250313e-16,0.8266951427341837,-2.2204460492524203e-16,1.0,0.485754843594672,7.402490589423044e-15,0.20796429456172771
