R,R_input_text,condition_id,window,step_start,step_end,n,phi,phi_over_pi,s0,stability_gain,S_mean,S_amp,S_min,S_max,S_drift,Q_max_error,gray_error_no_phase,gray_depth_no_phase
0.697177869231003,0.697177869231003,phi0_s0.01_g0,all,0,4096,4097,0.0,0.0,0.01,0.0,-1.380388072726756e-06,0.019999999999689988,-0.019999999999379903,0.020000000000000073,4.939465034456536e-06,4.440892098500626e-16,6.319853417195725e-06,5.199292994635542
0.697177869231003,0.697177869231003,phi0_s0.01_g0,first16,0,15,16,0.0,0.0,0.01,0.0,-0.00017810135660664683,0.01994869426128809,-0.01989738852257611,0.020000000000000073,0.0057271349563794705,2.220446049250313e-16,0.0059565420516980265,2.2250057878591245
0.697177869231003,0.697177869231003,phi0_s0.01_g0,first64,0,63,64,0.0,0.0,0.01,0.0,-0.00012323577402165953,0.019999999999689988,-0.019999999999379903,0.020000000000000073,7.68527579486484e-05,4.440892098500626e-16,0.00020008853228032036,3.698777801469209
0.697177869231003,0.697177869231003,phi0_s0.01_g0,first256,0,255,256,0.0,0.0,0.01,0.0,8.391908437743538e-05,0.019999999999689988,-0.019999999999379903,0.020000000000000073,0.0002404543654251774,4.440892098500626e-16,0.0003243734501126252,3.4889546999030894
0.697177869231003,0.697177869231003,phi0_s0.01_g0,first_half,0,2047,2048,0.0,0.0,0.01,0.0,-3.850723404823764e-06,0.019999999999689988,-0.019999999999379903,0.020000000000000073,2.3999780656813375e-06,4.440892098500626e-16,6.250701780517534e-06,5.204071220688486
0.697177869231003,0.697177869231003,phi0_s0.01_g0,tail,2048,4096,2049,0.0,0.0,0.01,0.0,1.088741629632772e-06,0.01999999926260515,-0.019999999241235578,0.01999999928397472,1.819366114690068e-06,4.440892098500626e-16,2.9088451391728823e-06,5.536279399066764
0.697177869231003,0.697177869231003,phi0_s0.01_g0,block256_0000_0255,0,255,256,0.0,0.0,0.01,0.0,8.391908437743538e-05,0.019999999999689988,-0.019999999999379903,0.020000000000000073,0.0002404543654251774,4.440892098500626e-16,0.0003243734501126252,3.4889546999030894
0.697177869231003,0.697177869231003,phi0_s0.01_g0,block256_0256_0511,256,511,256,0.0,0.0,0.01,0.0,-9.504725876956802e-05,0.019999999981108296,-0.01999999998451485,0.019999999977701743,0.00022136461018643132,4.440892098500626e-16,0.0003164118878477035,3.499747208076787
0.697177869231003,0.697177869231003,phi0_s0.01_g0,block256_0512_0767,512,767,256,0.0,0.0,0.01,0.0,0.00010520074452147112,0.019999999943945492,-0.01999999994983059,0.019999999938060394,0.00020000480977562366,4.440892098500626e-16,0.00030520561035160304,3.515407487354287
0.697177869231003,0.697177869231003,phi0_s0.01_g0,block256_0768_1023,768,1023,256,0.0,0.0,0.01,0.0,-0.00011427541987999622,0.019999999886959743,-0.01999999989532147,0.019999999878598015,0.00017659400422704354,4.440892098500626e-16,0.0002908695371472975,3.5363017601609523
0.697177869231003,0.697177869231003,phi0_s0.01_g0,block256_1024_1279,1024,1279,256,0.0,0.0,0.01,0.0,0.00012217822605418575,0.01999999981015449,-0.01999999982099382,0.01999999979931516,0.00015137226617944476,4.440892098500626e-16,0.00027355068207914133,3.562962198002805
0.697177869231003,0.697177869231003,phi0_s0.01_g0,block256_1280_1535,1280,1535,256,0.0,0.0,0.01,0.0,-0.000128828121512639,0.019999999713531332,-0.019999999726847902,0.019999999700214762,0.00012459823898439408,4.440892098500626e-16,0.00025342664696570134,3.5961477224370664
0.697177869231003,0.697177869231003,phi0_s0.01_g0,block256_1536_1791,1536,1791,256,0.0,0.0,0.01,0.0,0.0001341569130465712,0.019999999597081958,-0.019999999612876792,0.01999999958128712,9.654648437561685e-05,4.440892098500626e-16,0.00023070380034023074,3.636945251368817
0.697177869231003,0.697177869231003,phi0_s0.01_g0,block256_1792_2047,1792,2047,256,0.0,0.0,0.01,0.0,-0.00013810995507605034,0.019999999460815487,-0.01999999947908787,0.0199999994425431,6.750466689936128e-05,4.440892098500626e-16,0.00020561516115992463,3.6869448655262955
0.697177869231003,0.697177869231003,phi0_s0.01_g0,block256_2048_2303,2048,2303,256,0.0,0.0,0.01,0.0,0.00014064671002845288,0.01999999926260515,-0.019999999241235578,0.01999999928397472,3.7770603977613866e-05,4.440892098500626e-16,0.0001784180514009168,3.7485612081033404
0.697177869231003,0.697177869231003,phi0_s0.01_g0,block256_2304_2559,2304,2559,256,0.0,0.0,0.01,0.0,-0.00014174116404212905,0.019999999081738634,-0.019999999057891404,0.019999999105585864,7.649211856590411e-06,4.440892098500626e-16,0.00014939129416008571,3.8256747104751025
