R,N_theory,inv_alpha,radius_mean,radius_std
0.686,127.45314834637487,127.45314834637487,1.0,8.798999020591314e-17
0.6861,127.53436749253552,127.53436749253552,1.0,8.317415680509753e-17
0.6862,127.6156642984349,127.6156642984349,1.0,8.755113465090671e-17
0.6863,127.69703886311297,127.69703886311297,1.0,8.639967861308818e-17
0.6864,127.7784912857677,127.7784912857677,1.0,7.796303550071736e-17
0.6865,127.86002166575523,127.86002166575523,1.0,8.22895478445806e-17
0.6866000000000001,127.94163010259035,127.94163010259035,1.0,8.733087987518192e-17
0.6867000000000001,128.02331669594645,128.02331669594645,1.0,7.343435057440258e-17
0.6868000000000001,128.10508154565628,128.10508154565628,1.0,8.111089131569692e-17
0.6869000000000001,128.18692475171198,128.18692475171198,1.0,8.76830219483444e-17
0.687,128.2688464142655,128.2688464142655,1.0,8.096829954182162e-17
0.6871,128.35084663362875,128.35084663362875,1.0,7.221785298249066e-17
0.6872,128.4329255102741,128.4329255102741,1.0,8.22895478445806e-17
0.6873,128.51508314483448,128.51508314483448,1.0,8.807749891993861e-17
0.6874,128.597319638104,128.597319638104,1.0,8.020352868953689e-17
0.6875,128.67963509103794,128.67963509103794,1.0,8.214900197283515e-17
0.6876,128.76202960475314,128.76202960475314,1.0,7.746739770194057e-17
0.6877000000000001,128.84450328052853,128.84450328052853,1.0,7.483718513064265e-17
0.6878000000000001,128.92705621980502,128.92705621980502,1.0,8.280284175086359e-17
0.6879000000000001,129.00968852418623,129.00968852418623,1.0,7.786416033664666e-17
0.6880000000000001,129.09240029543864,129.09240029543864,1.0,8.115836623419884e-17
0.6881,129.1751916354918,129.1751916354918,1.0,7.616364613445416e-17
0.6882,129.25806264643884,129.25806264643884,1.0,7.575797802392804e-17
0.6883,129.3410134305367,129.3410134305367,1.0,8.034747770519007e-17
0.6884,129.42404409020622,129.42404409020622,1.0,8.167876913468631e-17
0.6885,129.50715472803293,129.50715472803293,1.0,7.686841399027327e-17
0.6886,129.59034544676692,129.59034544676692,1.0,8.238311188599651e-17
0.6887000000000001,129.67361634932357,129.67361634932357,1.0,7.766603238109195e-17
0.6888000000000001,129.75696753878324,129.75696753878324,1.0,8.077778563184285e-17
0.6889000000000001,129.84039911839233,129.84039911839233,1.0,7.696856831808123e-17
0.6890000000000001,129.92391119156312,129.92391119156312,1.0,7.928578270080921e-17
0.6891,130.0075038618743,130.0075038618743,1.0,8.907767043920385e-17
0.6892,130.0911772330712,130.0911772330712,1.0,8.196123257993793e-17
0.6893,130.17493140906606,130.17493140906606,1.0,7.488863730937846e-17
0.6894,130.2587664939385,130.2587664939385,1.0,8.08254562088053e-17
0.6895,130.34268259193573,130.34268259193573,1.0,7.483718513064265e-17
0.6896,130.42667980747294,130.42667980747294,1.0,8.34515588764179e-17
0.6897,130.51075824513353,130.51075824513353,1.0,7.71185559270127e-17
0.6898000000000001,130.5949180096697,130.5949180096697,1.0,8.063460480619539e-17
0.6899000000000001,130.67915920600223,130.67915920600223,1.0,7.606243194205176e-17
0.6900000000000001,130.7634819392214,130.7634819392214,1.0,8.015548823677527e-17
0.6901,130.84788631458707,130.84788631458707,1.0,8.22895478445806e-17
0.6902,130.93237243752893,130.93237243752893,1.0,7.601177430610147e-17
0.6903,131.016940413647,131.016940413647,1.0,7.478569755307851e-17
0.6904,131.10159034871174,131.10159034871174,1.0,8.349770295452321e-17
0.6905,131.18632234866465,131.18632234866465,1.0,8.626582930171297e-17
0.6906,131.27113651961835,131.27113651961835,1.0,8.191422297894993e-17
0.6907,131.3560329678571,131.3560329678571,1.0,7.641609510686933e-17
0.6908,131.441011799837,131.441011799837,1.0,8.298870694937206e-17
0.6909000000000001,131.52607312218657,131.52607312218657,1.0,7.661745539035015e-17
0.6910000000000001,131.61121704170648,131.61121704170648,1.0,8.005932084973443e-17
0.6911,131.69644366537068,131.69644366537068,1.0,7.952832160537329e-17
0.6912,131.78175310032626,131.78175310032626,1.0,7.641609510686933e-17
0.6913,131.8671454538938,131.8671454538938,1.0,8.711006819470243e-17
0.6914,131.95262083356792,131.95262083356792,1.0,7.80124260888204e-17
0.6915,132.03817934701735,132.03817934701735,1.0,8.077778563184285e-17
0.6916,132.12382110208551,132.12382110208551,1.0,7.666771282795544e-17
0.6917,132.20954620679075,132.20954620679075,1.0,8.087309868639295e-17
0.6918,132.2953547693266,132.2953547693266,1.0,7.938288718631388e-17
0.6919,132.38124689806227,132.38124689806227,1.0,7.426885862005046e-17
0.6920000000000001,132.46722270154302,132.46722270154302,1.0,8.541324621707601e-17
0.6921,132.5532822884901,132.5532822884901,1.0,7.860269245766491e-17
0.6922,132.63942576780167,132.63942576780167,1.0,7.23776861244768e-17
0.6923,132.72565324855282,132.72565324855282,1.0,8.45520665245115e-17
0.6924,132.81196483999594,132.81196483999594,1.0,7.845554220233014e-17
0.6925,132.8983606515611,132.8983606515611,1.0,7.736788912175082e-17
0.6926,132.98484079285635,132.98484079285635,1.0,7.933434980043315e-17
0.6927,133.07140537366823,133.07140537366823,1.0,8.177303202714501e-17
0.6928,133.1580545039619,133.1580545039619,1.0,7.845554220233014e-17
0.6929,133.24478829388156,133.24478829388156,1.0,8.604228440844963e-17
0.6930000000000001,133.331606853751,133.331606853751,1.0,8.702158663992866e-17
0.6931,133.41851029407346,133.41851029407346,1.0,7.631521572941402e-17
0.6932,133.50549872553262,133.50549872553262,1.0,8.034747770519007e-17
0.6933,133.59257225899242,133.59257225899242,1.0,7.519661107204849e-17
0.6934,133.6797310054978,133.6797310054978,1.0,8.058682133248438e-17
0.6935,133.76697507627478,133.76697507627478,1.0,8.298870694937206e-17
0.6936,133.85430458273086,133.85430458273086,1.0,7.816041058999314e-17
0.6937,133.94171963645553,133.94171963645553,1.0,8.18201227491748e-17
0.6938,134.0292203492205,134.0292203492205,1.0,7.731808680624463e-17
0.6939,134.11680683298007,134.11680683298007,1.0,8.679998814771155e-17
0.694,134.2044791998715,134.2044791998715,1.0,8.058682133248438e-17
0.6941,134.2922375622155,134.2922375622155,1.0,7.771561172376095e-17
0.6942,134.38008203251607,134.38008203251607,1.0,7.83081154346659e-17
0.6943,134.46801272346167,134.46801272346167,1.0,7.855367300016406e-17
0.6944,134.556029747925,134.556029747925,1.0,8.029952337223719e-17
0.6945,134.64413321896356,134.64413321896356,1.0,7.855367300016406e-17
0.6946,134.7323232498199,134.7323232498199,1.0,8.242985408089819e-17
0.6947,134.82059995392214,134.82059995392214,1.0,7.380060895905333e-17
0.6948,134.90896344488425,134.90896344488425,1.0,7.751710408992441e-17
0.6949,134.99741383650635,134.99741383650635,1.0,7.58088052540832e-17
0.695,135.08595124277528,135.08595124277528,1.0,8.459761032879693e-17
0.6950999999999999,135.17457577786465,135.17457577786465,1.0,8.087309868639295e-17
0.6952,135.26328755613568,135.26328755613568,1.0,7.716848701410008e-17
0.6953,135.35208669213688,135.35208669213688,1.0,7.540122807906461e-17
0.6954,135.44097330060515,135.44097330060515,1.0,7.781467564125337e-17
0.6955,135.5299474964657,135.5299474964657,1.0,7.889616961715914e-17
0.6956,135.61900939483257,135.61900939483257,1.0,8.049116928532385e-17
0.6957,135.70815911100897,135.70815911100897,1.0,7.928578270080921e-17
0.6958,135.79739676048763,135.79739676048763,1.0,8.541324621707601e-17
0.6959,135.88672245895128,135.88672245895128,1.0,7.616364613445416e-17
0.696,135.97613632227285,135.97613632227285,1.0,7.380060895905333e-17
0.6960999999999999,136.06563846651605,136.06563846651605,1.0,7.855367300016406e-17
0.6961999999999999,136.15522900793553,136.15522900793553,1.0,7.845554220233014e-17
0.6963,136.2449080629776,136.2449080629776,1.0,8.45520665245115e-17
0.6964,136.33467574827992,136.33467574827992,1.0,8.134798884369879e-17
0.6965,136.42453218067274,136.42453218067274,1.0,7.806178542693739e-17
0.6966,136.5144774771788,136.5144774771788,1.0,7.96251303102405e-17
0.6967,136.6045117550137,136.6045117550137,1.0,9.910722837601153e-17
0.6968,136.6946351315864,136.6946351315864,1.0,7.488863730937846e-17
0.6969,136.78484772449966,136.78484772449966,1.0,7.646648488821523e-17
0.697,136.87514965155015,136.87514965155015,1.0,7.585959842913131e-17
0.6970999999999999,136.96554103072924,136.96554103072924,1.0,7.565622112370446e-17
0.6971999999999999,137.05602198022297,137.05602198022297,1.0,6.988675367311055e-17
0.6973,137.14659261841285,137.14659261841285,1.0,7.781467564125337e-17
0.6974,137.23725306387576,137.23725306387576,1.0,7.904249957834198e-17
0.6975,137.32800343538472,137.32800343538472,1.0,8.759511914735174e-17
0.6976,137.4188438519093,137.4188438519093,1.0,9.09180472805593e-17
0.6977,137.5097744326157,137.5097744326157,1.0,7.616364613445416e-17
0.6978,137.60079529686743,137.60079529686743,1.0,7.555432717696431e-17
0.6979,137.69190656422552,137.69190656422552,1.0,8.368202481890594e-17
0.698,137.78310835444904,137.78310835444904,1.0,7.59610828871216e-17
0.6980999999999999,137.87440078749535,137.87440078749535,1.0,8.563843312570935e-17
0.6981999999999999,137.96578398352065,137.96578398352065,1.0,8.200821523359856e-17
0.6982999999999999,138.0572580628803,138.0572580628803,1.0,8.053900950903363e-17
0.6984,138.1488231461293,138.1488231461293,1.0,8.18201227491748e-17
0.6985,138.2404793540223,138.2404793540223,1.0,8.010741897413915e-17
0.6986,138.33222680751464,138.33222680751464,1.0,8.581815721242673e-17
0.6987,138.42406562776227,138.42406562776227,1.0,8.005932084973443e-17
