protocol,kind,duration,initial_C_memory,final_C_memory,max_C_memory,max_delta_C_memory_abs,max_actual_Ra_abs,mean_active_actual_Ra_abs,post_settle_start_step,post_settle_mean_actual_Ra_abs,post_settle_max_actual_Ra_abs,max_balance_error_abs,slope_gain,positive_step_count_A,negative_step_count_A,positive_steps_A,negative_steps_A
ramp_duration_1,ramp,1,0.0,3.8e-06,3.8e-06,3.8e-06,2.3170731707317074e-09,2.3170731707317074e-09,8,5.448256919219461e-25,1.0339757656912846e-23,1.0339757656912846e-23,0.0006097560975609756,1,0,4,
ramp_duration_2,ramp,2,0.0,3.8e-06,3.8e-06,1.9e-06,1.1585365853658537e-09,1.1585365853658537e-09,9,4.952199719889837e-25,1.0339757656912846e-23,1.0339757656912846e-23,0.0006097560975609756,2,0,"4,5",
ramp_duration_4,ramp,4,0.0,3.8e-06,3.8e-06,9.500000000000002e-07,5.792682926829273e-10,5.792682926829269e-10,11,5.047812245006758e-25,1.0339757656912846e-23,1.0339757656912846e-23,0.0006097560975609759,4,0,"4,5,6,7",
ramp_duration_8,ramp,8,0.0,3.8e-06,3.8e-06,4.750000000000001e-07,2.8963414634146374e-10,2.896341463414634e-10,15,2.2456661161107587e-25,6.617444900424222e-24,6.617444900424222e-24,0.0006097560975609762,8,0,"4,5,6,7,8,9,10,11",
ramp_duration_16,ramp,16,0.0,3.8e-06,3.8e-06,2.3750000000000027e-07,1.448170731707329e-10,1.448170731707317e-10,23,2.757268708510092e-25,6.617444900424222e-24,6.617444900424222e-24,0.00060975609756098,16,0,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",
ramp_duration_32,ramp,32,0.0,3.8e-06,3.8e-06,1.1875000000000035e-07,7.240853658536852e-11,7.24085365853658e-11,39,4.1359030627651384e-25,6.617444900424222e-24,6.617444900424222e-24,0.0006097560975609963,32,0,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35",
restart_stable_final_C,stable_restart,0,3.8e-06,3.8e-06,3.8e-06,0.0,1.0339757656912846e-23,0.0,1,4.61917434455563e-25,1.0339757656912846e-23,1.0339757656912846e-23,,0,0,,
down_quench_from_final_C,down_quench,1,3.8e-06,0.0,3.8e-06,3.8e-06,2.3170731707317074e-09,2.317073170731707e-09,8,0.0,0.0,8.271806125530277e-25,0.0006097560975609756,0,1,,4
overshoot_relax_to_final_C,overshoot_relax,16,0.0,3.8e-06,5.32e-06,1.33e-06,8.109756097560975e-10,2.606707317073169e-10,23,1.378634354255046e-25,6.617444900424222e-24,6.617444900424222e-24,0.0006097560975609756,4,12,"4,5,6,7","8,9,10,11,12,13,14,15,16,17,18,19"
