A_A,A_B,E_max_abs_error,R_A_expected,R_B_expected,R_max_abs_error,R_max_gauge_std,R_ratio_B_over_A,R_total_error,R_total_final,R_total_initial,R_total_preserved,asymmetric_case,case,detects_asymmetry_boundary,global_R_contrast_ratio_time,individual_multigauge_valid,p_max_abs_error,phase_p_collision_error,phase_p_total_after,phase_p_total_initial,simple_q_flip_weighted_momentum_preserved,weighted_e_error,weighted_e_total_final,weighted_e_total_initial,weighted_energy_preserved,weighted_p_collision_error,weighted_p_final_error,weighted_p_total_after,weighted_p_total_final,weighted_p_total_initial,within_particle_separation_ratio_time
1.0,1.0,2.2315482794965646e-14,1.0,1.0,4.440892098500626e-16,2.220446049250313e-16,1.0,0.0,1.9999999999999998,1.9999999999999998,True,False,A_1.00_B_1.00,True,3.6838616474030686e-30,True,2.5202062658991053e-14,0.0,3.3306690738754696e-16,3.3306690738754696e-16,True,0.0,1.9999999999999958,1.9999999999999958,True,0.0,0.0,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,0.0
1.0,1.1,2.2315482794965646e-14,1.0,1.2100000000000002,4.440892098500626e-16,2.220446049250313e-16,1.2100000000000002,0.0,2.21,2.21,True,True,A_1.00_B_1.10,True,0.8237614391853282,True,2.5202062658991053e-14,1.887379141862766e-15,1.6653345369377348e-15,-2.220446049250313e-16,False,0.0,2.209999999999997,2.209999999999997,True,0.42000000000000137,0.42000000000000137,0.21000000000000152,0.21000000000000152,-0.20999999999999985,0.0
1.0,1.25,2.2315482794965646e-14,1.0,1.5625,6.661338147750939e-16,3.510833468576701e-16,1.5625,0.0,2.5625000000000004,2.5625000000000004,True,True,A_1.00_B_1.25,True,5.910278182930455,True,3.6193270602780103e-14,1.4432899320127035e-15,3.3306690738754696e-16,1.7763568394002505e-15,False,0.0,2.562499999999995,2.562499999999995,True,1.1249999999999964,1.1249999999999964,0.5624999999999998,0.5624999999999998,-0.5624999999999966,3.683878850562613e-30
1.0,1.5,2.6423307986078726e-14,1.0,2.25,8.881784197001252e-16,5.20740757162067e-16,2.25,0.0,3.2499999999999996,3.2499999999999996,True,True,A_1.00_B_1.50,True,29.186558928051575,True,2.6423307986078726e-14,8.326672684688674e-15,6.328271240363392e-15,-1.9984014443252818e-15,False,0.0,3.250000000000006,3.250000000000006,True,2.5000000000000124,2.5000000000000124,1.2500000000000109,1.2500000000000109,-1.2500000000000018,0.0
1.0,2.0,2.2315482794965646e-14,1.0,4.0,1.7763568394002505e-15,8.881784197001252e-16,4.0,0.0,4.999999999999999,4.999999999999999,True,True,A_1.00_B_2.00,True,168.11457942557712,True,2.5202062658991053e-14,0.0,3.3306690738754696e-16,3.3306690738754696e-16,False,0.0,4.999999999999989,4.999999999999989,True,5.999999999999986,5.999999999999986,2.999999999999994,2.999999999999994,-2.9999999999999925,0.0
1.0,3.0,2.6423307986078726e-14,1.0,9.0,3.552713678800501e-15,2.082963028648268e-15,9.0,0.0,9.999999999999998,9.999999999999998,True,True,A_1.00_B_3.00,True,1195.4814536929925,True,2.6423307986078726e-14,8.326672684688674e-15,6.328271240363392e-15,-1.9984014443252818e-15,False,0.0,10.000000000000032,10.000000000000032,True,16.000000000000036,16.000000000000036,8.000000000000036,8.000000000000036,-8.0,0.0
1.5,1.0,2.6423307986078726e-14,2.25,1.0,8.881784197001252e-16,5.20740757162067e-16,0.4444444444444444,0.0,3.2499999999999996,3.2499999999999996,True,True,A_1.50_B_1.00,True,29.186558928051575,True,2.6423307986078726e-14,8.326672684688674e-15,-1.9984014443252818e-15,6.328271240363392e-15,False,0.0,3.250000000000006,3.250000000000006,True,2.5000000000000124,2.5000000000000124,-1.2500000000000018,-1.2500000000000018,1.2500000000000109,0.0
2.0,1.0,2.2315482794965646e-14,4.0,1.0,1.7763568394002505e-15,8.881784197001252e-16,0.25,0.0,4.999999999999999,4.999999999999999,True,True,A_2.00_B_1.00,True,168.11457942557712,True,2.5202062658991053e-14,0.0,3.3306690738754696e-16,3.3306690738754696e-16,False,0.0,4.999999999999989,4.999999999999989,True,5.999999999999986,5.999999999999986,-2.9999999999999925,-2.9999999999999925,2.999999999999994,0.0
