t,H,Q2_re,Q2_im,generator_norm
0,np.float64(524.1228022345133),np.float64(-44.6620480596903),np.float64(-27.360037771242993),np.float64(20.567568296937353)
1,np.float64(524.1228022345143),np.float64(-44.66204805969036),np.float64(-27.360037771243107),np.float64(20.831619967731346)
2,np.float64(524.1228022345146),np.float64(-44.66204805969029),np.float64(-27.360037771243004),np.float64(20.633955469679798)
3,np.float64(524.122802234514),np.float64(-44.66204805969025),np.float64(-27.360037771243036),np.float64(21.10460885385415)
4,np.float64(524.1228022345135),np.float64(-44.66204805969037),np.float64(-27.360037771242755),np.float64(21.787310059957953)
5,np.float64(524.1228022345151),np.float64(-44.662048059690356),np.float64(-27.360037771242702),np.float64(22.0584895027351)
6,np.float64(524.1228022345139),np.float64(-44.662048059689916),np.float64(-27.36003777124264),np.float64(22.05818530549153)
7,np.float64(524.122802234514),np.float64(-44.66204805968994),np.float64(-27.36003777124252),np.float64(22.059283274088074)
8,np.float64(524.1228022345142),np.float64(-44.66204805968989),np.float64(-27.360037771242386),np.float64(22.194725650072073)
9,np.float64(524.122802234515),np.float64(-44.66204805968972),np.float64(-27.360037771242638),np.float64(22.38331493292293)
10,np.float64(524.1228022345172),np.float64(-44.6620480596901),np.float64(-27.36003777124271),np.float64(22.523949728879543)
11,np.float64(524.1228022345175),np.float64(-44.662048059690214),np.float64(-27.36003777124275),np.float64(22.605056320505952)
12,np.float64(524.1228022345176),np.float64(-44.66204805969021),np.float64(-27.36003777124285),np.float64(22.62861756660226)
13,np.float64(524.1228022345174),np.float64(-44.662048059690164),np.float64(-27.360037771243093),np.float64(22.625145659162)
14,np.float64(524.1228022345156),np.float64(-44.6620480596901),np.float64(-27.360037771242965),np.float64(22.619406215326244)
15,np.float64(524.1228022345168),np.float64(-44.662048059690264),np.float64(-27.360037771243),np.float64(22.634009971849263)
16,np.float64(524.1228022345169),np.float64(-44.66204805969034),np.float64(-27.36003777124309),np.float64(22.660570485588)
17,np.float64(524.1228022345165),np.float64(-44.66204805969049),np.float64(-27.360037771243004),np.float64(22.70725407219612)
18,np.float64(524.1228022345165),np.float64(-44.66204805969048),np.float64(-27.360037771243064),np.float64(22.752978435410732)
19,np.float64(524.122802234516),np.float64(-44.662048059690264),np.float64(-27.360037771242922),np.float64(22.78657365305951)
20,np.float64(524.122802234517),np.float64(-44.66204805969046),np.float64(-27.360037771242865),np.float64(22.79668731311332)
21,np.float64(524.1228022345183),np.float64(-44.66204805969051),np.float64(-27.360037771243114),np.float64(22.790264767880803)
22,np.float64(524.1228022345172),np.float64(-44.66204805969056),np.float64(-27.360037771242993),np.float64(22.780220844577592)
