A_A,A_B,E_tau_R_error,K_R_after,K_R_before,K_R_error,P_R_after,P_R_before,P_R_error,R_A,R_A_error,R_B,R_B_error,case,collision_index,p_A_after,p_A_before,p_B_after,p_B_before,q_A0,q_B0,relative_after,relative_before,relative_flip_error
1.0,1.0,0.0,1.9999999999999911,1.9999999999999911,0.0,3.3306690738754696e-16,3.3306690738754696e-16,0.0,0.9999999999999999,0.0,0.9999999999999999,0.0,c01_A1.00_B1.00_u1.00_v-1.00,1,-0.9999999999999977,0.999999999999998,0.999999999999998,-0.9999999999999977,1.0,-1.0,-1.9999999999999956,1.9999999999999956,0.0
1.0,1.0,0.0,1.9999999999999911,1.9999999999999911,0.0,3.3306690738754696e-16,3.3306690738754696e-16,0.0,0.9999999999999999,0.0,0.9999999999999999,0.0,c01_A1.00_B1.00_u1.00_v-1.00,2,-0.9999999999999977,0.999999999999998,0.999999999999998,-0.9999999999999977,1.0,-1.0,-1.9999999999999956,1.9999999999999956,0.0
1.0,1.0,0.0,2.000000000000001,2.000000000000001,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,1.0000000000000049,0.0,1.0000000000000049,0.0,c01_A1.00_B1.00_u1.00_v-1.00,3,-0.9999999999999976,0.999999999999998,0.999999999999998,-0.9999999999999976,1.0,-1.0,-1.9999999999999956,1.9999999999999956,0.0
1.0,1.0,0.0,2.000000000000001,2.000000000000001,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,1.0000000000000049,0.0,1.0000000000000049,0.0,c01_A1.00_B1.00_u1.00_v-1.00,4,-0.9999999999999976,0.999999999999998,0.999999999999998,-0.9999999999999976,1.0,-1.0,-1.9999999999999956,1.9999999999999956,0.0
1.0,1.0,0.0,2.000000000000001,2.000000000000001,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,1.0000000000000049,0.0,1.0000000000000049,0.0,c01_A1.00_B1.00_u1.00_v-1.00,5,-0.9999999999999976,0.999999999999998,0.999999999999998,-0.9999999999999976,1.0,-1.0,-1.9999999999999956,1.9999999999999956,0.0
1.0,1.0,0.0,1.999999999999963,1.999999999999963,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.9999999999999859,0.0,0.9999999999999859,0.0,c01_A1.00_B1.00_u1.00_v-1.00,6,-0.9999999999999976,0.999999999999998,0.999999999999998,-0.9999999999999976,1.0,-1.0,-1.9999999999999956,1.9999999999999956,0.0
1.0,2.0,0.0,3.3999999999999857,3.399999999999971,1.4654943925052066e-14,-1.000000000000011,-0.9999999999999925,1.865174681370263e-14,1.0,1.1102230246251565e-16,3.9999999999999996,0.0,c02_A1.00_B2.00_u1.40_v-0.60,1,-1.7999999999999976,1.399999999999995,0.19999999999999662,-0.599999999999997,1.4,-0.6,-1.9999999999999942,1.999999999999992,2.220446049250313e-15
1.0,2.0,0.0,3.3999999999999195,3.3999999999999995,7.993605777301127e-14,2.599999999999952,2.5999999999999877,3.552713678800501e-14,0.9999999999999999,0.0,3.9999999999999996,0.0,c02_A1.00_B2.00_u1.40_v-0.60,2,-0.76,1.8000000000000016,0.8399999999999881,0.19999999999999662,1.4,-0.6,-1.599999999999988,1.600000000000005,1.687538997430238e-14
1.0,2.0,0.0,3.3999999999999995,3.3999999999999346,6.483702463810914e-14,-2.599999999999988,-2.5999999999999623,2.5757174171303632e-14,1.0000000000000049,0.0,4.0000000000000195,0.0,c02_A1.00_B2.00_u1.40_v-0.60,3,-1.7999999999999976,0.7600000000000009,-0.19999999999999446,-0.8399999999999876,1.4,-0.6,-1.6000000000000032,1.5999999999999885,1.4654943925052066e-14
1.0,2.0,0.0,3.4000000000000012,3.4000000000000146,1.3322676295501878e-14,1.0000000000000038,1.0000000000000289,2.5091040356528538e-14,1.0000000000000049,0.0,4.0000000000000195,0.0,c02_A1.00_B2.00_u1.40_v-0.60,4,-1.3999999999999964,1.8000000000000018,0.5999999999999989,-0.19999999999999446,1.4,-0.6,-1.9999999999999951,1.9999999999999962,1.1102230246251565e-15
1.0,2.0,0.0,3.400000000000027,3.3999999999999986,2.842170943040401e-14,3.800000000000035,3.8000000000000096,2.531308496145357e-14,1.0000000000000049,0.0,4.0000000000000195,0.0,c02_A1.00_B2.00_u1.40_v-0.60,5,0.12000000000001229,1.3999999999999955,0.920000000000001,0.5999999999999989,1.4,-0.6,-0.7999999999999887,0.7999999999999966,7.882583474838611e-15
1.0,2.0,0.0,3.3999999999999835,3.4000000000000097,2.6201263381153694e-14,-3.5599999999999876,-3.5599999999999996,1.199040866595169e-14,1.0000000000000049,0.0,4.0000000000000195,0.0,c02_A1.00_B2.00_u1.40_v-0.60,6,-1.5439999999999987,0.12000000000001229,-0.5039999999999929,-0.9199999999999987,1.4,-0.6,-1.0400000000000058,1.040000000000011,5.10702591327572e-15
1.0,2.0,0.0,1.600000000000015,1.5999999999999794,3.552713678800501e-14,0.39999999999999947,0.40000000000001734,1.787459069646502e-14,0.9999999999999999,0.0,3.9999999999999996,0.0,c03_A1.00_B2.00_u1.20_v0.20,1,-1.0400000000000056,1.1999999999999953,0.36000000000000126,-0.19999999999999446,1.2,0.2,-1.4000000000000068,1.3999999999999897,1.709743457922741e-14
1.0,2.0,0.0,1.5999999999999892,1.6000000000000159,2.6645352591003757e-14,-0.40000000000000957,-0.4000000000000059,3.6637359812630166e-15,1.0000000000000049,0.0,4.000000000000019,8.881784197001252e-16,c03_A1.00_B2.00_u1.20_v0.20,2,-1.1999999999999944,1.0400000000000018,0.1999999999999967,-0.36000000000000154,1.2,0.2,-1.399999999999991,1.4000000000000035,1.2434497875801753e-14
1.0,2.0,0.0,1.5999999999999934,1.5999999999999912,2.220446049250313e-15,2.0000000000000164,1.9999999999999918,2.4646951146678475e-14,1.0000000000000049,0.0,4.0000000000000195,0.0,c03_A1.00_B2.00_u1.20_v0.20,3,-0.3999999999999886,1.1999999999999953,0.5999999999999989,0.1999999999999967,1.2,0.2,-0.9999999999999875,0.9999999999999986,1.1102230246251565e-14
1.0,2.0,0.0,1.5999999999999583,1.5999999999999568,1.5543122344752192e-15,-1.9999999999999454,-1.9999999999999676,2.220446049250313e-14,0.999999999999986,1.1102230246251565e-16,3.9999999999999436,0.0,c03_A1.00_B2.00_u1.20_v0.20,4,-1.1999999999999957,0.39999999999999214,-0.1999999999999945,-0.599999999999997,1.2,0.2,-1.0000000000000013,0.9999999999999891,1.2212453270876722e-14
1.0,2.0,0.0,1.5999999999999925,1.5999999999999575,3.5083047578154947e-14,0.3999999999999939,0.4000000000000118,1.787459069646502e-14,0.9999999999999859,0.0,3.9999999999999436,4.440892098500626e-16,c03_A1.00_B2.00_u1.20_v0.20,5,-1.0400000000000056,1.1999999999999953,0.36000000000000126,-0.1999999999999945,1.2,0.2,-1.4000000000000068,1.3999999999999897,1.709743457922741e-14
1.0,2.0,0.0,1.5999999999999752,1.5999999999999868,1.1546319456101628e-14,2.4799999999999534,2.479999999999973,1.9539925233402755e-14,0.9999999999999859,0.0,3.999999999999943,0.0,c03_A1.00_B2.00_u1.20_v0.20,6,-0.048000000000009056,1.0400000000000027,0.6319999999999995,0.36000000000000126,1.2,0.2,-0.6800000000000085,0.6800000000000015,6.994405055138486e-15
1.5,1.0,0.0,7.330000000000016,7.330000000000037,2.1316282072803006e-14,3.850000000000013,3.850000000000016,3.1086244689504383e-15,2.2499999999999996,0.0,0.9999999999999999,0.0,c04_A1.50_B1.00_u1.80_v-0.20,1,0.5692307692307753,1.8000000000000052,2.5692307692307694,-0.19999999999999446,1.8,-0.2,-1.9999999999999942,1.9999999999999996,5.329070518200751e-15
1.5,1.0,0.0,7.330000000000009,7.3300000000000365,2.7533531010703882e-14,-1.2884615384615576,-1.2884615384615288,2.886579864025407e-14,2.2499999999999996,0.0,0.9999999999999999,0.0,c04_A1.50_B1.00_u1.80_v-0.20,2,-1.3621301775147985,0.5692307692307753,1.7763313609467386,-2.5692307692307734,1.8,-0.2,-3.138461538461537,3.1384615384615486,1.1546319456101628e-14
1.5,1.0,0.0,7.329999999999927,7.330000000000022,9.50350909079134e-14,-4.841124260355005,-4.841124260355038,3.2862601528904634e-14,2.2499999999999996,0.0,0.9999999999999999,0.0,c04_A1.50_B1.00_u1.80_v-0.20,3,-1.61702321347291,-1.3621301775147985,-1.202822030040959,-1.7763313609467424,1.8,-0.2,-0.414201183431951,0.4142011834319439,7.105427357601002e-15
1.5,1.0,0.0,7.330000000000041,7.329999999999937,1.0391687510491465e-13,2.4354802002731075,2.4354802002730906,1.687538997430238e-14,2.2499999999999996,4.440892098500626e-16,0.9999999999999999,0.0,c04_A1.50_B1.00_u1.80_v-0.20,4,-0.11826616715100996,1.6170232134729112,2.70157907636288,-1.202822030040959,1.8,-0.2,-2.8198452435138903,2.8198452435138703,1.9984014443252818e-14
