波ID,関係ID,関係辺,DFTビン,倍音次数,倍音種別,倍音振幅,倍音強度,波内強度比,倍音位相度,数値誤差床より上,有限住所,有限回帰次数,倍音B/F,回転枝,住所電荷量
W0001,1,"(1,2)",0,0,直流,0.2136827355492414,0.045660311471807026,0.4566031147180738,-174.51390822839164,True,0/1,1,直流,直流,0.0
W0001,1,"(1,2)",1,1,基本波,0.03376466139984049,0.0011400523594458783,0.011400523594458872,-86.13521372669578,True,1/5,5,F型（奇数倍音）,正周回,0.3454915028125263
W0001,1,"(1,2)",2,2,第2倍音,0.1392418335388611,0.019388288207263904,0.19388288207264054,-69.9989252656026,True,2/5,5,B型（偶数倍音）,正周回,0.9045084971874736
W0001,1,"(1,2)",3,-2,逆回転第2倍音,0.1749912680451389,0.03062194389204565,0.3062194389204589,-96.2835065584866,True,-2/5,5,B型（偶数倍音）,負周回,0.9045084971874736
W0001,1,"(1,2)",4,-1,逆回転基本波,0.056474809158037605,0.0031894040694367683,0.03189404069436793,134.8449096616922,True,-1/5,5,F型（奇数倍音）,負周回,0.3454915028125263
W0002,2,"(1,3)",0,0,直流,0.07343915413756152,0.00539330936044052,0.05393309360440509,66.93408825301938,True,0/1,1,直流,直流,0.0
W0002,2,"(1,3)",1,1,基本波,0.12458131609156232,0.015520504319105769,0.15520504319105738,151.1486424019044,True,1/5,5,F型（奇数倍音）,正周回,0.3454915028125263
W0002,2,"(1,3)",2,2,第2倍音,0.10283381664568156,0.010574793845917654,0.10574793845917634,83.81768913730023,True,2/5,5,B型（偶数倍音）,正周回,0.9045084971874736
W0002,2,"(1,3)",3,-2,逆回転第2倍音,0.21105630335477463,0.044544763185782654,0.44544763185782565,-154.64468271818666,True,-2/5,5,B型（偶数倍音）,負周回,0.9045084971874736
W0002,2,"(1,3)",4,-1,逆回転基本波,0.15481159287583598,0.02396662928875359,0.2396662928875354,-45.324499334151476,True,-1/5,5,F型（奇数倍音）,負周回,0.3454915028125263
W0003,3,"(1,4)",0,0,直流,0.1309507151295881,0.017148089792950537,0.1714808979295053,33.45831110706808,True,0/1,1,直流,直流,0.0
