波ID,関係ID,関係辺,波振幅,親位相度,標本数N,波の構成,非直流成分数,非直流次数一覧,基本波成分数,倍音数,倍音次数一覧,基本波振幅,基本波位相度,最大強度倍音次数,最大強度倍音振幅,最大強度倍音位相度,実効非直流成分数,奇数倍音強度比,偶数倍音強度比,B/F読出し,粒子反粒子読出し,正負周回偏極,最大強度倍音住所,有限回帰次数,住所電荷量,符号付き住所電荷量,質量二乗型Gram量,質量型sqrtGram量,半周重なり実部,半周同符号残差,半周反符号残差,半周二次量残差,状態回帰次数,二次量回帰次数,半周期被覆比,スピン型読出し,相関寿命型量標本,零閉塞絶対残差,零閉塞相対残差,零閉塞成立
W0001,1,"(1,2)",0.3162277660168367,-125.8350592663195,5,基本波＋倍音,4,"[1, 2, -2, -1]",2,2,"[2, -2]",0.03376466139984049,-86.13521372669578,-2,0.1749912680451389,-96.2835065584866,2.228393084655306,0.0796739279548219,0.9203260720451781,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.24444393691879968,-2/5,5,0.9045084971874736,-0.9045084971874736,0.00013266088486435631,0.011517850705073248,,,,,5,5,,奇数・偶数倍音の混合スピン型,1,4.9065389333867974e-18,4.906538933386835e-17,True
W0002,2,"(1,3)",0.3162277660168383,144.16494073368025,5,基本波＋倍音,4,"[1, 2, -2, -1]",2,2,"[2, -2]",0.12458131609156232,151.1486424019044,-2,0.21105630335477463,-154.64468271818666,3.0743240753750385,0.41738204075122637,0.5826179592487736,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.4483413807498366,-2/5,5,0.9045084971874736,-0.9045084971874736,0.0003225454644986156,0.017959550787773497,,,,,5,5,,奇数・偶数倍音の混合スピン型,2,1.5515838457795457e-17,1.5515838457795425e-16,True
W0003,3,"(1,4)",0.316227766016838,-35.83505926631964,5,基本波＋倍音,4,"[1, 2, -2, -1]",2,2,"[2, -2]",0.23129038112667347,-119.14583473080674,1,0.23129038112667347,-119.14583473080674,2.036647177504736,0.7014834435203572,0.2985165564796429,奇数・偶数倍音混合（奇数優勢）,粒子側（正周回）,0.8198128766669042,1/5,5,0.3454915028125263,0.3454915028125263,8.113145405551971e-05,0.009007300042494405,,,,,5,5,,奇数・偶数倍音の混合スピン型,2,6.254634441385502e-18,6.254634441385498e-17,True
W0004,4,"(1,5)",0.31622776601683855,54.1649407336801,5,基本波＋倍音,4,"[1, 2, -2, -1]",2,2,"[2, -2]",0.07920881805698156,-94.76709125733417,-2,0.20340441783964155,107.45824626269223,2.2724489902479608,0.20327129337843694,0.796728706621563,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.4654505433450551,-2/5,5,0.9045084971874736,-0.9045084971874736,0.0006263963776690359,0.025027911971817304,,,,,5,5,,奇数・偶数倍音の混合スピン型,1,4.161754913826127e-17,4.1617549138261103e-16,True
W0005,5,"(2,3)",0.31622776601683866,-125.83505926631992,5,基本波＋倍音,4,"[1, 2, -2, -1]",2,2,"[2, -2]",0.09228097635480437,-173.633514621196,-1,0.19658871828335833,99.4483227480111,2.623019151809786,0.5687213176760024,0.43127868232399763,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.015469577937593808,-1/5,5,0.3454915028125263,-0.3454915028125263,0.0016614288844122593,0.04076062909735643,,,,,5,5,,奇数・偶数倍音の混合スピン型,1,2.6311958362316827e-17,2.6311958362316704e-16,True
W0006,6,"(2,4)",0.31622776601683794,-35.835059266319675,5,基本波＋倍音,4,"[1, 2, -2, -1]",2,2,"[2, -2]",0.12685015952812154,-2.8128058501210416,-2,0.18071170284434723,-138.96177861146464,2.8332239711749363,0.3584587850958238,0.6415412149041763,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.23536684851225012,-2/5,5,0.9045084971874736,-0.9045084971874736,0.0008686321618951688,0.02947256625906826,,,,,5,5,,奇数・偶数倍音の混合スピン型,1,3.4867510341210807e-17,3.486751034121081e-16,True
W0007,7,"(2,5)",0.31622776601683794,144.16494073368023,5,基本波＋倍音,4,"[1, 2, -2, -1]",2,2,"[2, -2]",0.07131104410268946,-139.85250608785728,-1,0.2070525717572047,147.08066278031836,2.492337219006329,0.5050961308790535,0.49490386912094664,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.018470990564515174,-1/5,5,0.3454915028125263,-0.3454915028125263,0.0016102504675742926,0.040127926280513086,,,,,5,5,,奇数・偶数倍音の混合スピン型,1,2.1839610522847046e-17,2.1839610522847053e-16,True
W0008,8,"(3,4)",0.31622776601683744,54.16494073368034,5,基本波＋倍音,4,"[1, 2, -2, -1]",2,2,"[2, -2]",0.14613260540379366,33.653925003605295,-2,0.20711944258227347,-106.47036437150177,2.4361929356587377,0.36345975682672244,0.6365402431732776,奇数・偶数倍音混合（偶数優勢）,反粒子側（負周回）,-0.29463844240834547,-2/5,5,0.9045084971874736,-0.9045084971874736,0.0006277534477698665,0.02505500843683487,,,,,5,5,,奇数・偶数倍音の混合スピン型,1,4.8696008501999263e-17,4.86960085019994e-16,True
W0009,9,"(3,5)",0.31622776601683816,144.16494073368014,5,基本波＋倍音,4,"[1, 2, -2, -1]",2,2,"[2, -2]",0.16654305054367294,112.2481084344592,1,0.16654305054367294,112.2481084344592,2.684961931062141,0.5492670806389928,0.45073291936100723,奇数・偶数倍音混合（奇数優勢）,粒子側（正周回）,0.008899881262929014,1/5,5,0.3454915028125263,0.3454915028125263,0.0005468596807022478,0.023385031124679902,,,,,5,5,,奇数・偶数倍音の混合スピン型,1,2.2551405187698492e-17,2.255140518769845e-16,True
W0010,10,"(4,5)",0.31622776601683744,-125.83505926631972,5,基本波＋倍音,4,"[1, 2, -2, -1]",2,2,"[2, -2]",0.0648284878069747,-142.03657429189954,-1,0.22047864324857522,84.56936849087943,2.371232406195591,0.5681617128195074,0.43183828718049255,奇数・偶数倍音混合（奇数優勢）,反粒子側（負周回）,-0.1522850691246675,-1/5,5,0.3454915028125263,-0.3454915028125263,0.002107383228223232,0.045906243891471146,,,,,5,5,,奇数・偶数倍音の混合スピン型,1,2.1103821920200808e-17,2.1103821920200864e-16,True
