step,label,merge_tolerance,cluster_count,cluster_dimensions,dominant_cluster_dimension,dominant_delta,dominant_occupation,q1,q2,q3,q4,max_intercluster_overlap,closure_error
0,initial,1.00000000000000004e-10,3,2|2|2,2,1.05367121277235087e-08,1.00000000000000044e+00,1.41421356237309515e+00,1.41421356237309492e+00,9.68796526812308848e-16,4.29108037971645976e-16,5.40151521771159511e-16,2.22044604928305475e-16
0,initial,9.99999999999999939e-12,3,2|2|2,2,1.05367121277235087e-08,1.00000000000000044e+00,1.41421356237309515e+00,1.41421356237309492e+00,9.68796526812308848e-16,4.29108037971645976e-16,5.40151521771159511e-16,2.22044604928305475e-16
0,initial,9.99999999999999980e-13,3,2|2|2,2,1.05367121277235087e-08,1.00000000000000044e+00,1.41421356237309515e+00,1.41421356237309492e+00,9.68796526812308848e-16,4.29108037971645976e-16,5.40151521771159511e-16,2.22044604928305475e-16
0,initial,1.00000000000000003e-13,3,2|2|2,2,1.05367121277235087e-08,1.00000000000000044e+00,1.41421356237309515e+00,1.41421356237309492e+00,9.68796526812308848e-16,4.29108037971645976e-16,5.40151521771159511e-16,2.22044604928305475e-16
0,initial,9.99999999999999999e-15,3,2|2|2,2,1.05367121277235087e-08,1.00000000000000044e+00,1.41421356237309515e+00,1.41421356237309492e+00,9.68796526812308848e-16,4.29108037971645976e-16,5.40151521771159511e-16,2.22044604928305475e-16
1167,nearest_before_crossing_step1167,1.00000000000000004e-10,5,2|2|2|2|2,2,2.51419901682574498e-01,9.89333565761163158e-01,1.41421161372939941e+00,1.39092013034344530e+00,2.55619230507748985e-01,2.34767819148531650e-03,1.23127857581666827e-15,7.77156117237609578e-16
1167,nearest_before_crossing_step1167,9.99999999999999939e-12,5,2|2|2|2|2,2,2.51419901682574498e-01,9.89333565761163158e-01,1.41421161372939941e+00,1.39092013034344530e+00,2.55619230507748985e-01,2.34767819148531650e-03,1.23127857581666827e-15,7.77156117237609578e-16
1167,nearest_before_crossing_step1167,9.99999999999999980e-13,5,2|2|2|2|2,2,2.51419901682574498e-01,9.89333565761163158e-01,1.41421161372939941e+00,1.39092013034344530e+00,2.55619230507748985e-01,2.34767819148531650e-03,1.23127857581666827e-15,7.77156117237609578e-16
1167,nearest_before_crossing_step1167,1.00000000000000003e-13,5,2|2|2|2|2,2,2.51419901682574498e-01,9.89333565761163158e-01,1.41421161372939941e+00,1.39092013034344530e+00,2.55619230507748985e-01,2.34767819148531650e-03,1.23127857581666827e-15,7.77156117237609578e-16
1167,nearest_before_crossing_step1167,9.99999999999999999e-15,5,2|2|2|2|2,2,2.51419901682574498e-01,9.89333565761163158e-01,1.41421161372939941e+00,1.39092013034344530e+00,2.55619230507748985e-01,2.34767819148531650e-03,1.23127857581666827e-15,7.77156117237609578e-16
