step,cluster_id,branch_id,sigma_min,sigma_max,sigma_representative,overlap_with_initial_floor_space,overlap_with_initial_nonfloor_space,initial_origin_status,floor_threshold_label
260,0,0,3.74165738677394089e+00,3.74165738677394089e+00,3.74165738677394089e+00,3.29672017247583249e-21,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
260,1,9,1.41421356237309626e+00,1.41421356237309626e+00,1.41421356237309626e+00,2.76770368833026568e-21,9.99999999999999445e-01,initial_nonfloor,rho<1e+03
260,2,10,1.41421356237309404e+00,1.41421356237309404e+00,1.41421356237309404e+00,1.84769905121231718e-21,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
265,0,0,3.74165738677394133e+00,3.74165738677394133e+00,3.74165738677394133e+00,4.22330593251703681e-21,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
265,1,9,1.41421356237309759e+00,1.41421356237309759e+00,1.41421356237309759e+00,3.54392518956648582e-21,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
265,2,10,1.41421356237309515e+00,1.41421356237309515e+00,1.41421356237309515e+00,2.36871960208278331e-21,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
270,0,0,3.74165738677393955e+00,3.74165738677393955e+00,3.74165738677393955e+00,5.40976499018217683e-21,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
270,1,9,1.41421356237309559e+00,1.41421356237309559e+00,1.41421356237309559e+00,4.34965253656067083e-21,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
270,2,10,1.41421356237309492e+00,1.41421356237309492e+00,1.41421356237309492e+00,3.22404453761047198e-21,9.99999999999999667e-01,initial_nonfloor,rho<1e+03
275,0,0,3.74165738677394311e+00,3.74165738677394311e+00,3.74165738677394311e+00,6.92890100580012056e-21,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
