step,cluster_id,branch_id,sigma_min,sigma_max,sigma_representative,overlap_with_initial_floor_space,overlap_with_initial_nonfloor_space,initial_origin_status,floor_threshold_label
0,0,0,3.74165738677394089e+00,3.74165738677394089e+00,3.74165738677394089e+00,6.57514388204713376e-32,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
0,1,1,1.41421356237309492e+00,1.41421356237309492e+00,1.41421356237309492e+00,2.78394373060881339e-31,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
0,2,2,1.41421356237309448e+00,1.41421356237309448e+00,1.41421356237309448e+00,2.05815078136554406e-31,9.99999999999999889e-01,initial_nonfloor,rho<1e+03
5,0,0,3.74165738677394000e+00,3.74165738677394000e+00,3.74165738677394000e+00,7.76124450083518562e-30,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
5,1,2,1.41421356237309581e+00,1.41421356237309581e+00,1.41421356237309581e+00,7.20526966416733269e-30,9.99999999999999778e-01,initial_nonfloor,rho<1e+03
5,2,1,1.41421356237309426e+00,1.41421356237309426e+00,1.41421356237309426e+00,4.27292460131311998e-30,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
10,0,0,3.74165738677394177e+00,3.74165738677394177e+00,3.74165738677394177e+00,4.83898743511013995e-30,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
10,1,2,1.41421356237309626e+00,1.41421356237309626e+00,1.41421356237309626e+00,4.53241457140540056e-30,9.99999999999999778e-01,initial_nonfloor,rho<1e+03
10,2,1,1.41421356237309515e+00,1.41421356237309515e+00,1.41421356237309515e+00,2.52312725854254482e-30,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
15,0,0,3.74165738677393911e+00,3.74165738677393911e+00,3.74165738677393911e+00,3.91586870666174235e-30,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
15,1,2,1.41421356237309559e+00,1.41421356237309559e+00,1.41421356237309559e+00,3.61463897152942315e-30,9.99999999999999667e-01,initial_nonfloor,rho<1e+03
15,2,1,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,2.38244234938251404e-30,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
20,0,0,3.74165738677394177e+00,3.74165738677394177e+00,3.74165738677394177e+00,9.19506500386660692e-29,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
20,1,1,1.41421356237309603e+00,1.41421356237309603e+00,1.41421356237309603e+00,6.23030084894282411e-29,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
20,2,2,1.41421356237309559e+00,1.41421356237309559e+00,1.41421356237309559e+00,7.11571225467100368e-29,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
25,0,0,3.74165738677394089e+00,3.74165738677394089e+00,3.74165738677394089e+00,4.36512839508808426e-28,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
25,1,1,1.41421356237309603e+00,1.41421356237309603e+00,1.41421356237309603e+00,2.75126570126158951e-28,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
25,2,2,1.41421356237309537e+00,1.41421356237309537e+00,1.41421356237309537e+00,3.54246502816458600e-28,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
30,0,0,3.74165738677394177e+00,3.74165738677394177e+00,3.74165738677394177e+00,1.28610555965454884e-27,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
30,1,3,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,7.32387751876562655e-28,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
30,2,4,1.41421356237309404e+00,1.41421356237309404e+00,1.41421356237309404e+00,1.06714109154291474e-27,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
35,0,0,3.74165738677394000e+00,3.74165738677394000e+00,3.74165738677394000e+00,2.99641473101486772e-27,1.00000000000000089e+00,initial_nonfloor,rho<1e+03
35,1,4,1.41421356237309448e+00,1.41421356237309448e+00,1.41421356237309448e+00,2.48204008752347936e-27,9.99999999999999667e-01,initial_nonfloor,rho<1e+03
35,2,3,1.41421356237309426e+00,1.41421356237309426e+00,1.41421356237309426e+00,1.72802035339910027e-27,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
40,0,0,3.74165738677394089e+00,3.74165738677394089e+00,3.74165738677394089e+00,6.09459074995060392e-27,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
40,1,3,1.41421356237309581e+00,1.41421356237309581e+00,1.41421356237309581e+00,3.42409205829796009e-27,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
40,2,4,1.41421356237309315e+00,1.41421356237309315e+00,1.41421356237309315e+00,5.14441374560809970e-27,9.99999999999999778e-01,initial_nonfloor,rho<1e+03
45,0,0,3.74165738677394177e+00,3.74165738677394177e+00,3.74165738677394177e+00,1.12022273733541743e-26,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
45,1,5,1.41421356237309581e+00,1.41421356237309581e+00,1.41421356237309581e+00,8.08705771875062289e-27,9.99999999999999556e-01,initial_nonfloor,rho<1e+03
45,2,6,1.41421356237309515e+00,1.41421356237309515e+00,1.41421356237309515e+00,7.62261720734636981e-27,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
50,0,0,3.74165738677393911e+00,3.74165738677393911e+00,3.74165738677393911e+00,1.92434090547687153e-26,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
50,1,7,1.41421356237309603e+00,1.41421356237309603e+00,1.41421356237309603e+00,1.62049423461847823e-26,9.99999999999999889e-01,initial_nonfloor,rho<1e+03
50,2,8,1.41421356237309448e+00,1.41421356237309448e+00,1.41421356237309448e+00,1.07615404869427186e-26,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
55,0,0,3.74165738677394177e+00,3.74165738677394177e+00,3.74165738677394177e+00,3.13406515138347802e-26,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
55,1,8,1.41421356237309492e+00,1.41421356237309492e+00,1.41421356237309492e+00,1.77085814784538398e-26,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
55,2,7,1.41421356237309359e+00,1.41421356237309359e+00,1.41421356237309359e+00,2.61620993807590551e-26,9.99999999999999667e-01,initial_nonfloor,rho<1e+03
60,0,0,3.74165738677393955e+00,3.74165738677393955e+00,3.74165738677393955e+00,4.90783608842306726e-26,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
60,1,8,1.41421356237309515e+00,1.41421356237309515e+00,1.41421356237309515e+00,2.74925557315659725e-26,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
60,2,7,1.41421356237309492e+00,1.41421356237309492e+00,1.41421356237309492e+00,4.13173955437729000e-26,9.99999999999999667e-01,initial_nonfloor,rho<1e+03
65,0,0,3.74165738677394133e+00,3.74165738677394133e+00,3.74165738677394133e+00,7.43909292297168239e-26,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
65,1,7,1.41421356237309603e+00,1.41421356237309603e+00,1.41421356237309603e+00,6.24809156726196150e-26,9.99999999999999778e-01,initial_nonfloor,rho<1e+03
65,2,8,1.41421356237309537e+00,1.41421356237309537e+00,1.41421356237309537e+00,4.17514562620691194e-26,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
70,0,0,3.74165738677394444e+00,3.74165738677394444e+00,3.74165738677394444e+00,1.09848160190001022e-25,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
70,1,7,1.41421356237309626e+00,1.41421356237309626e+00,1.41421356237309626e+00,9.05130559979947331e-26,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
70,2,8,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,6.33537144112918566e-26,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
75,0,0,3.74165738677394266e+00,3.74165738677394266e+00,3.74165738677394266e+00,1.58844483911299244e-25,1.00000000000000089e+00,initial_nonfloor,rho<1e+03
75,1,8,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,9.22479746915494565e-26,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
75,2,7,1.41421356237309315e+00,1.41421356237309315e+00,1.41421356237309315e+00,1.30197366384597509e-25,9.99999999999999889e-01,initial_nonfloor,rho<1e+03
80,0,0,3.74165738677394177e+00,3.74165738677394177e+00,3.74165738677394177e+00,2.25835835696262382e-25,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
80,1,7,1.41421356237309537e+00,1.41421356237309537e+00,1.41421356237309537e+00,1.87560734565533962e-25,9.99999999999999889e-01,initial_nonfloor,rho<1e+03
80,2,8,1.41421356237309492e+00,1.41421356237309492e+00,1.41421356237309492e+00,1.28658463895384629e-25,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
85,0,0,3.74165738677394000e+00,3.74165738677394000e+00,3.74165738677394000e+00,3.16264581199308408e-25,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
85,1,7,1.41421356237309537e+00,1.41421356237309537e+00,1.41421356237309537e+00,2.61139484089901785e-25,9.99999999999999778e-01,initial_nonfloor,rho<1e+03
85,2,8,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,1.81731439230049348e-25,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
90,0,0,3.74165738677394089e+00,3.74165738677394089e+00,3.74165738677394089e+00,4.37552043487238936e-25,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
90,1,8,1.41421356237309448e+00,1.41421356237309448e+00,1.41421356237309448e+00,2.45121740204301780e-25,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
90,2,7,1.41421356237309426e+00,1.41421356237309426e+00,1.41421356237309426e+00,3.67787474378722635e-25,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
95,0,0,3.74165738677394089e+00,3.74165738677394089e+00,3.74165738677394089e+00,5.99066712841894618e-25,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
95,1,8,1.41421356237309559e+00,1.41421356237309559e+00,1.41421356237309559e+00,3.36430993296489453e-25,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
95,2,7,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,5.02379747981517442e-25,9.99999999999999667e-01,initial_nonfloor,rho<1e+03
100,0,0,3.74165738677394222e+00,3.74165738677394222e+00,3.74165738677394222e+00,8.12866892615075447e-25,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
100,1,7,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,6.82383199358513416e-25,9.99999999999999445e-01,initial_nonfloor,rho<1e+03
100,2,8,1.41421356237309448e+00,1.41421356237309448e+00,1.41421356237309448e+00,4.55939889956289858e-25,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
105,0,0,3.74165738677393866e+00,3.74165738677393866e+00,3.74165738677393866e+00,1.09488376884438852e-24,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
105,1,7,1.41421356237309648e+00,1.41421356237309648e+00,1.41421356237309648e+00,8.78202484561776016e-25,9.99999999999999889e-01,initial_nonfloor,rho<1e+03
105,2,8,1.41421356237309515e+00,1.41421356237309515e+00,1.41421356237309515e+00,6.54983045844703760e-25,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
110,0,0,3.74165738677393955e+00,3.74165738677393955e+00,3.74165738677393955e+00,1.46540031194139109e-24,1.00000000000000089e+00,initial_nonfloor,rho<1e+03
110,1,8,1.41421356237309492e+00,1.41421356237309492e+00,1.41421356237309492e+00,8.20579839678921684e-25,9.99999999999999889e-01,initial_nonfloor,rho<1e+03
110,2,7,1.41421356237309381e+00,1.41421356237309381e+00,1.41421356237309381e+00,1.23145754817118007e-24,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
115,0,0,3.74165738677394089e+00,3.74165738677394089e+00,3.74165738677394089e+00,1.95004505540074586e-24,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
115,1,7,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,1.63586531125030209e-24,9.99999999999999778e-01,initial_nonfloor,rho<1e+03
115,2,8,1.41421356237309426e+00,1.41421356237309426e+00,1.41421356237309426e+00,1.09463105353207084e-24,9.99999999999999889e-01,initial_nonfloor,rho<1e+03
120,0,0,3.74165738677393911e+00,3.74165738677393911e+00,3.74165738677393911e+00,2.58227479989182076e-24,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
120,1,8,1.41421356237309537e+00,1.41421356237309537e+00,1.41421356237309537e+00,1.45355644211308092e-24,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
120,2,7,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,2.16206797755397737e-24,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
125,0,0,3.74165738677394177e+00,3.74165738677394177e+00,3.74165738677394177e+00,3.40499302929274831e-24,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
125,1,8,1.41421356237309559e+00,1.41421356237309559e+00,1.41421356237309559e+00,1.92887631139008167e-24,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
125,2,7,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,2.83904779552365178e-24,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
130,0,0,3.74165738677394133e+00,3.74165738677394133e+00,3.74165738677394133e+00,4.47364407055016070e-24,1.00000000000000089e+00,initial_nonfloor,rho<1e+03
130,1,7,1.41421356237309581e+00,1.41421356237309581e+00,1.41421356237309581e+00,3.74567982565459292e-24,9.99999999999999667e-01,initial_nonfloor,rho<1e+03
130,2,8,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,2.51679355929639256e-24,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
135,0,0,3.74165738677394000e+00,3.74165738677394000e+00,3.74165738677394000e+00,5.85902908878431348e-24,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
135,1,8,1.41421356237309537e+00,1.41421356237309537e+00,1.41421356237309537e+00,3.28981239193652958e-24,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
135,2,7,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,4.91307044735133498e-24,9.99999999999999889e-01,initial_nonfloor,rho<1e+03
140,0,0,3.74165738677393822e+00,3.74165738677393822e+00,3.74165738677393822e+00,7.65180650344608388e-24,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
140,1,7,1.41421356237309537e+00,1.41421356237309537e+00,1.41421356237309537e+00,6.37655575216431519e-24,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
140,2,8,1.41421356237309404e+00,1.41421356237309404e+00,1.41421356237309404e+00,4.33626747363530144e-24,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
145,0,0,3.74165738677394222e+00,3.74165738677394222e+00,3.74165738677394222e+00,9.96957569798870881e-24,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
145,1,7,1.41421356237309626e+00,1.41421356237309626e+00,1.41421356237309626e+00,8.37004508553859074e-24,9.99999999999999889e-01,initial_nonfloor,rho<1e+03
145,2,8,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,5.58776103089394865e-24,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
150,0,0,3.74165738677394133e+00,3.74165738677394133e+00,3.74165738677394133e+00,1.29602136595715255e-23,1.00000000000000089e+00,initial_nonfloor,rho<1e+03
150,1,7,1.41421356237309559e+00,1.41421356237309559e+00,1.41421356237309559e+00,1.04619167978770502e-23,9.99999999999999778e-01,initial_nonfloor,rho<1e+03
150,2,8,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,7.68293767745034040e-24,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
155,0,0,3.74165738677394000e+00,3.74165738677394000e+00,3.74165738677394000e+00,1.68183470067754770e-23,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
155,1,7,1.41421356237309581e+00,1.41421356237309581e+00,1.41421356237309581e+00,1.41004082163082665e-23,9.99999999999999667e-01,initial_nonfloor,rho<1e+03
155,2,8,1.41421356237309448e+00,1.41421356237309448e+00,1.41421356237309448e+00,9.44505118744533201e-24,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
160,0,0,3.74165738677393955e+00,3.74165738677393955e+00,3.74165738677393955e+00,2.17877808542218805e-23,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
160,1,7,1.41421356237309692e+00,1.41421356237309692e+00,1.41421356237309692e+00,1.78920778148699523e-23,9.99999999999999778e-01,initial_nonfloor,rho<1e+03
160,2,8,1.41421356237309448e+00,1.41421356237309448e+00,1.41421356237309448e+00,1.26134932682264026e-23,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
165,0,0,3.74165738677393911e+00,3.74165738677393911e+00,3.74165738677393911e+00,2.81856457925969066e-23,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
165,1,8,1.41421356237309404e+00,1.41421356237309404e+00,1.41421356237309404e+00,1.71068656190172589e-23,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
165,2,7,1.41421356237309293e+00,1.41421356237309293e+00,1.41421356237309293e+00,2.23518534818213718e-23,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
170,0,0,3.74165738677394089e+00,3.74165738677394089e+00,3.74165738677394089e+00,3.64169064228812731e-23,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
170,1,7,1.41421356237309515e+00,1.41421356237309515e+00,1.41421356237309515e+00,2.49250696245356795e-23,9.99999999999999667e-01,initial_nonfloor,rho<1e+03
170,2,8,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,2.60573193429312771e-23,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
175,0,0,3.74165738677394311e+00,3.74165738677394311e+00,3.74165738677394311e+00,4.70010750126286538e-23,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
175,1,9,1.41421356237309581e+00,1.41421356237309581e+00,1.41421356237309581e+00,3.94363157517524842e-23,9.99999999999999556e-01,initial_nonfloor,rho<1e+03
175,2,10,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,2.63654740246335065e-23,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
180,0,0,3.74165738677394044e+00,3.74165738677394044e+00,3.74165738677394044e+00,6.05990677759569111e-23,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
180,1,9,1.41421356237309714e+00,1.41421356237309714e+00,1.41421356237309714e+00,5.03506748770904539e-23,9.99999999999999556e-01,initial_nonfloor,rho<1e+03
180,2,10,1.41421356237309537e+00,1.41421356237309537e+00,1.41421356237309537e+00,3.44889509596061187e-23,9.99999999999999778e-01,initial_nonfloor,rho<1e+03
185,0,0,3.74165738677394266e+00,3.74165738677394266e+00,3.74165738677394266e+00,7.80631158690353117e-23,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
185,1,10,1.41421356237309515e+00,1.41421356237309515e+00,1.41421356237309515e+00,4.38071899194948992e-23,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
185,2,9,1.41421356237309315e+00,1.41421356237309315e+00,1.41421356237309315e+00,6.54861686558037523e-23,9.99999999999999667e-01,initial_nonfloor,rho<1e+03
190,0,0,3.74165738677394177e+00,3.74165738677394177e+00,3.74165738677394177e+00,1.00486433109081646e-22,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
190,1,9,1.41421356237309626e+00,1.41421356237309626e+00,1.41421356237309626e+00,8.31906984139419262e-23,9.99999999999999778e-01,initial_nonfloor,rho<1e+03
190,2,10,1.41421356237309515e+00,1.41421356237309515e+00,1.41421356237309515e+00,5.74916820648811248e-23,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
195,0,0,3.74165738677394044e+00,3.74165738677394044e+00,3.74165738677394044e+00,1.29261904555659720e-22,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
195,1,10,1.41421356237309492e+00,1.41421356237309492e+00,1.41421356237309492e+00,7.26065943466692205e-23,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
195,2,9,1.41421356237309448e+00,1.41421356237309448e+00,1.41421356237309448e+00,1.08355151497246629e-22,9.99999999999999334e-01,initial_nonfloor,rho<1e+03
200,0,0,3.74165738677393866e+00,3.74165738677393866e+00,3.74165738677393866e+00,1.66180328702481701e-22,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
200,1,10,1.41421356237309559e+00,1.41421356237309559e+00,1.41421356237309559e+00,9.30659752528954608e-23,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
200,2,9,1.41421356237309492e+00,1.41421356237309492e+00,1.41421356237309492e+00,1.39590957280712755e-22,9.99999999999999556e-01,initial_nonfloor,rho<1e+03
205,0,0,3.74165738677393955e+00,3.74165738677393955e+00,3.74165738677393955e+00,2.13532991468676478e-22,1.00000000000000089e+00,initial_nonfloor,rho<1e+03
205,1,10,1.41421356237309515e+00,1.41421356237309515e+00,1.41421356237309515e+00,1.20899424564451270e-22,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
205,2,9,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,1.78052736942143520e-22,9.99999999999999889e-01,initial_nonfloor,rho<1e+03
210,0,0,3.74165738677394044e+00,3.74165738677394044e+00,3.74165738677394044e+00,2.74251134334603321e-22,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
210,1,9,1.41421356237309626e+00,1.41421356237309626e+00,1.41421356237309626e+00,2.29399205351786582e-22,9.99999999999999889e-01,initial_nonfloor,rho<1e+03
210,2,10,1.41421356237309581e+00,1.41421356237309581e+00,1.41421356237309581e+00,1.54552924207668438e-22,1.00000000000000089e+00,initial_nonfloor,rho<1e+03
215,0,0,3.74165738677394222e+00,3.74165738677394222e+00,3.74165738677394222e+00,3.52092547018672601e-22,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
215,1,9,1.41421356237309581e+00,1.41421356237309581e+00,1.41421356237309581e+00,2.89567503433660563e-22,9.99999999999999556e-01,initial_nonfloor,rho<1e+03
215,2,10,1.41421356237309537e+00,1.41421356237309537e+00,1.41421356237309537e+00,2.03367486622463544e-22,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
220,0,0,3.74165738677393866e+00,3.74165738677393866e+00,3.74165738677393866e+00,4.51870769724931264e-22,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
220,1,10,1.41421356237309581e+00,1.41421356237309581e+00,1.41421356237309581e+00,2.71997357734432549e-22,9.99999999999999778e-01,initial_nonfloor,rho<1e+03
220,2,9,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,3.60625780451891627e-22,9.99999999999999667e-01,initial_nonfloor,rho<1e+03
225,0,0,3.74165738677394222e+00,3.74165738677394222e+00,3.74165738677394222e+00,5.79744595884830608e-22,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
225,1,9,1.41421356237309581e+00,1.41421356237309581e+00,1.41421356237309581e+00,4.75780420032502792e-22,9.99999999999999334e-01,initial_nonfloor,rho<1e+03
225,2,10,1.41421356237309492e+00,1.41421356237309492e+00,1.41421356237309492e+00,3.35863951199442033e-22,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
230,0,0,3.74165738677394355e+00,3.74165738677394355e+00,3.74165738677394355e+00,7.43589972004651883e-22,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
230,1,9,1.41421356237309581e+00,1.41421356237309581e+00,1.41421356237309581e+00,6.23264105684237684e-22,9.99999999999999889e-01,initial_nonfloor,rho<1e+03
230,2,10,1.41421356237309581e+00,1.41421356237309581e+00,1.41421356237309581e+00,4.17763200338079065e-22,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
235,0,0,3.74165738677394222e+00,3.74165738677394222e+00,3.74165738677394222e+00,9.53514653092514963e-22,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
235,1,9,1.41421356237309626e+00,1.41421356237309626e+00,1.41421356237309626e+00,7.95784474511033101e-22,9.99999999999999778e-01,initial_nonfloor,rho<1e+03
235,2,10,1.41421356237309470e+00,1.41421356237309470e+00,1.41421356237309470e+00,5.39148572469457151e-22,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
240,0,0,3.74165738677394177e+00,3.74165738677394177e+00,3.74165738677394177e+00,1.22243090852137359e-21,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
240,1,9,1.41421356237309537e+00,1.41421356237309537e+00,1.41421356237309537e+00,1.02663421250189100e-21,1.00000000000000000e+00,initial_nonfloor,rho<1e+03
240,2,10,1.41421356237309448e+00,1.41421356237309448e+00,1.41421356237309448e+00,6.84772322886100484e-22,9.99999999999999889e-01,initial_nonfloor,rho<1e+03
245,0,0,3.74165738677394177e+00,3.74165738677394177e+00,3.74165738677394177e+00,1.56689207132835988e-21,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
245,1,9,1.41421356237309581e+00,1.41421356237309581e+00,1.41421356237309581e+00,1.31081135016095348e-21,9.99999999999999778e-01,initial_nonfloor,rho<1e+03
245,2,10,1.41421356237309404e+00,1.41421356237309404e+00,1.41421356237309404e+00,8.82848241181321119e-22,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
250,0,0,3.74165738677394133e+00,3.74165738677394133e+00,3.74165738677394133e+00,2.00808749602804878e-21,1.00000000000000044e+00,initial_nonfloor,rho<1e+03
250,1,9,1.41421356237309581e+00,1.41421356237309581e+00,1.41421356237309581e+00,1.67927539472281020e-21,9.99999999999999778e-01,initial_nonfloor,rho<1e+03
250,2,10,1.41421356237309404e+00,1.41421356237309404e+00,1.41421356237309404e+00,1.13205558924424782e-21,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
255,0,0,3.74165738677393911e+00,3.74165738677393911e+00,3.74165738677393911e+00,2.57312125561155540e-21,1.00000000000000067e+00,initial_nonfloor,rho<1e+03
255,1,10,1.41421356237309537e+00,1.41421356237309537e+00,1.41421356237309537e+00,1.45252318690743644e-21,1.00000000000000022e+00,initial_nonfloor,rho<1e+03
255,2,9,1.41421356237309381e+00,1.41421356237309381e+00,1.41421356237309381e+00,2.14988111627377453e-21,9.99999999999999667e-01,initial_nonfloor,rho<1e+03
