t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(45.54749628098899),np.float64(14.173108780270908),np.float64(4.245869835682827),np.float64(10.578274407938473),np.float64(2.220446049250313e-16)
1,np.float64(45.54749628098898),np.float64(14.173108780270901),np.float64(4.245869835682803),np.float64(11.582016733148484),np.float64(4.440892098500626e-16)
2,np.float64(45.54749628098892),np.float64(14.173108780270892),np.float64(4.245869835682793),np.float64(12.216581839191887),np.float64(4.440892098500626e-16)
3,np.float64(45.54749628098899),np.float64(14.173108780270903),np.float64(4.245869835682814),np.float64(12.758009255351663),np.float64(4.440892098500626e-16)
4,np.float64(45.547496280988945),np.float64(14.173108780270836),np.float64(4.24586983568281),np.float64(14.508181419059559),np.float64(4.440892098500626e-16)
5,np.float64(45.54749628098896),np.float64(14.173108780270823),np.float64(4.245869835682854),np.float64(19.163097197206174),np.float64(8.881784197001252e-16)
6,np.float64(45.547496280988994),np.float64(14.173108780270823),np.float64(4.245869835682872),np.float64(19.667879594068424),np.float64(1.7763568394002505e-15)
7,np.float64(45.54749628098891),np.float64(14.173108780270796),np.float64(4.2458698356828215),np.float64(19.91097278928657),np.float64(4.440892098500626e-16)
8,np.float64(45.54749628098897),np.float64(14.173108780270807),np.float64(4.245869835682797),np.float64(20.062742148365842),np.float64(1.7763568394002505e-15)
9,np.float64(45.54749628098895),np.float64(14.173108780270846),np.float64(4.245869835682642),np.float64(20.131126401527407),np.float64(2.220446049250313e-16)
10,np.float64(45.54749628098891),np.float64(14.173108780270798),np.float64(4.245869835682667),np.float64(20.190125810564385),np.float64(1.7763568394002505e-15)
11,np.float64(45.5474962809888),np.float64(14.173108780270775),np.float64(4.2458698356826785),np.float64(20.24352624393418),np.float64(1.7763568394002505e-15)
12,np.float64(45.54749628098865),np.float64(14.173108780270796),np.float64(4.245869835682626),np.float64(20.290632093602124),np.float64(1.7763568394002505e-15)
13,np.float64(45.54749628098869),np.float64(14.173108780270784),np.float64(4.245869835682649),np.float64(20.316686782118914),np.float64(1.7763568394002505e-15)
14,np.float64(45.54749628098869),np.float64(14.173108780270816),np.float64(4.2458698356825675),np.float64(20.32347068179041),np.float64(2.220446049250313e-16)
15,np.float64(45.547496280988696),np.float64(14.173108780270868),np.float64(4.245869835682459),np.float64(20.324843879129325),np.float64(8.881784197001252e-16)
16,np.float64(45.5474962809887),np.float64(14.173108780270859),np.float64(4.245869835682454),np.float64(20.32577681180147),np.float64(1.7763568394002505e-15)
17,np.float64(45.54749628098864),np.float64(14.173108780270859),np.float64(4.245869835682434),np.float64(20.32667340578307),np.float64(1.7763568394002505e-15)
18,np.float64(45.54749628098872),np.float64(14.173108780270917),np.float64(4.24586983568245),np.float64(20.327400727604008),np.float64(8.881784197001252e-16)
19,np.float64(45.54749628098887),np.float64(14.173108780271),np.float64(4.245869835682481),np.float64(20.32775734829119),np.float64(8.881784197001252e-16)
20,np.float64(45.547496280988824),np.float64(14.173108780270915),np.float64(4.245869835682559),np.float64(20.32786457917215),np.float64(8.881784197001252e-16)
21,np.float64(45.54749628098885),np.float64(14.173108780270862),np.float64(4.24586983568253),np.float64(20.327918542498562),np.float64(8.881784197001252e-16)
22,np.float64(45.54749628098895),np.float64(14.173108780270901),np.float64(4.245869835682552),np.float64(20.327968639808265),np.float64(1.7763568394002505e-15)
23,np.float64(45.547496280988966),np.float64(14.173108780270924),np.float64(4.2458698356825435),np.float64(20.328015245633665),np.float64(1.7763568394002505e-15)
24,np.float64(45.54749628098896),np.float64(14.173108780270994),np.float64(4.245869835682582),np.float64(20.32804557575468),np.float64(8.881784197001252e-16)
25,np.float64(45.547496280988966),np.float64(14.173108780271006),np.float64(4.2458698356825035),np.float64(20.328056402255402),np.float64(8.881784197001252e-16)
26,np.float64(45.547496280988994),np.float64(14.173108780271065),np.float64(4.245869835682514),np.float64(20.32806001461984),np.float64(2.220446049250313e-16)
27,np.float64(45.547496280989115),np.float64(14.173108780271118),np.float64(4.245869835682534),np.float64(20.328062852690966),np.float64(8.881784197001252e-16)
28,np.float64(45.54749628098899),np.float64(14.173108780271098),np.float64(4.245869835682521),np.float64(20.32806564925611),np.float64(5.551115123125783e-17)
29,np.float64(45.54749628098898),np.float64(14.173108780271129),np.float64(4.245869835682513),np.float64(20.328067870601284),np.float64(5.551115123125783e-17)
30,np.float64(45.547496280988895),np.float64(14.173108780271093),np.float64(4.2458698356824645),np.float64(20.328068912152425),np.float64(1.7763568394002505e-15)
31,np.float64(45.54749628098887),np.float64(14.173108780271045),np.float64(4.245869835682477),np.float64(20.328069259255713),np.float64(8.881784197001252e-16)
32,np.float64(45.54749628098892),np.float64(14.173108780271043),np.float64(4.2458698356824645),np.float64(20.328069531469488),np.float64(8.881784197001252e-16)
33,np.float64(45.5474962809889),np.float64(14.173108780271049),np.float64(4.24586983568242),np.float64(20.328069830542216),np.float64(1.7763568394002505e-15)
34,np.float64(45.54749628098877),np.float64(14.173108780270983),np.float64(4.245869835682427),np.float64(20.328070084119588),np.float64(2.220446049250313e-16)
35,np.float64(45.547496280988746),np.float64(14.173108780270951),np.float64(4.245869835682413),np.float64(20.328070230828217),np.float64(1.7763568394002505e-15)
36,np.float64(45.54749628098873),np.float64(14.173108780270939),np.float64(4.245869835682434),np.float64(20.328070307673002),np.float64(1.7763568394002505e-15)
37,np.float64(45.54749628098878),np.float64(14.173108780270933),np.float64(4.245869835682438),np.float64(20.328070394793897),np.float64(8.881784197001252e-16)
38,np.float64(45.547496280988796),np.float64(14.173108780270937),np.float64(4.245869835682397),np.float64(20.32807050756654),np.float64(2.7755575615628914e-17)
39,np.float64(45.54749628098873),np.float64(14.173108780270926),np.float64(4.2458698356823845),np.float64(20.3280706083764),np.float64(8.881784197001252e-16)
40,np.float64(45.54749628098879),np.float64(14.173108780270926),np.float64(4.24586983568239),np.float64(20.32807066933354),np.float64(1.7763568394002505e-15)
41,np.float64(45.54749628098879),np.float64(14.17310878027094),np.float64(4.245869835682424),np.float64(20.32807070438187),np.float64(1.7763568394002505e-15)
42,np.float64(45.54749628098884),np.float64(14.173108780271),np.float64(4.2458698356823845),np.float64(20.32807074614524),np.float64(8.881784197001252e-16)
43,np.float64(45.547496280988796),np.float64(14.173108780270997),np.float64(4.245869835682399),np.float64(20.32807080486041),np.float64(1.7763568394002505e-15)
44,np.float64(45.54749628098887),np.float64(14.173108780271022),np.float64(4.245869835682392),np.float64(20.32807086207902),np.float64(1.7763568394002505e-15)
45,np.float64(45.547496280988966),np.float64(14.17310878027097),np.float64(4.245869835682451),np.float64(20.32807089902712),np.float64(8.881784197001252e-16)
46,np.float64(45.547496280988966),np.float64(14.17310878027093),np.float64(4.245869835682429),np.float64(20.328070919143236),np.float64(1.7763568394002505e-15)
47,np.float64(45.54749628098896),np.float64(14.17310878027092),np.float64(4.2458698356824565),np.float64(20.328070940128118),np.float64(1.7763568394002505e-15)
48,np.float64(45.547496280989),np.float64(14.17310878027102),np.float64(4.245869835682441),np.float64(20.328070970987756),np.float64(4.440892098500626e-16)
49,np.float64(45.54749628098892),np.float64(14.173108780270999),np.float64(4.245869835682406),np.float64(20.328071003790438),np.float64(8.881784197001252e-16)
50,np.float64(45.54749628098896),np.float64(14.173108780271031),np.float64(4.245869835682387),np.float64(20.32807102673206),np.float64(8.881784197001252e-16)
51,np.float64(45.54749628098892),np.float64(14.17310878027104),np.float64(4.245869835682364),np.float64(20.32807103898211),np.float64(8.881784197001252e-16)
52,np.float64(45.54749628098892),np.float64(14.173108780271049),np.float64(4.245869835682315),np.float64(20.328071049723306),np.float64(8.881784197001252e-16)
53,np.float64(45.54749628098885),np.float64(14.173108780271084),np.float64(4.245869835682269),np.float64(20.328071065728665),np.float64(2.220446049250313e-16)
54,np.float64(45.547496280988895),np.float64(14.173108780271061),np.float64(4.24586983568226),np.float64(20.328071084237276),np.float64(1.7763568394002505e-15)
55,np.float64(45.54749628098887),np.float64(14.173108780271043),np.float64(4.245869835682285),np.float64(20.32807109832285),np.float64(4.440892098500626e-16)
56,np.float64(45.54749628098879),np.float64(14.173108780271019),np.float64(4.245869835682268),np.float64(20.32807110598072),np.float64(4.440892098500626e-16)
57,np.float64(45.54749628098877),np.float64(14.173108780270987),np.float64(4.245869835682344),np.float64(20.32807111162801),np.float64(1.7763568394002505e-15)
58,np.float64(45.547496280988724),np.float64(14.173108780270969),np.float64(4.245869835682314),np.float64(20.32807111982358),np.float64(8.881784197001252e-16)
59,np.float64(45.54749628098871),np.float64(14.173108780270999),np.float64(4.245869835682331),np.float64(20.328071130085757),np.float64(8.881784197001252e-16)
60,np.float64(45.547496280988675),np.float64(14.173108780271004),np.float64(4.245869835682335),np.float64(20.328071138602613),np.float64(8.881784197001252e-16)
61,np.float64(45.54749628098865),np.float64(14.173108780270972),np.float64(4.245869835682389),np.float64(20.328071143446984),np.float64(8.881784197001252e-16)
62,np.float64(45.54749628098865),np.float64(14.173108780270939),np.float64(4.245869835682383),np.float64(20.328071146529194),np.float64(1.7763568394002505e-15)
63,np.float64(45.547496280988746),np.float64(14.17310878027097),np.float64(4.245869835682386),np.float64(20.328071150685815),np.float64(1.7763568394002505e-15)
64,np.float64(45.54749628098874),np.float64(14.173108780271008),np.float64(4.245869835682343),np.float64(20.328071156276263),np.float64(8.881784197001252e-16)
65,np.float64(45.547496280988824),np.float64(14.17310878027103),np.float64(4.245869835682294),np.float64(20.32807116134027),np.float64(1.7763568394002505e-15)
66,np.float64(45.54749628098889),np.float64(14.173108780271072),np.float64(4.245869835682261),np.float64(20.328071164408783),np.float64(1.7763568394002505e-15)
