t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(944.3855946509974),np.float64(-62.927237470149834),np.float64(43.900176213839714),np.float64(58.7814463412549),np.float64(4.440892098500626e-16)
1,np.float64(944.385594651001),np.float64(-62.92723747015044),np.float64(43.90017621383993),np.float64(60.232011578924514),np.float64(8.881784197001252e-16)
2,np.float64(944.3855946509997),np.float64(-62.92723747015023),np.float64(43.90017621384034),np.float64(101.10160932217812),np.float64(1.7763568394002505e-15)
3,np.float64(944.3855946509988),np.float64(-62.927237470150175),np.float64(43.90017621384034),np.float64(147.14601170496985),np.float64(3.552713678800501e-15)
4,np.float64(944.3855946509982),np.float64(-62.92723747014881),np.float64(43.90017621384163),np.float64(238.33496681857858),np.float64(7.105427357601002e-15)
5,np.float64(944.3855946509984),np.float64(-62.92723747014875),np.float64(43.900176213842556),np.float64(304.16668870575114),np.float64(1.4210854715202004e-14)
6,np.float64(944.3855946509996),np.float64(-62.927237470149045),np.float64(43.90017621384018),np.float64(356.8604602250206),np.float64(1.4210854715202004e-14)
7,np.float64(944.3855946510008),np.float64(-62.927237470149166),np.float64(43.90017621384045),np.float64(404.96461227773784),np.float64(7.105427357601002e-15)
8,np.float64(944.3855946510021),np.float64(-62.927237470149805),np.float64(43.90017621384077),np.float64(419.3774769048763),np.float64(7.105427357601002e-15)
9,np.float64(944.3855946510022),np.float64(-62.92723747014904),np.float64(43.900176213839856),np.float64(430.7989591105154),np.float64(2.842170943040401e-14)
10,np.float64(944.385594651003),np.float64(-62.92723747014951),np.float64(43.90017621383858),np.float64(437.18252805802877),np.float64(2.842170943040401e-14)
11,np.float64(944.3855946510054),np.float64(-62.92723747015103),np.float64(43.90017621383991),np.float64(439.16637520764846),np.float64(2.842170943040401e-14)
12,np.float64(944.3855946510064),np.float64(-62.92723747015347),np.float64(43.900176213838876),np.float64(439.7522846097038),np.float64(7.105427357601002e-15)
13,np.float64(944.3855946510055),np.float64(-62.92723747015282),np.float64(43.90017621383997),np.float64(440.32606670644657),np.float64(2.842170943040401e-14)
14,np.float64(944.3855946510034),np.float64(-62.927237470152036),np.float64(43.900176213840226),np.float64(440.75112595057976),np.float64(4.218847493575595e-15)
15,np.float64(944.3855946510006),np.float64(-62.92723747015169),np.float64(43.90017621383804),np.float64(441.19853126037805),np.float64(2.842170943040401e-14)
16,np.float64(944.3855946510064),np.float64(-62.92723747015135),np.float64(43.90017621383709),np.float64(441.69735437828524),np.float64(2.842170943040401e-14)
17,np.float64(944.3855946510067),np.float64(-62.92723747015026),np.float64(43.900176213837014),np.float64(442.22879730344266),np.float64(2.842170943040401e-14)
18,np.float64(944.3855946510079),np.float64(-62.92723747015008),np.float64(43.90017621383684),np.float64(442.7306024944839),np.float64(2.842170943040401e-14)
19,np.float64(944.3855946510068),np.float64(-62.927237470149564),np.float64(43.9001762138359),np.float64(443.3179842478355),np.float64(2.842170943040401e-14)
20,np.float64(944.3855946510055),np.float64(-62.92723747014922),np.float64(43.900176213836204),np.float64(444.0684223777536),np.float64(2.842170943040401e-14)
21,np.float64(944.3855946510064),np.float64(-62.927237470149635),np.float64(43.90017621383332),np.float64(445.95360787121155),np.float64(7.105427357601002e-15)
22,np.float64(944.3855946510059),np.float64(-62.92723747014881),np.float64(43.9001762138359),np.float64(447.55250596057834),np.float64(2.842170943040401e-14)
23,np.float64(944.3855946510046),np.float64(-62.927237470147105),np.float64(43.900176213837184),np.float64(448.9461228268834),np.float64(7.105427357601002e-15)
24,np.float64(944.3855946510046),np.float64(-62.927237470146984),np.float64(43.900176213837604),np.float64(449.69749399447517),np.float64(5.684341886080802e-14)
25,np.float64(944.3855946510059),np.float64(-62.927237470147666),np.float64(43.900176213837305),np.float64(450.3308474440257),np.float64(5.684341886080802e-14)
26,np.float64(944.3855946510107),np.float64(-62.927237470147155),np.float64(43.90017621383767),np.float64(451.0394010595683),np.float64(2.842170943040401e-14)
27,np.float64(944.3855946510114),np.float64(-62.92723747014615),np.float64(43.90017621383852),np.float64(451.69678666484197),np.float64(5.684341886080802e-14)
28,np.float64(944.3855946510116),np.float64(-62.927237470146025),np.float64(43.90017621383862),np.float64(452.6198613289518),np.float64(2.842170943040401e-14)
29,np.float64(944.3855946510083),np.float64(-62.927237470145116),np.float64(43.900176213838314),np.float64(453.96442886372165),np.float64(7.105427357601002e-15)
30,np.float64(944.3855946510078),np.float64(-62.92723747014424),np.float64(43.90017621383855),np.float64(456.6244687871154),np.float64(1.4210854715202004e-14)
31,np.float64(944.3855946510088),np.float64(-62.9272374701449),np.float64(43.90017621383798),np.float64(460.46035846409103),np.float64(2.842170943040401e-14)
32,np.float64(944.38559465101),np.float64(-62.9272374701454),np.float64(43.900176213837966),np.float64(462.998528099984),np.float64(7.105427357601002e-15)
33,np.float64(944.385594651008),np.float64(-62.92723747014429),np.float64(43.90017621383967),np.float64(463.3653252305561),np.float64(2.842170943040401e-14)
34,np.float64(944.385594651007),np.float64(-62.92723747014277),np.float64(43.90017621384068),np.float64(463.6536770094718),np.float64(2.842170943040401e-14)
35,np.float64(944.3855946510088),np.float64(-62.92723747014345),np.float64(43.90017621383984),np.float64(463.89004642790127),np.float64(1.4210854715202004e-14)
36,np.float64(944.3855946510078),np.float64(-62.92723747014344),np.float64(43.90017621383924),np.float64(464.1064528825779),np.float64(1.4210854715202004e-14)
37,np.float64(944.3855946510049),np.float64(-62.92723747014365),np.float64(43.900176213840794),np.float64(464.32655329665727),np.float64(2.842170943040401e-14)
38,np.float64(944.3855946510075),np.float64(-62.9272374701422),np.float64(43.90017621384128),np.float64(464.5575825020203),np.float64(1.4210854715202004e-14)
39,np.float64(944.385594651008),np.float64(-62.92723747014242),np.float64(43.90017621384214),np.float64(464.7786790213924),np.float64(2.842170943040401e-14)
40,np.float64(944.3855946510079),np.float64(-62.92723747014523),np.float64(43.900176213840574),np.float64(464.96406546058523),np.float64(7.105427357601002e-15)
41,np.float64(944.3855946510071),np.float64(-62.92723747014559),np.float64(43.90017621383997),np.float64(465.10885780969164),np.float64(7.105427357601002e-15)
42,np.float64(944.3855946510101),np.float64(-62.92723747014493),np.float64(43.900176213839956),np.float64(465.23108028202086),np.float64(5.684341886080802e-14)
43,np.float64(944.3855946510087),np.float64(-62.92723747014462),np.float64(43.900176213839316),np.float64(465.35393571459167),np.float64(1.4210854715202004e-14)
44,np.float64(944.3855946510104),np.float64(-62.927237470145066),np.float64(43.900176213839714),np.float64(465.483203634638),np.float64(2.842170943040401e-14)
45,np.float64(944.3855946510065),np.float64(-62.927237470143595),np.float64(43.900176213839586),np.float64(465.60354395050433),np.float64(1.4210854715202004e-14)
46,np.float64(944.3855946510062),np.float64(-62.92723747014298),np.float64(43.90017621383901),np.float64(465.69874444767123),np.float64(1.4210854715202004e-14)
47,np.float64(944.3855946510087),np.float64(-62.92723747014245),np.float64(43.90017621383975),np.float64(465.77559427743205),np.float64(7.105427357601002e-15)
48,np.float64(944.38559465101),np.float64(-62.92723747014274),np.float64(43.90017621383977),np.float64(465.8570291829336),np.float64(5.684341886080802e-14)
49,np.float64(944.3855946510113),np.float64(-62.92723747014343),np.float64(43.90017621383926),np.float64(465.9488570307076),np.float64(1.4210854715202004e-14)
50,np.float64(944.3855946510107),np.float64(-62.92723747014175),np.float64(43.9001762138421),np.float64(466.03517473636754),np.float64(5.684341886080802e-14)
51,np.float64(944.3855946510106),np.float64(-62.92723747014152),np.float64(43.90017621384243),np.float64(466.1016330325122),np.float64(1.4210854715202004e-14)
52,np.float64(944.3855946510096),np.float64(-62.92723747014138),np.float64(43.900176213843835),np.float64(466.1576523510604),np.float64(1.4210854715202004e-14)
53,np.float64(944.3855946510109),np.float64(-62.927237470142835),np.float64(43.90017621384359),np.float64(466.21860504686015),np.float64(2.842170943040401e-14)
54,np.float64(944.3855946510078),np.float64(-62.92723747014284),np.float64(43.90017621384198),np.float64(466.28292973563987),np.float64(5.684341886080802e-14)
55,np.float64(944.3855946510085),np.float64(-62.927237470142366),np.float64(43.90017621384252),np.float64(466.3400495066544),np.float64(1.4210854715202004e-14)
56,np.float64(944.385594651011),np.float64(-62.927237470142515),np.float64(43.900176213843174),np.float64(466.38773841367174),np.float64(2.842170943040401e-14)
57,np.float64(944.385594651008),np.float64(-62.927237470141584),np.float64(43.90017621384349),np.float64(466.43506159701735),np.float64(1.4210854715202004e-14)
58,np.float64(944.3855946510071),np.float64(-62.927237470141016),np.float64(43.90017621384552),np.float64(466.48419002899465),np.float64(2.842170943040401e-14)
59,np.float64(944.3855946510078),np.float64(-62.927237470141634),np.float64(43.9001762138456),np.float64(466.52780184941724),np.float64(5.684341886080802e-14)
60,np.float64(944.3855946510089),np.float64(-62.927237470142124),np.float64(43.90017621384462),np.float64(466.56671663251086),np.float64(5.138250935843303e-15)
61,np.float64(944.3855946510088),np.float64(-62.9272374701427),np.float64(43.90017621384497),np.float64(466.6072701190944),np.float64(5.684341886080802e-14)
62,np.float64(944.385594651008),np.float64(-62.92723747014449),np.float64(43.90017621384262),np.float64(466.64852006938384),np.float64(5.684341886080802e-14)
63,np.float64(944.3855946510057),np.float64(-62.92723747014481),np.float64(43.90017621384277),np.float64(466.6844968990525),np.float64(1.4210854715202004e-14)
64,np.float64(944.3855946510073),np.float64(-62.927237470144796),np.float64(43.900176213844205),np.float64(466.71468858284413),np.float64(2.842170943040401e-14)
65,np.float64(944.3855946510066),np.float64(-62.92723747014317),np.float64(43.900176213843785),np.float64(466.74906098133965),np.float64(1.4210854715202004e-14)
66,np.float64(944.3855946510083),np.float64(-62.927237470143446),np.float64(43.900176213844624),np.float64(466.7847112249261),np.float64(7.105427357601002e-15)
67,np.float64(944.3855946510082),np.float64(-62.927237470143474),np.float64(43.90017621384463),np.float64(466.8150921348394),np.float64(5.684341886080802e-14)
