candidate,fit_valid,loglog_slope,power_candidate_alpha,loglog_intercept,log_rmse,case_count,min_value,max_value,frequency_ratio,amplitude_ratio,phase_shift_deg,readout_mode,filter,candidate_kind,alpha_near_positive_2
derived_f_AB_over_A,False,0.0,0.0,,,0,,,0.75,0.75,0.0,readout_normal,c1_surface_like,derived_ratio,False
derived_Q_raw_over_A,False,0.0,0.0,,,0,,,0.75,0.75,0.0,readout_normal,c1_surface_like,derived_ratio,False
derived_envelope_over_A,False,0.0,0.0,,,0,,,0.75,0.75,0.0,readout_normal,c1_surface_like,derived_ratio,False
native_max_f_AB,True,1.0000000000000002,-1.0000000000000002,-5.453299236399671,6.713997766802521e-16,7,7.473767804861164e-05,0.004484260682916698,0.75,0.75,0.0,readout_strong,area_valid,native,False
native_max_Q_raw,True,2.0000000000000004,-2.0000000000000004,-8.294049640102026,1.644586866285194e-15,7,7.615435494667714e-08,0.00027415567780803766,0.75,0.75,0.0,readout_strong,area_valid,native,False
native_max_closure_relaxation,True,2.0000000000000004,-2.0000000000000004,-8.294049640102026,1.644586866285194e-15,7,7.615435494667714e-08,0.00027415567780803766,0.75,0.75,0.0,readout_strong,area_valid,native,False
native_max_envelope_V_AB,True,2.0000000000000004,-2.0000000000000004,0.0,1.0780485463549486e-15,7,0.00030461741978670857,1.0966227112321507,0.75,0.75,0.0,readout_strong,area_valid,native,False
native_max_V_AB,True,2.0000000000000004,-2.0000000000000004,0.0,1.0780485463549486e-15,7,0.00030461741978670857,1.0966227112321507,0.75,0.75,0.0,readout_strong,area_valid,native,False
native_max_epsilon_c,True,1.1961082132341398e-17,-1.1961082132341398e-17,0.005559351157224835,2.1797026547670936e-16,7,1.0055748330262886,1.005574833026289,0.75,0.75,0.0,readout_strong,area_valid,native,False
max_abs_A_chi_tau,True,1.999999999999999,-1.999999999999999,0.8084053747468218,1.871245773589176e-15,7,0.0006836608782394701,2.4611791616620904,0.75,0.75,0.0,readout_strong,area_valid,area,False
