deviation_deg,deviation_rad,frequency_ratio,amplitude_ratio,phase_shift_deg,readout_mode,per_step_leak,max_abs_A_chi_tau,inv_A_chi_tau_constructed_control,rank_chi_tau,max_epsilon_c_abs,area_valid,c1_like,c1_surface_like,native_max_f_AB,native_max_Q_raw,native_max_closure_relaxation,native_max_envelope_V_AB,native_max_V_AB,native_max_epsilon_c,derived_f_AB_over_A,derived_Q_raw_over_A,derived_envelope_over_A,decay_rate_envelope,tau_is_step_used,external_c_used,absolute_background_axis_used,f_A_or_f_B_used
1.0,0.017453292519943295,0.75,0.75,0.0,readout_off,0.0,0.000738207617990336,1354.632457901689,2,1.002907463198806,True,False,False,7.473767804861164e-05,0.0,0.0,0.0003046174197867087,0.00030461741978670857,1.002907463198806,0.10124208451285589,0.0,0.41264464408533974,1.2727114570066945e-18,False,False,False,False
1.0,0.017453292519943295,0.75,0.75,0.0,readout_normal,5e-05,0.0007241709010071813,1380.8895091050938,2,1.0035714454359916,True,False,False,7.473767804861164e-05,1.9038588736669286e-08,1.9038588736669286e-08,0.00030461741978670857,0.00030461741978670857,1.0035714454359916,0.10320447555220187,2.6290187454633017e-05,0.42064299927412824,-0.00010000250008332793,False,False,False,False
1.0,0.017453292519943295,0.75,0.75,0.0,readout_strong,0.0002,0.0006836608782394701,1462.713505817608,2,1.0055748330262886,True,False,False,7.473767804861164e-05,7.615435494667714e-08,7.615435494667714e-08,0.00030461741978670857,0.00030461741978670857,1.0055748330262886,0.1093198110751524,0.00011139200350733261,0.44556801402933044,-0.00040004000533409455,False,False,False,False
1.0,0.017453292519943295,0.75,0.75,15.0,readout_off,0.0,0.0007130538033801999,1402.4187168759838,2,1.002762972342997,True,False,False,7.473767804861164e-05,0.0,0.0,0.0003046174197867087,0.00030461741978670857,1.002762972342997,0.10481351855122432,0.0,0.42720117099534893,1.2727114570066945e-18,False,False,False,False
1.0,0.017453292519943295,0.75,0.75,15.0,readout_normal,5e-05,0.0006993238353284225,1429.9526907021143,2,1.003514256718574,True,False,False,7.473767804861164e-05,1.9038588736669286e-08,1.9038588736669286e-08,0.00030461741978670857,0.00030461741978670857,1.003514256718574,0.10687134382244055,2.722428119117121e-05,0.43558849905873936,-0.00010000250008332793,False,False,False,False
1.0,0.017453292519943295,0.75,0.75,15.0,readout_strong,0.0002,0.0006597178783736855,1515.7994542533343,2,1.0057835304914788,True,False,False,7.473767804861164e-05,7.615435494667714e-08,7.615435494667714e-08,0.00030461741978670857,0.00030461741978670857,1.0057835304914788,0.11328733159824692,0.00011543472966718791,0.46173891866875166,-0.00040004000533409455,False,False,False,False
1.0,0.017453292519943295,0.75,0.75,30.0,readout_off,0.0,0.0007130538033802006,1402.4187168759825,2,1.0027629723429978,True,False,False,7.473767804861164e-05,0.0,0.0,0.0003046174197867087,0.00030461741978670857,1.0027629723429978,0.10481351855122421,0.0,0.4272011709953485,1.2727114570066945e-18,False,False,False,False
1.0,0.017453292519943295,0.75,0.75,30.0,readout_normal,5e-05,0.0007098152665933937,1408.8172614253365,2,1.0032397645984985,True,False,False,7.473767804861164e-05,1.9038588736669286e-08,1.9038588736669286e-08,0.00030461741978670857,0.00030461741978670857,1.0032397645984985,0.10529173091373355,2.682189244539768e-05,0.4291502791263629,-0.00010000250008332793,False,False,False,False
1.0,0.017453292519943295,0.75,0.75,30.0,readout_strong,0.0002,0.0007002098339020021,1428.1433244480183,2,1.0046912784109665,True,False,False,7.473767804861164e-05,7.615435494667714e-08,7.615435494667714e-08,0.00030461741978670857,0.00030461741978670857,1.0046912784109665,0.10673611598986991,0.00010875933364474189,0.43503733457896754,-0.00040004000533409455,False,False,False,False
1.0,0.017453292519943295,0.75,0.75,45.0,readout_off,0.0,0.000738207617990336,1354.632457901689,2,1.0029074631988064,True,False,False,7.473767804861164e-05,0.0,0.0,0.0003046174197867087,0.00030461741978670857,1.0029074631988064,0.10124208451285589,0.0,0.41264464408533974,1.2727114570066945e-18,False,False,False,False
