N,M,k,best_residual,edges
15,105,2,0.00016757322712547562,"3-6;4-13;"
15,105,3,0.0022086807039409487,"1-12;1-14;7-13;"
15,105,4,2.4540705036043651e-05,"5-9;6-15;7-10;11-15;"
