N,M,k,best_residual,edges
16,120,2,0.00033019949863713065,"1-7;6-7"
16,120,3,0.0021203407976075812,"3-16;4-5;7-9"
16,120,4,6.5751185411020848e-05,"1-16;4-16;5-6;15-16"
16,120,5,6.0838673871955195e-05,"1-2;1-16;2-12;4-7;7-11"
16,120,6,3.5471807330626076e-06,"1-9;3-9;5-16;7-10;13-15;13-16"
16,120,7,1.6273570794503742e-05,"2-16;3-8;4-5;7-16;9-10;11-14;14-16"
16,120,8,9.6348863359883527e-06,"1-2;1-3;2-5;2-12;9-11;10-12;10-16;13-14"
16,120,9,3.0725898252532475e-06,"1-11;2-16;6-12;6-14;6-16;7-13;9-13;9-14;10-11"
16,120,10,5.2072826729566872e-06,"1-2;1-5;2-3;3-10;3-12;4-7;4-10;5-13;6-8;9-15"
16,120,11,2.864480230215926e-06,"2-6;3-5;3-12;3-13;4-6;4-7;5-10;6-14;7-8;7-16;13-15"
16,120,12,2.5392286445353141e-06,"1-8;2-5;2-6;2-8;2-9;2-10;2-11;3-13;5-10;8-13;10-12;12-13"
16,120,13,3.6323980807129878e-06,"2-11;2-14;2-15;4-6;4-9;4-13;5-6;5-12;6-8;6-12;6-14;7-14;9-15"
16,120,14,3.5640818924730597e-06,"2-7;2-9;2-11;4-6;4-10;4-13;5-14;6-9;6-14;7-12;7-16;8-9;11-12;13-15"
