N,M,k,best_residual,edges,runtime_s
15,105,5,3.7729142095491295e-05,1-11;1-12;1-14;3-13;5-9,0.40758705139160156
15,105,6,6.919844389752329e-06,1-3;1-9;4-8;4-11;5-6;9-10,10.270312309265137
