N,M,k,best_residual,edges
14,91,2,0.00037254864422753698,"6-9;7-12;"
14,91,3,0.0060739528857677236,"1-14;4-14;7-13;"
14,91,4,6.8317945563111957e-05,"1-8;3-6;8-10;11-13;"
