N,M,k,best_residual,edges
16,120,2,0.00033019949863715174,"1-7;6-7;"
16,120,3,0.0021203407976077022,"3-16;4-5;7-9;"
16,120,4,2.4060624503829441e-05,"1-2;1-11;4-16;5-6;"
