N,M,k,best_residual,edges,runtime_s
14,91,5,0.00010706631011216228,3-12;5-8;6-8;6-9;11-12,0.30106306076049805
14,91,6,6.92397358472885e-06,2-10;2-14;4-8;5-8;5-14;8-12,6.472382068634033
