N,M,k,best_residual,edges
14,91,2,0.00037254864422746955,"6-9;7-12"
14,91,3,0.0060739528857675197,"1-14;4-14;7-13"
14,91,4,6.8317945563111957e-05,"1-8;3-6;8-10;11-13"
14,91,5,0.00010706631011353675,"3-12;5-8;6-8;6-9;11-12"
14,91,6,2.5687641858349297e-05,"1-3;4-5;6-9;8-12;10-13;13-14"
14,91,7,3.6540734000581644e-06,"2-3;2-14;3-10;5-8;5-11;5-13;6-9"
14,91,8,1.5132795172112292e-05,"1-4;1-5;1-13;2-4;3-14;4-5;5-6;6-7"
14,91,9,7.3244212483728399e-06,"1-8;4-12;5-6;5-9;7-9;7-14;8-13;12-14;13-14"
14,91,10,1.1507630979731531e-05,"1-14;2-6;2-8;4-7;4-10;5-13;5-14;6-9;8-10;8-12"
14,91,11,7.1420848352867375e-06,"1-5;1-6;1-12;1-13;4-5;4-14;5-12;6-8;6-12;6-13;11-14"
14,91,12,6.8832372958502194e-06,"2-3;2-9;2-12;4-6;4-10;5-6;5-8;6-8;6-10;8-9;9-14;10-11"
