sweep_region,R,T,Delta_F,q_out_factor,q_out_factor_diagnostic,q_out_factor_applied,full_two_channel_scattering_used_rate,max_scattering_unitarity_error,max_Q_closed_abs,harmonic_case_count,c1_case_count,harmonic_valid_rate_all,harmonic_valid_rate_nonstrong,harmonic_valid_rate_strong,fermionic_regular_cell_harmonic_consistent_all_cases,fermionic_regular_cell_harmonic_consistent_nonstrong_modes,fermionic_strong_readout_perturbs_harmonic_projection,fermionic_max_f_AB_projection_error_regular_nonstrong,fermionic_max_f_AB_projection_error_regular_strong,readout_off_decay_max_abs,readout_strong_decay_min_abs,c1_area_valid_rate,c1_calibrated_rate,c1_readout_off_max_epsilon_c_abs,fermionic_c1_area_sweep_detected_all_cases,tau_is_step_used_any,external_c_used_any,f_A_or_f_B_used_any,f_consistency_tol,c_tol,distance_to_R_137,distance_to_R_128_nominal,score_C,stability_depth,classification_C
control,0.0,1.0,0.0,1.0,1.0,False,1.0,0.0,0.0,16,48,0.875,1.0,0.5,False,True,True,2.2756072064285173e-06,9.072436576166722e-06,4.4544900995234305e-18,0.0004000400053340911,1.0,0.25,2.3314683517128287e-15,True,False,False,False,3e-06,5e-12,0.6971778791282474,0.686671465671125,0.9951511981078488,0.002110929791663147,flat
control,0.5,0.4999999999999999,1.5707963267948968,-2.220446049250313e-16,-2.220446049250313e-16,False,1.0,4.163336342344337e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.2779979087194356e-06,9.110624767960646e-06,3.818134371020083e-18,0.00040004000533409265,0.0,1.0,2.220446049250313e-16,False,False,False,False,3e-06,5e-12,0.19717787912824736,0.18667146567112503,1.2453479590855907,-0.09529071335729027,flat
coarse,0.6,0.4,1.7721542475852274,-0.20000000000000007,-0.20000000000000007,False,1.0,6.245004513516506e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.277892817323146e-06,9.050894677662028e-06,4.4544900995234305e-18,0.000400040005334092,1.0,0.25,6.661338147750939e-16,True,False,False,False,3e-06,5e-12,0.09717787912824738,0.08667146567112505,0.9953393116649816,0.0020288428089058146,flat
coarse,0.601,0.3990000000000002,1.7741959158923275,-0.202,-0.202,False,1.0,7.632783294297951e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.2778630030607598e-06,9.050755066496359e-06,4.4544900995234305e-18,0.00040004000533409265,1.0,0.25,6.661338147750939e-16,True,False,False,False,3e-06,5e-12,0.09617787912824738,0.08567146567112505,0.9953368583741218,0.002029913249893604,flat
coarse,0.602,0.398,1.7762384443050308,-0.20399999999999974,-0.20399999999999974,False,1.0,5.551115123125783e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.277823675210242e-06,9.05057764536061e-06,4.4544900995234305e-18,0.000400040005334092,1.0,0.25,6.661338147750939e-16,True,False,False,False,3e-06,5e-12,0.09517787912824738,0.08467146567112505,0.9953336222287178,0.0020313252767511706,flat
coarse,0.603,0.39700000000000013,1.7782818424433962,-0.20599999999999985,-0.20599999999999985,False,1.0,6.245004513516506e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.2777748215974484e-06,9.050362366323911e-06,3.818134371020083e-18,0.00040004000533409265,1.0,0.25,6.661338147750939e-16,True,False,False,False,3e-06,5e-12,0.09417787912824738,0.08367146567112504,0.9953296022094903,0.002033079337554845,flat
coarse,0.604,0.39599999999999996,1.780326119962518,-0.20800000000000013,-0.20800000000000013,False,1.0,6.245004513516506e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.277716430126523e-06,9.050109180607097e-06,3.818134371020083e-18,0.000400040005334092,1.0,0.25,4.440892098500626e-16,True,False,False,False,3e-06,5e-12,0.09317787912824738,0.08267146567112504,0.9953247972993239,0.0020351758802513898,flat
coarse,0.605,0.3949999999999999,1.7823712865529924,-0.21000000000000008,-0.21000000000000008,False,1.0,6.245004513516506e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.2776484882029886e-06,9.049818039114828e-06,4.4544900995234305e-18,0.000400040005334092,1.0,0.25,6.661338147750939e-16,True,False,False,False,3e-06,5e-12,0.09217787912824738,0.08167146567112504,0.9953192064357754,0.002037615373383882,flat
coarse,0.606,0.394,1.7844173519413922,-0.21199999999999997,-0.21199999999999997,False,1.0,5.551115123125783e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.2775709834781724e-06,9.049488891961383e-06,4.4544900995234305e-18,0.000400040005334092,1.0,0.25,6.661338147750939e-16,True,False,False,False,3e-06,5e-12,0.09117787912824737,0.08067146567112504,0.9953128285723117,0.0020403982793754574,flat
coarse,0.607,0.39300000000000007,1.7864643258907436,-0.2139999999999999,-0.2139999999999999,False,1.0,5.551115123125783e-17,0.0,16,48,0.875,1.0,0.5,False,True,True,2.277483903182365e-06,9.049121688885579e-06,3.818134371020083e-18,0.000400040005334092,1.0,0.25,4.440892098500626e-16,True,False,False,False,3e-06,5e-12,0.09017787912824737,0.07967146567112504,0.9953056626234165,0.0020435250784849755,flat
