step,full_r1,parallel_r1,perp_r1,cross_r1,full_r2,parallel_r2,perp_r2,cross_r2,full_r3,parallel_r3,perp_r3,cross_r3,full_r4,parallel_r4,perp_r4,cross_r4,full_r5,parallel_r5,perp_r5,cross_r5
0,0.4171050325603067,0.4171050325603068,7.856037770894675e-17,7.648579665828229e-09,0.3034884893334423,0.3034884893334423,6.926841480988332e-17,6.780905425198766e-09,0.2023256595556279,0.20232565955562795,4.0460356557118366e-17,4.8093408057086486e-09,0.2023256595556279,0.20232565955562792,3.9820794794286435e-17,3.968866180002151e-09,2.3474589701422327e-09,2.734672002491932e-09,2.896484141980579e-25,1.0659817373930342e-09
1,0.417105032560307,0.417105032560307,4.465319356167981e-16,1.5237833215364467e-08,0.3034884893334426,0.3034884893334425,3.0172078361852677e-16,1.2669977635110194e-08,0.20232565955562826,0.20232565955562815,2.580371361387836e-16,1.045743530873258e-08,0.20232565955562787,0.2023256595556281,2.104690460402173e-16,8.689327035490839e-09,3.163712741071439e-09,2.6881426113414314e-09,1.763130739475834e-24,3.0684240935533237e-09
2,0.4171050325603073,0.41710503256030734,4.265121959947279e-16,1.628211908703809e-08,0.30348848933344297,0.30348848933344286,3.406908163825986e-16,1.4212374394347443e-08,0.20232565955562856,0.20232565955562834,2.7358202771376896e-16,1.135343385381607e-08,0.20232565955562795,0.20232565955562834,1.8712858766764517e-16,9.692816986005764e-09,1.9323653824473467e-09,2.7725173083283198e-09,1.9269215977935642e-24,7.929936935065303e-10
3,0.4171050325603073,0.41710503256030734,4.919608812656292e-16,1.7088422356264052e-08,0.30348848933344275,0.3034884893334427,4.103093992947782e-16,1.4364673434935828e-08,0.20232565955562834,0.20232565955562828,3.266494950866006e-16,1.319071761796837e-08,0.20232565955562787,0.20232565955562823,2.9894445742497516e-16,1.138999181608279e-08,2.8325971100612875e-09,1.0892375642323233e-09,4.421456255293513e-24,1.058881678022725e-09
4,0.41710503256030723,0.41710503256030723,4.58461208513805e-16,1.716043230032208e-08,0.3034884893334425,0.3034884893334424,3.8804057560633776e-16,1.3919743010092547e-08,0.20232565955562815,0.2023256595556281,3.3627128859530167e-16,1.0837274599399885e-08,0.20232565955562773,0.2023256595556281,1.8940133785684383e-16,9.613430657775277e-09,1.7032699589515784e-09,3.243697448980681e-09,5.7206884790905796e-24,2.470007124361618e-09
5,0.41710503256030723,0.4171050325603073,5.671494574972822e-16,1.8658528751078656e-08,0.3034884893334426,0.3034884893334424,4.766837540865528e-16,1.4633342058664474e-08,0.20232565955562806,0.2023256595556281,3.6701350124247154e-16,1.0452457644637914e-08,0.2023256595556279,0.2023256595556281,6.256896876673089e-17,7.769233783542671e-09,1.5371519163066293e-09,1.5449840431732966e-09,2.8731984305816924e-24,2.0299114228047194e-09
6,0.4171050325603074,0.41710503256030745,7.915405438915639e-16,2.2966869611234388e-08,0.30348848933344263,0.3034884893334426,6.833922925173049e-16,1.529354405164767e-08,0.20232565955562817,0.20232565955562815,3.6948798245878427e-16,1.1464414422491449e-08,0.20232565955562784,0.20232565955562812,2.3620884316552853e-16,3.629896485177479e-09,3.4788879917428076e-09,2.4781324833412934e-09,5.492523777180097e-24,2.1379850098583146e-09
7,0.41710503256030756,0.4171050325603077,1.010603324560196e-15,2.4811451070168634e-08,0.3034884893334426,0.3034884893334426,8.28717800034166e-16,1.671994337047186e-08,0.20232565955562903,0.20232565955562812,4.0306214484960125e-16,1.3542024846531349e-08,0.20232565955562803,0.2023256595556281,1.8620386431811822e-16,5.682465326350151e-09,1.7552323898974021e-09,2.725923806404509e-09,9.030788732638944e-24,1.9283011834977125e-09
8,0.41710503256030707,0.4171050325603072,1.1009330255635297e-15,2.597681713705061e-08,0.30348848933344197,0.30348848933344225,8.942699546890196e-16,1.910161486028495e-08,0.20232565955562853,0.20232565955562795,5.960550554669463e-16,1.2706361395871918e-08,0.20232565955562776,0.20232565955562787,2.7198976308577863e-16,6.822422689061826e-09,2.4759986891324053e-09,3.445085800307794e-09,1.073917027304872e-23,1.1861608818106615e-09
9,0.4171050325603069,0.417105032560307,1.2124955848848199e-15,2.6595804710010422e-08,0.30348848933344175,0.3034884893334421,1.0240650547874627e-15,2.0609281845142303e-08,0.202325659555628,0.20232565955562784,6.631762637677634e-16,1.3948252768937364e-08,0.2023256595556278,0.2023256595556278,3.2088193654299063e-16,9.16328364758118e-09,1.7250184428742493e-09,2.927621510523974e-09,8.634657891055257e-24,2.5253633338101926e-09
10,0.4171050325603067,0.4171050325603068,1.1534545012346133e-15,2.6241123492199056e-08,0.30348848933344147,0.3034884893334419,1.054317922144451e-15,2.064101821492195e-08,0.20232565955562826,0.20232565955562773,6.549651652327952e-16,1.648656076431608e-08,0.2023256595556276,0.2023256595556277,4.583413796960606e-16,2.7647353967566446e-09,2.964247839396293e-09,1.4026895407365746e-09,1.2212966514603779e-23,1.5318331782624087e-09
11,0.4171050325603067,0.41710503256030695,1.2046825241606063e-15,2.5771729162035253e-08,0.3034884893334414,0.3034884893334421,1.1028763719436051e-15,2.2669631669075056e-08,0.20232565955562842,0.20232565955562778,7.375559479388722e-16,1.842761688901432e-08,0.2023256595556274,0.20232565955562776,6.731532329817009e-16,6.088053713002043e-09,3.2685183384478215e-09,2.4580299703464507e-09,8.189840329598061e-24,1.547794718045848e-09
12,0.4171050325603067,0.4171050325603069,1.1987863213991477e-15,2.4183225754570107e-08,0.3034884893334415,0.303488489333442,1.0699630292255174e-15,2.314238452153213e-08,0.20232565955562862,0.20232565955562778,8.392374099585395e-16,2.0390449626767002e-08,0.20232565955562745,0.20232565955562776,6.733844678135569e-16,8.273298051321708e-09,2.648326662191936e-09,9.224118099463529e-10,1.4291110613639755e-23,1.4663103893574963e-09
13,0.4171050325603067,0.41710503256030695,1.2344174532885977e-15,2.5591041804177528e-08,0.30348848933344147,0.3034884893334422,1.0818027164500577e-15,2.315770451415958e-08,0.2023256595556287,0.20232565955562795,7.983178662480969e-16,1.9689712710638167e-08,0.2023256595556278,0.2023256595556279,6.674279508471407e-16,7.812686336819767e-09,1.2445770645473144e-09,1.7849959395616772e-09,8.803292320790728e-24,2.2541487385323697e-09
14,0.4171050325603064,0.4171050325603066,1.3163863520073958e-15,2.6873649325794097e-08,0.3034884893334416,0.30348848933344236,1.1544653780710097e-15,2.4627232576573137e-08,0.2023256595556288,0.20232565955562803,9.50049027792765e-16,2.0915174259819993e-08,0.2023256595556278,0.20232565955562795,7.094157782194618e-16,9.758243522473649e-09,1.6547520086391313e-09,1.398242852854089e-09,1.2481659617708101e-23,1.565868096181865e-09
15,0.4171050325603063,0.4171050325603065,1.3120581905637306e-15,2.582261546136804e-08,0.30348848933344164,0.30348848933344236,1.1484546634927255e-15,2.4678742705647554e-08,0.20232565955562876,0.20232565955562806,8.09549888429083e-16,2.0234439194077673e-08,0.20232565955562798,0.20232565955562803,6.59080811155731e-16,9.169146303964549e-09,3.6789777118768682e-09,3.3467461988891877e-09,1.1232263225129457e-23,3.1682575234549635e-09
16,0.4171050325603062,0.41710503256030645,1.1526543207092454e-15,2.4704813353370848e-08,0.3034884893334414,0.3034884893334423,9.640298547347246e-16,2.3605279570209185e-08,0.20232565955562867,0.20232565955562803,8.668528530291103e-16,1.9919558536254743e-08,0.202325659555628,0.2023256595556279,6.950322529883071e-16,9.813296942059168e-09,1.9002094180915234e-09,3.5684951842335417e-09,1.1630304096590823e-23,2.5340020079248514e-09
17,0.4171050325603062,0.4171050325603064,1.1074747889424595e-15,2.4528106567021752e-08,0.30348848933344136,0.3034884893334422,9.261548186476135e-16,2.407003963085862e-08,0.20232565955562848,0.2023256595556279,8.247248264883798e-16,1.957188778812001e-08,0.20232565955562803,0.20232565955562784,7.002866881101703e-16,9.513888010601657e-09,4.021044837334753e-09,3.5283257474267162e-09,1.1122057699535909e-23,1.990084631934935e-09
18,0.41710503256030634,0.4171050325603066,1.0325453540149879e-15,2.4496202350330247e-08,0.30348848933344136,0.3034884893334423,8.462833024849468e-16,2.308953728187441e-08,0.2023256595556284,0.20232565955562798,7.348723947752873e-16,1.801890379204578e-08,0.2023256595556281,0.20232565955562795,6.186829041954298e-16,1.03637805492564e-08,4.266400809568905e-09,3.5363717607938922e-09,9.05220124853862e-24,3.4855396129555164e-09
19,0.4171050325603066,0.41710503256030684,9.740942571992533e-16,2.358250319549725e-08,0.30348848933344164,0.30348848933344247,7.825182318446518e-16,2.2206342290862647e-08,0.2023256595556287,0.20232565955562812,7.005211032211606e-16,1.7112258773760317e-08,0.20232565955562823,0.2023256595556281,5.171163693476557e-16,1.1214878561062894e-08,2.3004981093664414e-09,2.7985994729221505e-09,6.358084312687275e-24,1.7042303074169107e-09
20,0.41710503256030673,0.417105032560307,1.0275715537354964e-15,2.536311876954371e-08,0.3034884893334418,0.3034884893334427,8.366955517914103e-16,2.270875718689343e-08,0.20232565955562892,0.2023256595556282,7.25395601513798e-16,1.7005981631017358e-08,0.2023256595556281,0.20232565955562817,4.430074190286155e-16,9.75235139632232e-09,2.3747428838265483e-09,1.5849216623420011e-09,8.063057078659091e-24,2.020662259820763e-09
21,0.41710503256030723,0.4171050325603075,9.978984951697291e-16,2.570346092744325e-08,0.3034884893334423,0.3034884893334431,8.085423256359287e-16,2.2083007102538486e-08,0.20232565955562926,0.20232565955562848,7.345430418235639e-16,1.670818003310272e-08,0.20232565955562823,0.20232565955562845,4.87092672626622e-16,1.0168483613290545e-08,2.269195901530381e-09,2.4565863661712815e-09,7.543106092258279e-24,1.2097810117473927e-09
22,0.41710503256030734,0.4171050325603075,1.0244492675456502e-15,2.651742273103903e-08,0.30348848933344236,0.3034884893334429,8.862166515684101e-16,2.1569188747004474e-08,0.20232565955562934,0.20232565955562845,8.074924281155921e-16,1.641775986542783e-08,0.2023256595556281,0.2023256595556284,5.278387570937439e-16,1.273323954588318e-08,2.5498844304395944e-09,2.7446173781864353e-09,8.711595485600513e-24,2.247876729893146e-09
23,0.4171050325603073,0.4171050325603074,9.486992952131717e-16,2.606188158271475e-08,0.3034884893334421,0.3034884893334426,8.730961289408004e-16,2.1319974280744587e-08,0.2023256595556287,0.20232565955562823,7.775355212678977e-16,1.5336555481166768e-08,0.20232565955562803,0.20232565955562817,4.3814121871516468e-16,1.1372523082156401e-08,4.119745001820746e-09,2.4666183385470365e-09,9.181225362314521e-24,2.603704667003984e-09
24,0.4171050325603074,0.41710503256030756,9.586152566571404e-16,2.584083685707196e-08,0.3034884893334422,0.30348848933344263,8.949127263448076e-16,2.1257073250603598e-08,0.2023256595556286,0.20232565955562817,7.400883150599762e-16,1.411622305715615e-08,0.202325659555628,0.20232565955562817,5.030115380251993e-16,1.1248185824945614e-08,3.4796967135625068e-09,3.225873115416412e-09,3.982191580299042e-24,3.0799250641851845e-09
25,0.41710503256030756,0.4171050325603077,1.0240775139041157e-15,2.689981397165903e-08,0.3034884893334422,0.3034884893334425,9.585567526486618e-16,2.1782516882199603e-08,0.2023256595556287,0.20232565955562812,7.711403930736124e-16,1.5027448307687114e-08,0.20232565955562773,0.20232565955562812,5.998753390382334e-16,1.358364313717718e-08,1.9110376301938477e-09,2.484690103104961e-09,7.648259268743592e-24,2.5170493075298304e-09
26,0.41710503256030784,0.41710503256030795,1.1201208807715156e-15,2.6797614470016877e-08,0.3034884893334424,0.3034884893334426,9.741773949613715e-16,2.346182584368675e-08,0.2023256595556287,0.20232565955562817,7.278321014105761e-16,1.604391495483102e-08,0.20232565955562776,0.20232565955562815,6.438094616231205e-16,1.2906462777019244e-08,1.5097524800187416e-09,3.875631369888447e-09,3.436780967641752e-24,1.4387899119552165e-09
27,0.4171050325603077,0.41710503256030773,1.2083059128775181e-15,2.7590632729197903e-08,0.30348848933344247,0.30348848933344263,1.0633399509535743e-15,2.4967766349122364e-08,0.20232565955562867,0.20232565955562817,8.328541395142889e-16,1.8505012737248838e-08,0.2023256595556276,0.2023256595556281,6.784919364424048e-16,1.3503652652775011e-08,1.5498305728539084e-09,1.7677485543634184e-09,6.938237308135213e-24,1.8258232752203657e-09
28,0.4171050325603074,0.4171050325603075,1.1881559515370762e-15,2.640220694742925e-08,0.30348848933344247,0.3034884893334426,1.0335339048242822e-15,2.4863426459941894e-08,0.2023256595556286,0.20232565955562823,7.976141024883068e-16,1.7655302330405896e-08,0.2023256595556278,0.20232565955562817,5.753394507907877e-16,1.1582489840336592e-08,2.578091089572066e-09,1.8162432034170348e-09,7.270349487642237e-24,1.5683652265638804e-09
