axis,log_growth_rate_per_step,fit_start,fit_end,fit_count,initial,final,max
1,0.25162469580754454,52,115,64,6.428731862814538e-17,0.20674935700670824,0.20871173724191053
2,0.25150488022490586,52,115,64,6.122810105882299e-17,0.19042845484987483,0.1924026283686663
3,0.24980514525173836,53,116,64,5.849215029272174e-17,0.18630989221849292,0.18726195172717772
4,0.24787596575676,53,117,65,5.586598258585933e-17,0.17981915050963898,0.18297425006860282
5,0.25930638853687293,57,118,62,5.502307170401501e-17,0.17184874528881158,0.1726023203935919
6,0.2637881471040285,59,119,61,4.816406539125626e-17,0.1548622372348187,0.1552682319632867
7,0.24843954649574407,60,124,65,4.576307465425226e-17,0.11408974152110765,0.11562250418453657
8,0.24839377084617922,61,124,64,4.222463969371674e-17,0.09763300350949865,0.09926114224542865
9,0.24345000141724152,62,127,66,3.653921749915642e-17,0.04970887939186021,0.050422761484706674
10,0.24401134186398143,63,128,66,3.4715927054222036e-17,0.04163343923731933,0.0485980137959013
11,0.24690023919693413,65,130,66,2.9652631280544823e-17,0.03739951725360478,0.03888048135663085
12,0.2468743031018263,66,130,65,2.7451391760827366e-17,0.02960379736210666,0.03126052886559757
13,0.24864557529889728,68,131,64,2.309685602561031e-17,0.0279017749005911,0.029928562826070697
14,0.24212118192078602,69,132,64,1.7326938364312553e-17,0.01567660796508819,0.017486581891631738
15,0.24227724196240685,71,133,63,3.90105377938118e-18,0.01134999703151612,0.011382616692470149
