step,H_total,H_parallel,H_perp,A_perp,f,abs_ztz,full_simplex_rank,perp_simplex_rank,R_full_takagi,R_parallel_takagi,R_perp_takagi,R_cross_takagi,r1_full,r1_parallel,r1_perp,r1_cross,Bcross_fro
0,0.8596491228070173,0.8596491228070176,2.6000054249227684e-32,1.6124532318559717e-16,3.024496106542813e-32,4.830894905938759e-16,4,0,0.5898755939808572,0.5898755939808573,1.1913262519907913e-16,1.2020791325644323e-08,0.4171050325603067,0.4171050325603068,7.856037770894675e-17,7.648579665828229e-09,7.950447951398507e-17
1,0.8596491228070186,0.8596491228070187,8.502980704469646e-31,9.221160829564598e-16,9.891222452138149e-31,8.063593153156445e-16,4,0,0.5898755939808578,0.5898755939808578,6.334876350496879e-16,2.422803083945112e-08,0.417105032560307,0.417105032560307,4.465319356167981e-16,1.5237833215364467e-08,3.121393764446058e-16
2,0.8596491228070198,0.85964912280702,9.965724497231752e-31,9.982847538268704e-16,1.1592781558004253e-30,1.2303773955855097e-15,4,0,0.5898755939808582,0.5898755939808583,6.386290941619805e-16,2.6278869615809445e-08,0.4171050325603073,0.41710503256030734,4.265121959947279e-16,1.628211908703809e-08,3.6949288721124204e-16
3,0.8596491228070196,0.85964912280702,1.3736936069585008e-30,1.1720467597150299e-15,1.5979701142170277e-30,8.659500947708929e-16,4,0,0.589875593980858,0.5898755939808581,7.78747066197196e-16,2.8340892660145382e-08,0.4171050325603073,0.41710503256030734,4.919608812656292e-16,1.7088422356264052e-08,4.18277371469687e-16
4,0.8596491228070193,0.8596491228070194,1.2000469483476867e-30,1.0954665436916303e-15,1.3959729807309796e-30,1.0900805296169213e-15,4,0,0.5898755939808578,0.5898755939808578,7.139421645654104e-16,2.6536864681985445e-08,0.41710503256030723,0.41710503256030723,4.58461208513805e-16,1.716043230032208e-08,3.8292737594869297e-16
5,0.8596491228070196,0.8596491228070198,1.538432839576524e-30,1.240335776947728e-15,1.7896055480788094e-30,1.0779953081135127e-15,4,0,0.5898755939808578,0.5898755939808579,8.29156013363167e-16,2.7129518973646232e-08,0.41710503256030723,0.4171050325603073,5.671494574972822e-16,1.8658528751078656e-08,4.2737857921388834e-16
6,0.8596491228070201,0.8596491228070204,2.9574580226010394e-30,1.719726147559849e-15,3.4403083120052804e-30,1.0576297337700568e-15,4,0,0.589875593980858,0.5898755939808581,1.1339653631691183e-15,3.017531301983862e-08,0.4171050325603074,0.41710503256030745,7.915405438915639e-16,2.2966869611234388e-08,5.919517485560272e-16
7,0.8596491228070209,0.8596491228070213,4.249371829295997e-30,2.061400453404432e-15,4.9431468218341e-30,1.714419678461198e-15,4,0,0.5898755939808584,0.5898755939808582,1.3802982443672634e-15,3.3385023664851296e-08,0.41710503256030756,0.4171050325603077,1.010603324560196e-15,2.4811451070168634e-08,7.012932769206434e-16
8,0.859649122807019,0.8596491228070193,5.0274475268284405e-30,2.2421970312237147e-15,5.848255286310625e-30,1.9938075653169008e-15,4,0,0.5898755939808574,0.5898755939808575,1.5623803439006556e-15,3.534219528765429e-08,0.41710503256030707,0.4171050325603072,1.1009330255635297e-15,2.597681713705061e-08,7.853118903652369e-16
9,0.8596491228070183,0.8596491228070184,6.220753720370772e-30,2.4941438852581804e-15,7.236386980839463e-30,2.1656951964858414e-15,4,0,0.5898755939808571,0.5898755939808573,1.7497493402846538e-15,3.764274576628909e-08,0.4171050325603069,0.417105032560307,1.2124955848848199e-15,2.6595804710010422e-08,8.518648155696737e-16
